Drugname	NCIDS:Phase:Status:Literature
talabostat	NCT00303940:Phase 1:Completed:Meany H, Balis FM, Aikin A, Whitcomb P, Murphy RF, Steinberg SM, Widemann BC, Fox E. Pediatric phase I trial design using maximum target inhibition as the primary endpoint. J Natl Cancer Inst. 2010 Jun 16;102(12):909-12. doi: 10.1093/jnci/djq174. Epub 2010 May 11.
temozolomide	NCT00303940:Phase 1:Completed:Meany H, Balis FM, Aikin A, Whitcomb P, Murphy RF, Steinberg SM, Widemann BC, Fox E. Pediatric phase I trial design using maximum target inhibition as the primary endpoint. J Natl Cancer Inst. 2010 Jun 16;102(12):909-12. doi: 10.1093/jnci/djq174. Epub 2010 May 11.;;NCT00020150:Phase 1:Completed:Meany HJ, Warren KE, Fox E, Cole DE, Aikin AA, Balis FM. Pharmacokinetics of temozolomide administered in combination with O6-benzylguanine in children and adolescents with refractory solid tumors. Cancer Chemother Pharmacol. 2009 Dec;65(1):137-42. doi: 10.1007/s00280-009-1015-8. Epub 2009 May 9.;;NCT00526617:Phase 1:Completed:Nuthalapati S, Munasinghe W, Giranda V, Xiong H. Clinical Pharmacokinetics and Mass Balance of Veliparib in Combination with Temozolomide in Subjects with Nonhematologic Malignancies. Clin Pharmacokinet. 2018 Jan;57(1):51-58. doi: 10.1007/s40262-017-0547-z.
belinostat	NCT00321594:Phase 1|Phase 2:Completed:No publish
crs-100	NCT00327652:Phase 1:Completed:No publish
embolization	NCT00335829:Phase 2:Completed:No publish;;NCT00028626:Phase 2:Completed:No publish
chemotherapy	NCT00335829:Phase 2:Completed:No publish;;NCT02862587:Phase 1|Phase 2:Recruiting:No publish;;NCT01564810:Phase 4:Unknown status:No publish;;NCT01307878:Phase 4:Unknown status:No publish;;NCT02363049:Phase 3:Recruiting:No publish;;NCT00849264:Phase 2:Completed:No publish;;NCT03511703:Phase 2:Not yet recruiting:No publish;;NCT02738606:Phase 2:Recruiting:No publish
cni,	NCT00355862:Phase 3:Completed:No publish
su011248	NCT00361309:Phase 2:Completed:No publish
nicotine	NCT00365508:Phase 4:Completed:No publish;;NCT00365508:Phase 4:Completed:No publish
pazopanib	NCT00370513:Phase 1:Completed:No publish;;NCT00674024:Phase 1:Completed:No publish;;NCT00674024:Phase 1:Completed:No publish
irofulven	NCT00374660:Phase 1|Phase 2:Unknown status:No publish
interferon-alfa-2b	NCT00375661:Phase 4:Completed:No publish
thalidomide(thado),	NCT00384800:Phase 2:Unknown status:No publish
perifosine	NCT00398814:Phase 1:Completed:Preliminary results / Journal of Clinical Oncology, 2008 ASCO Annual Meeting Proceedings (Post-Meeting Edition). Vol 26, No 15S (May 20 Supplement), 2008: 16024
floxuridine	NCT00410956:Phase 2:Active, not recruiting:Kemeny NE, Schwartz L, G nen M, Yopp A, Gultekin D, D'Angelica MI, Fong Y, Haviland D, Gewirtz AN, Allen P, Jarnagin WR. Treating primary liver cancer with hepatic arterial infusion of floxuridine and dexamethasone: does the addition of systemic bevacizumab improve results? Oncology. 2011;80(3-4):153-9. doi: 10.1159/000324704. Epub 2011 Jun 14.;;NCT00001576:Phase 1:Completed:No publish;;NCT00587067:Phase 2:Completed:No publish;;NCT01525069:Phase 1:Recruiting:No publish;;NCT00020501:Phase 3:Completed:No publish;;NCT02529774:Phase 2|Phase 3:Not yet recruiting:No publish;;NCT03493061:Phase 2:Recruiting:No publish;;NCT03366155:Phase 2:Not yet recruiting:No publish;;NCT00019760:Phase 2:Completed:No publish;;NCT00005860:Phase 1:Completed:No publish;;NCT00408551:Phase 2:Unknown status:No publish;;NCT00004142:Phase 2:Completed:No publish;;NCT03069950:Phase 2:Recruiting:No publish;;NCT00063960:Phase 2:Completed:No publish;;NCT00002716:Phase 3:Completed:Kemeny NE, Niedzwiecki D, Hollis DR, Lenz HJ, Warren RS, Naughton MJ, Weeks JC, Sigurdson ER, Herndon JE 2nd, Zhang C, Mayer RJ. Hepatic arterial infusion versus systemic therapy for hepatic metastases from colorectal cancer: a randomized trial of efficacy, quality of life, and molecular markers (CALGB 9481). J Clin Oncol. 2006 Mar 20;24(9):1395-403. Epub 2006 Feb 27.;;NCT00008294:Phase 1:Completed:Kemeny N, Capanu M, D'Angelica M, Jarnagin W, Haviland D, Dematteo R, Fong Y. Phase I trial of adjuvant hepatic arterial infusion (HAI) with floxuridine (FUDR) and dexamethasone plus systemic oxaliplatin, 5-fluorouracil and leucovorin in patients with resected liver metastases from colorectal cancer. Ann Oncol. 2009 Jul;20(7):1236-41. doi: 10.1093/annonc/mdn769. Epub 2009 Feb 20.;;NCT00003753:Phase 2:Completed:No publish;;NCT00492999:Phase 2:Active, not recruiting:No publish;;NCT00002842:Phase 2:Completed:No publish;;NCT00026234:Phase 2:Completed:No publish
dexamethasone	NCT00410956:Phase 2:Active, not recruiting:Kemeny NE, Schwartz L, G nen M, Yopp A, Gultekin D, D'Angelica MI, Fong Y, Haviland D, Gewirtz AN, Allen P, Jarnagin WR. Treating primary liver cancer with hepatic arterial infusion of floxuridine and dexamethasone: does the addition of systemic bevacizumab improve results? Oncology. 2011;80(3-4):153-9. doi: 10.1159/000324704. Epub 2011 Jun 14.;;NCT01525069:Phase 1:Recruiting:No publish;;NCT00016380:Phase 3:Completed:National Cancer Institute of Canada Clinical Trials Group (SC19), Wong RK, Paul N, Ding K, Whitehead M, Brundage M, Fyles A, Wilke D, Nabid A, Fortin A, Wilson D, McKenzie M, Ackerman I, Souhami L, Chabot P, Pater J. 5-hydroxytryptamine-3 receptor antagonist with or without short-course dexamethasone in the prophylaxis of radiation induced emesis: a placebo-controlled randomized trial of the National Cancer Institute of Canada Clinical Trials Group (SC19). J Clin Oncol. 2006 Jul 20;24(21):3458-64.;;NCT02987907:Phase 3:Recruiting:No publish;;NCT03069950:Phase 2:Recruiting:No publish;;NCT00002716:Phase 3:Completed:Kemeny NE, Niedzwiecki D, Hollis DR, Lenz HJ, Warren RS, Naughton MJ, Weeks JC, Sigurdson ER, Herndon JE 2nd, Zhang C, Mayer RJ. Hepatic arterial infusion versus systemic therapy for hepatic metastases from colorectal cancer: a randomized trial of efficacy, quality of life, and molecular markers (CALGB 9481). J Clin Oncol. 2006 Mar 20;24(9):1395-403. Epub 2006 Feb 27.;;NCT00008294:Phase 1:Completed:Kemeny N, Capanu M, D'Angelica M, Jarnagin W, Haviland D, Dematteo R, Fong Y. Phase I trial of adjuvant hepatic arterial infusion (HAI) with floxuridine (FUDR) and dexamethasone plus systemic oxaliplatin, 5-fluorouracil and leucovorin in patients with resected liver metastases from colorectal cancer. Ann Oncol. 2009 Jul;20(7):1236-41. doi: 10.1093/annonc/mdn769. Epub 2009 Feb 20.;;NCT00003753:Phase 2:Completed:No publish;;NCT00492999:Phase 2:Active, not recruiting:No publish;;NCT00026234:Phase 2:Completed:No publish
darinaparsin	NCT00423306:Phase 2:Unknown status:No publish
thermodox	NCT00441376:Phase 1:Completed:No publish;;NCT00617981:Phase 3:Completed:No publish;;NCT02112656:Phase 3:Recruiting:No publish
thymopentin	NCT00460681:Phase 3:Unknown status:No publish
rapamycin	NCT00467194:Phase 1:Completed:No publish;;NCT00375245:Phase 1:Completed:No publish;;NCT02724332:Phase 1:Completed:No publish
fluorouracil	NCT00471484:Phase 2:Unknown status:Ang MK, Poon D, Foo KF, Chung YF, Chow P, Wan WK, Thng CH, Ooi L. A new chemoimmunotherapy regimen (OXAFI) for advanced hepatocellular carcinoma. Hematol Oncol Stem Cell Ther. 2008 Jul-Sep;1(3):159-65.;;NCT00003994:Phase 3:Completed:No publish;;NCT00507585:Phase 1:Completed:No publish;;NCT03533582:Phase 2|Phase 3:Recruiting:No publish;;NCT01775501:Phase 2:Active, not recruiting:No publish;;NCT00537121:Phase 1:Completed:No publish;;NCT00009893:Phase 2:Completed:Alberts SR, Al-Khatib H, Mahoney MR, Burgart L, Cera PJ, Flynn PJ, Finch TR, Levitt R, Windschitl HE, Knost JA, Tschetter LK. Gemcitabine, 5-fluorouracil, and leucovorin in advanced biliary tract and gallbladder carcinoma: a North Central Cancer Treatment Group phase II trial. Cancer. 2005 Jan 1;103(1):111-8.;;NCT00980460:Phase 3:Active, not recruiting:No publish;;NCT00103298:Phase 2:Completed:No publish;;NCT00020501:Phase 3:Completed:No publish;;NCT00019474:Phase 2:Unknown status:No publish;;NCT00654160:Phase 1:Completed:No publish;;NCT00019513:Phase 1:Completed:No publish;;NCT02042443:Phase 2:Completed:No publish;;NCT01643499:Phase 1:Active, not recruiting:No publish;;NCT01055743:Phase 2:Unknown status:No publish;;NCT00559455:Phase 2:Completed:No publish;;NCT00408551:Phase 2:Unknown status:No publish;;NCT00004142:Phase 2:Completed:No publish;;NCT00438737:Phase 2:Unknown status:No publish;;NCT00002793:Phase 3:Unknown status:No publish;;NCT00006479:Phase 3:Unknown status:Benoist S, Nordlinger B. The role of preoperative chemotherapy in patients with resectable colorectal liver metastases. Ann Surg Oncol. 2009 Sep;16(9):2385-90. doi: 10.1245/s10434-009-0492-7. Epub 2009 Jun 25. Review.;;NCT00002692:Phase 3:Unknown status:Current version of study NCT00002692 on ClinicalTrials.gov;;NCT00482222:Phase 3:Unknown status:No publish;;NCT00513266:Phase 2:Unknown status:No publish;;NCT00003834:Phase 2:Completed:Alberts SR, Horvath WL, Sternfeld WC, Goldberg RM, Mahoney MR, Dakhil SR, Levitt R, Rowland K, Nair S, Sargent DJ, Donohue JH. Oxaliplatin, fluorouracil, and leucovorin for patients with unresectable liver-only metastases from colorectal cancer: a North Central Cancer Treatment Group phase II study. J Clin Oncol. 2005 Dec 20;23(36):9243-9. Epub 2005 Oct 17.;;NCT00023868:Phase 3:Completed:No publish;;NCT03069950:Phase 2:Recruiting:No publish;;NCT00006050:Phase 2:Unknown status:Ducreux M, Ychou M, Laplanche A, Gamelin E, Lasser P, Husseini F, Quenet F, Viret F, Jacob JH, Boige V, Elias D, Delperro JR, Luboinski M; gastrointestinal group of the Federation Nationale des Centres de Lutte Contre le Cancer. Hepatic arterial oxaliplatin infusion plus intravenous chemotherapy in colorectal cancer with inoperable hepatic metastases: a trial of the gastrointestinal group of the Federation Nationale des Centres de Lutte Contre le Cancer. J Clin Oncol. 2005 Aug 1;23(22):4881-7. Epub 2005 Jul 11.;;NCT00544349:Phase 2:Completed:No publish;;NCT00002716:Phase 3:Completed:Kemeny NE, Niedzwiecki D, Hollis DR, Lenz HJ, Warren RS, Naughton MJ, Weeks JC, Sigurdson ER, Herndon JE 2nd, Zhang C, Mayer RJ. Hepatic arterial infusion versus systemic therapy for hepatic metastases from colorectal cancer: a randomized trial of efficacy, quality of life, and molecular markers (CALGB 9481). J Clin Oncol. 2006 Mar 20;24(9):1395-403. Epub 2006 Feb 27.;;NCT00557102:Phase 2:Completed:No publish;;NCT00008294:Phase 1:Completed:Kemeny N, Capanu M, D'Angelica M, Jarnagin W, Haviland D, Dematteo R, Fong Y. Phase I trial of adjuvant hepatic arterial infusion (HAI) with floxuridine (FUDR) and dexamethasone plus systemic oxaliplatin, 5-fluorouracil and leucovorin in patients with resected liver metastases from colorectal cancer. Ann Oncol. 2009 Jul;20(7):1236-41. doi: 10.1093/annonc/mdn769. Epub 2009 Feb 20.;;NCT00492999:Phase 2:Active, not recruiting:No publish;;NCT00002842:Phase 2:Completed:No publish;;NCT00056030:Phase 2:Completed:No publish;;NCT00427310:Phase 3:Completed:O'Connell MJ, Lavery I, Yothers G, Paik S, Clark-Langone KM, Lopatin M, Watson D, Baehner FL, Shak S, Baker J, Cowens JW, Wolmark N. Relationship between tumor gene expression and recurrence in four independent studies of patients with stage II/III colon cancer treated with surgery alone or surgery plus adjuvant fluorouracil plus leucovorin. J Clin Oncol. 2010 Sep 1;28(25):3937-44. doi: 10.1200/JCO.2010.28.9538. Epub 2010 Aug 2.
azd0530	NCT00475956:Phase 1:Completed:No publish
ngr-htnf	NCT00484211:Phase 2:Completed:Santoro A, Pressiani T, Citterio G, Rossoni G, Donadoni G, Pozzi F, Rimassa L, Personeni N, Bozzarelli S, Rossoni G, Colombi S, De Braud FG, Caligaris-Cappio F, Lambiase A, Bordignon C. Activity and safety of NGR-hTNF, a selective vascular-targeting agent, in previously treated patients with advanced hepatocellular carcinoma. Br J Cancer. 2010 Sep 7;103(6):837-44. doi: 10.1038/sj.bjc.6605858. Epub 2010 Aug 17.
octreotide-lar,	NCT00495846:Phase 2|Phase 3:Completed:Cebon J, Findlay M, Hargreaves C, Stockler M, Thompson P, Boyer M, Roberts S, Poon A, Scott AM, Kalff V, Garas G, Dowling A, Crawford D, Ring J, Basser R, Strickland A, Macdonald G, Green M, Nowak A, Dickman B, Dhillon H, Gebski V; Australasian Gastro-Intestinal Trials Group (AGITG) Ag0001H Investigators. Somatostatin receptor expression, tumour response, and quality of life in patients with advanced hepatocellular carcinoma treated with long-acting octreotide. Br J Cancer. 2006 Oct 9;95(7):853-61. Epub 2006 Sep 5. Erratum in: Br J Cancer. 2007 Apr 10;96(7):1154. Findlay, M [added]; Hargreaves, C [added]; Stockler, M [added]; Thompson, P [added]; Boyer, M [added]; Roberts, S [added]; Poon, A [added]; Scott, A M [added]; Kalff, V [added]; Garas, G [added]; Dowling, A [added]; Crawford, D [added]; Ring, J [added]; Ba.
zd6474	NCT00496509:Phase 1:Completed:No publish;;NCT00496509:Phase 1:Completed:No publish
azd2171	NCT00501605:Phase 1:Completed:No publish;;NCT00475956:Phase 1:Completed:No publish
avastin	NCT00507585:Phase 1:Completed:No publish
leucovorin	NCT00507585:Phase 1:Completed:No publish;;NCT00001576:Phase 1:Completed:No publish;;NCT01775501:Phase 2:Active, not recruiting:No publish;;NCT00537121:Phase 1:Completed:No publish;;NCT00009893:Phase 2:Completed:Alberts SR, Al-Khatib H, Mahoney MR, Burgart L, Cera PJ, Flynn PJ, Finch TR, Levitt R, Windschitl HE, Knost JA, Tschetter LK. Gemcitabine, 5-fluorouracil, and leucovorin in advanced biliary tract and gallbladder carcinoma: a North Central Cancer Treatment Group phase II trial. Cancer. 2005 Jan 1;103(1):111-8.;;NCT00103298:Phase 2:Completed:No publish;;NCT00020501:Phase 3:Completed:No publish;;NCT00654160:Phase 1:Completed:No publish;;NCT00019513:Phase 1:Completed:No publish;;NCT02042443:Phase 2:Completed:No publish;;NCT01643499:Phase 1:Active, not recruiting:No publish;;NCT03493048:Phase 2:Recruiting:No publish;;NCT03500874:Phase 3:Recruiting:No publish;;NCT03366155:Phase 2:Not yet recruiting:No publish;;NCT00019760:Phase 2:Completed:No publish;;NCT00005860:Phase 1:Completed:No publish;;NCT03563170:Phase 1|Phase 2:Not yet recruiting:No publish;;NCT00559455:Phase 2:Completed:No publish;;NCT00941655:Phase 3:Completed:Rudloff U, Langan RC, Mullinax JE, Beane JD, Steinberg SM, Beresnev T, Webb CC, Walker M, Toomey MA, Schrump D, Pandalai P, Stojadinovic A, Avital I. Impact of maximal cytoreductive surgery plus regional heated intraperitoneal chemotherapy (HIPEC) on outcome of patients with peritoneal carcinomatosis of gastric origin: results of the GYMSSA trial. J Surg Oncol. 2014 Sep;110(3):275-84. doi: 10.1002/jso.23633. Epub 2014 Jul 5.;;NCT00408551:Phase 2:Unknown status:No publish;;NCT00438737:Phase 2:Unknown status:No publish;;NCT01226719:Phase 2:Completed:No publish;;NCT00803647:Phase 2:Completed:No publish;;NCT00002793:Phase 3:Unknown status:No publish;;NCT00006479:Phase 3:Unknown status:Benoist S, Nordlinger B. The role of preoperative chemotherapy in patients with resectable colorectal liver metastases. Ann Surg Oncol. 2009 Sep;16(9):2385-90. doi: 10.1245/s10434-009-0492-7. Epub 2009 Jun 25. Review.;;NCT00002692:Phase 3:Unknown status:Current version of study NCT00002692 on ClinicalTrials.gov;;NCT00482222:Phase 3:Unknown status:No publish;;NCT00513266:Phase 2:Unknown status:No publish;;NCT00003834:Phase 2:Completed:Alberts SR, Horvath WL, Sternfeld WC, Goldberg RM, Mahoney MR, Dakhil SR, Levitt R, Rowland K, Nair S, Sargent DJ, Donohue JH. Oxaliplatin, fluorouracil, and leucovorin for patients with unresectable liver-only metastases from colorectal cancer: a North Central Cancer Treatment Group phase II study. J Clin Oncol. 2005 Dec 20;23(36):9243-9. Epub 2005 Oct 17.;;NCT00023868:Phase 3:Completed:No publish;;NCT03069950:Phase 2:Recruiting:No publish;;NCT00006050:Phase 2:Unknown status:Ducreux M, Ychou M, Laplanche A, Gamelin E, Lasser P, Husseini F, Quenet F, Viret F, Jacob JH, Boige V, Elias D, Delperro JR, Luboinski M; gastrointestinal group of the Federation Nationale des Centres de Lutte Contre le Cancer. Hepatic arterial oxaliplatin infusion plus intravenous chemotherapy in colorectal cancer with inoperable hepatic metastases: a trial of the gastrointestinal group of the Federation Nationale des Centres de Lutte Contre le Cancer. J Clin Oncol. 2005 Aug 1;23(22):4881-7. Epub 2005 Jul 11.;;NCT00544349:Phase 2:Completed:No publish;;NCT00002716:Phase 3:Completed:Kemeny NE, Niedzwiecki D, Hollis DR, Lenz HJ, Warren RS, Naughton MJ, Weeks JC, Sigurdson ER, Herndon JE 2nd, Zhang C, Mayer RJ. Hepatic arterial infusion versus systemic therapy for hepatic metastases from colorectal cancer: a randomized trial of efficacy, quality of life, and molecular markers (CALGB 9481). J Clin Oncol. 2006 Mar 20;24(9):1395-403. Epub 2006 Feb 27.;;NCT00557102:Phase 2:Completed:No publish;;NCT00008294:Phase 1:Completed:Kemeny N, Capanu M, D'Angelica M, Jarnagin W, Haviland D, Dematteo R, Fong Y. Phase I trial of adjuvant hepatic arterial infusion (HAI) with floxuridine (FUDR) and dexamethasone plus systemic oxaliplatin, 5-fluorouracil and leucovorin in patients with resected liver metastases from colorectal cancer. Ann Oncol. 2009 Jul;20(7):1236-41. doi: 10.1093/annonc/mdn769. Epub 2009 Feb 20.;;NCT00492999:Phase 2:Active, not recruiting:No publish;;NCT00002842:Phase 2:Completed:No publish;;NCT00056030:Phase 2:Completed:No publish
vandetanib	NCT00508001:Phase 2:Completed:No publish
s-adenosyl-l-methionine	NCT00513461:Phase 2:Unknown status:No publish
rad001	NCT00516165:Phase 1|Phase 2:Completed:No publish;;NCT00390195:Phase 1|Phase 2:Unknown status:Shiah HS, Chen CY, Dai CY, Hsiao CF, Lin YJ, Su WC, Chang JY, Whang-Peng J, Lin PW, Huang JD, Chen LT. Randomised clinical trial: comparison of two everolimus dosing schedules in patients with advanced hepatocellular carcinoma. Aliment Pharmacol Ther. 2013 Jan;37(1):62-73. doi: 10.1111/apt.12132. Epub 2012 Nov 8.|Treiber G. mTOR inhibitors for hepatocellular cancer: a forward-moving target. Expert Rev Anticancer Ther. 2009 Feb;9(2):247-61. doi: 10.1586/14737140.9.2.247. Review.
abt-869	NCT00517920:Phase 2:Completed:No publish
tegafur/uracil	NCT00519688:Phase 2:Completed:No publish;;NCT00464919:Phase 2:Completed:No publish
opc-18	NCT00524498:Phase 2:Completed:No publish
abt-888	NCT00526617:Phase 1:Completed:Nuthalapati S, Munasinghe W, Giranda V, Xiong H. Clinical Pharmacokinetics and Mass Balance of Veliparib in Combination with Temozolomide in Subjects with Nonhematologic Malignancies. Clin Pharmacokinet. 2018 Jan;57(1):51-58. doi: 10.1007/s40262-017-0547-z.
anastrozole	NCT00537771:Phase 4:Completed:No publish
fentanyl	NCT00538850:Phase 3:Completed:Rauck R, Reynolds L, Geach J, Bull J, Stearns L, Scherlis M, Parikh N, Dillaha L. Efficacy and safety of fentanyl sublingual spray for the treatment of breakthrough cancer pain: a randomized, double-blind, placebo-controlled study. Curr Med Res Opin. 2012 May;28(5):859-70. doi: 10.1185/03007995.2012.683111. Epub 2012 May 2.
indocyanine	NCT00540982:Phase 1|Phase 2:Completed:No publish
lidocaine	NCT00540982:Phase 1|Phase 2:Completed:No publish
vinorelbine	NCT00540982:Phase 1|Phase 2:Completed:No publish
endotag®-1	NCT00542048:Phase 2:Completed:No publish
lamivudine	NCT00555334:Phase 4:Unknown status:No publish;;NCT01936233:Phase 3:Unknown status:No publish;;NCT02650271:Phase 2|Phase 3:Recruiting:Ke Y, Ma L, You XM, Huang SX, Liang YR, Xiang BD, Li LQ, Zhong JH. Antiviral therapy for hepatitis B virus-related hepatocellular carcinoma after radical hepatectomy. Cancer Biol Med. 2013 Sep;10(3):158-64. doi: 10.7497/j.issn.2095-3941.2013.03.006.;;NCT01894269:Phase 4:Unknown status:No publish
nadolol	NCT00567216:Phase 4:Unknown status:No publish
atropine	NCT00575523:Phase 4:Completed:No publish
selumetinib	NCT00604721:Phase 2:Completed:No publish;;NCT00553332:Phase 2:Completed:Bekaii-Saab T, Phelps MA, Li X, Saji M, Goff L, Kauh JS, O'Neil BH, Balsom S, Balint C, Liersemann R, Vasko VV, Bloomston M, Marsh W, Doyle LA, Ellison G, Grever M, Ringel MD, Villalona-Calero MA. Multi-institutional phase II study of selumetinib in patients with metastatic biliary cancers. J Clin Oncol. 2011 Jun 10;29(17):2357-63. doi: 10.1200/JCO.2010.33.9473. Epub 2011 Apr 25.
erlotinib	NCT00605722:Phase 2:Completed:No publish;;NCT00881751:Phase 2:Completed:No publish;;NCT00365391:Phase 2:Completed:No publish;;NCT00242502:Phase 2:Completed:No publish;;NCT01180959:Phase 2:Active, not recruiting:No publish;;NCT00047346:Phase 1:Completed:No publish;;NCT02273362:Phase 1|Phase 2:Recruiting:No publish;;NCT00987766:Phase 1:Completed:No publish;;NCT00033462:Phase 2:Completed:No publish;;NCT00397384:Phase 1:Completed:No publish;;NCT00030498:Phase 1:Completed:No publish;;NCT00901901:Phase 3:Completed:No publish;;NCT00287222:Phase 2:Completed:No publish
dasatinib	NCT00608361:Phase 1:Completed:No publish;;NCT02465060:Phase 2:Recruiting:No publish
5%	NCT00617981:Phase 3:Completed:No publish
infusional	NCT00619541:Phase 2:Completed:No publish
sodium	NCT00652132:Phase 3:Completed:No publish;;NCT00716976:Phase 3:Completed:No publish;;NCT00062348:Phase 1:Completed:Wittig A, Sheu-Grabellus SY, Collette L, Moss R, Brualla L, Sauerwein W. BPA uptake does not correlate with LAT1 and Ki67 expressions in tumor samples (results of EORTC trial 11001). Appl Radiat Isot. 2011 Dec;69(12):1807-12. doi: 10.1016/j.apradiso.2011.02.018. Epub 2011 Feb 16.;;NCT00427310:Phase 3:Completed:O'Connell MJ, Lavery I, Yothers G, Paik S, Clark-Langone KM, Lopatin M, Watson D, Baehner FL, Shak S, Baker J, Cowens JW, Wolmark N. Relationship between tumor gene expression and recurrence in four independent studies of patients with stage II/III colon cancer treated with surgery alone or surgery plus adjuvant fluorouracil plus leucovorin. J Clin Oncol. 2010 Sep 1;28(25):3937-44. doi: 10.1200/JCO.2010.28.9538. Epub 2010 Aug 2.
neoadjuvant	NCT00659022:Phase 2:Unknown status:No publish;;NCT00630045:Phase 3:Unknown status:No publish
neo-adjuvant	NCT00659022:Phase 2:Unknown status:No publish;;NCT00659022:Phase 2:Unknown status:No publish
gm-csf	NCT00661622:Phase 2:Completed:No publish
bupropion	NCT00666978:Phase 4:Completed:No publish;;NCT00534001:Phase 2:Completed:No publish
nexavar	NCT00692770:Phase 3:Completed:Bruix J, Takayama T, Mazzaferro V, Chau GY, Yang J, Kudo M, Cai J, Poon RT, Han KH, Tak WY, Lee HC, Song T, Roayaie S, Bolondi L, Lee KS, Makuuchi M, Souza F, Berre MA, Meinhardt G, Llovet JM; STORM investigators. Adjuvant sorafenib for hepatocellular carcinoma after resection or ablation (STORM): a phase 3, randomised, double-blind, placebo-controlled trial. Lancet Oncol. 2015 Oct;16(13):1344-54. doi: 10.1016/S1470-2045(15)00198-9. Epub 2015 Sep 8.
infusion	NCT00706576:Phase 1:Completed:No publish
ms-20	NCT00707681:Phase 2:Unknown status:No publish
lenalidomide	NCT00717756:Phase 2:Completed:Safran H, Charpentier KP, Kaubisch A, Mantripragada K, Dubel G, Perez K, Faricy-Anderson K, Miner T, Eng Y, Victor J, Plette A, Espat J, Bakalarski P, Wingate P, Berz D, Luppe D, Martel D, Rosati K, Aparo S. Lenalidomide for second-line treatment of advanced hepatocellular cancer: a Brown University oncology group phase II study. Am J Clin Oncol. 2015 Feb;38(1):1-4. doi: 10.1097/COC.0b013e3182868c66.;;NCT01545804:Phase 2:Completed:No publish
z-208	NCT00731445:Phase 1|Phase 2:Completed:No publish
hai	NCT00732836:Phase 1:Completed:No publish;;NCT00200200:Phase 2:Active, not recruiting:No publish;;NCT00852228:Phase 2:Unknown status:No publish;;NCT00852228:Phase 2:Unknown status:No publish;;NCT02102789:Phase 3:Recruiting:No publish
iv	NCT00732836:Phase 1:Completed:No publish;;NCT00852228:Phase 2:Unknown status:No publish
disulfiram	NCT00742911:Phase 1:Completed:No publish
copper	NCT00742911:Phase 1:Completed:No publish
folfox6/cetuximab	NCT00743678:Phase 2:Completed:No publish
gc33	NCT00746317:Phase 1:Completed:No publish
imatinib	NCT00764595:Phase 2:Completed:No publish;;NCT00025415:Phase 1:Completed:No publish
antiviral	NCT00768157:Phase 4:Unknown status:No publish
everolimus,	NCT00775073:Phase 2:Completed:No publish
orantinib	NCT00784290:Phase 1|Phase 2:Completed:No publish
sonovue-enhanced	NCT00788697:Phase 3:Completed:No publish
cf102	NCT00790218:Phase 1|Phase 2:Completed:No publish;;NCT02128958:Phase 2:Recruiting:No publish
songyou	NCT00805896:Phase 2:Unknown status:No publish
licartin	NCT00819650:Phase 2:Completed:No publish;;NCT00829465:Phase 4:Completed:No publish
brivanib	NCT00825955:Phase 3:Completed:No publish;;NCT00437424:Phase 1:Completed:No publish;;NCT01540461:Phase 1:Completed:No publish;;NCT00355238:Phase 2:Completed:No publish;;NCT03516071:Phase 2:Recruiting:No publish;;NCT03516071:Phase 2:Recruiting:No publish;;NCT00908752:Phase 3:Completed:No publish;;NCT00858871:Phase 3:Completed:No publish
lmwh	NCT00827554:Phase 2|Phase 3:Completed:No publish;;NCT02715492:Phase 3:Not yet recruiting:No publish
sonovue®	NCT00829413:Phase 3:Completed:No publish
adenosine	NCT00845689:Phase 1|Phase 2:Unknown status:No publish
yttrium-90	NCT00846131:Phase 1:Completed:Kulik L, Vouche M, Koppe S, Lewandowski RJ, Mulcahy MF, Ganger D, Habib A, Karp J, Al-Saden P, Lacouture M, Cotliar J, Abecassis M, Baker T, Salem R. Prospective randomized pilot study of Y90+/-sorafenib as bridge to transplantation in hepatocellular carcinoma. J Hepatol. 2014 Aug;61(2):309-17. doi: 10.1016/j.jhep.2014.03.023. Epub 2014 Mar 27.
treatment	NCT00849264:Phase 2:Completed:No publish;;NCT00849264:Phase 2:Completed:No publish
adecatumumab	NCT00866944:Phase 2:Completed:No publish;;NCT00866944:Phase 2:Completed:No publish
amg	NCT00872014:Phase 2:Completed:No publish
tac	NCT00874406:Phase 4:Unknown status:No publish
lc	NCT00877071:Phase 2:Completed:No publish
aln-vsp02	NCT00882180:Phase 1:Completed:No publish
aeg35156	NCT00882869:Phase 1|Phase 2:Completed:No publish
panitumumab+folfox-4	NCT00885885:Phase 2:Completed:No publish
panitumumab+folfiri	NCT00885885:Phase 2:Completed:No publish
foretinib	NCT00920192:Phase 1:Completed:No publish
fostamatinib	NCT00923481:Phase 2:Completed:No publish
sorafenib,	NCT00933816:Phase 1|Phase 2:Completed:No publish;;NCT01131689:Phase 1:Completed:No publish
