Drugname	NCIDS:Phase:Status:Literature	Targets
oral nutritional supplement rich in eicosapentanoic acid	NCT00168987:Phase 4:Completed:No publish	html not right
mitomycin-c, cisplatin	NCT00183885:Phase 2:Active, not recruiting:No publish	html not right
recombinant human thrombopoietin	NCT00187109:Phase 1|Phase 2:Completed:No publish	html not right
pemetrexed	NCT00191412:Phase 2:Completed:No publish	html not right
bevacizumab hai plus systemic chemotherapy	NCT00200200:Phase 2:Active, not recruiting:No publish	html not right
hai plus systemic chemotherapy	NCT00200200:Phase 2:Active, not recruiting:No publish	html not right
folfiri	NCT00208260:Phase 2|Phase 3:Completed:No publish	html not right
folfox-4	NCT00208260:Phase 2|Phase 3:Completed:No publish	html not right
folfiri-hd	NCT00208260:Phase 2|Phase 3:Completed:No publish	html not right
folfox-7	NCT00208260:Phase 2|Phase 3:Completed:No publish	html not right
folfirinox	NCT00208260:Phase 2|Phase 3:Completed:No publish	html not right
interferon alpha-2b	NCT00234182:Phase 1|Phase 2:Completed:No publish;;NCT00273247:Phase 3:Completed:No publish	html not right
cediranib maleate	NCT00238394:Phase 2:Completed:No publish	html not right
octreotide	NCT00241020:Phase 3:Completed:No publish	html not right
erlotinib	NCT00242502:Phase 2:Completed:No publish;;NCT01180959:Phase 2:Active, not recruiting:No publish;;NCT00287222:Phase 2:Completed:No publish	Html not right
sunitinib (su011248)	NCT00247676:Phase 2:Completed:No publish	html not right
pi-88	NCT00247728:Phase 2:Completed:No publish	html not right
thalidomide, alpha interferon	NCT00250796:Phase 2:Completed:No publish	html not right
thalidomide, interferon, octreotide	NCT00250796:Phase 2:Completed:No publish	html not right
gemcitabine and oxaliplatin	NCT00250822:Phase 2:Completed:No publish	html not right
octreotide acetate	NCT00257426:Phase 2:Completed:No publish	html not right
adh300004	NCT00264446:Phase 1:Completed:No publish	html not right
patupilone	NCT00273312:Phase 2:Completed:Zhou Q, Wong CH, Lau CP, Hui CW, Lui VW, Chan SL, Yeo W. Enhanced Antitumor Activity with Combining Effect of mTOR Inhibition and Microtubule Stabilization in Hepatocellular Carcinoma. Int J Hepatol. 2013;2013:103830. doi: 10.1155/2013/103830. Epub 2013 Feb 20.	html not right
cyclophosphamide	NCT00276705:Phase 2:Unknown status:No publish;;NCT03159585:Phase 1:Recruiting:No publish;;NCT02869217:Phase 1:Recruiting:No publish;;NCT01967823:Phase 2:Recruiting:No publish;;NCT00007813:Phase 1:Unknown status:Leung W, Chen AR, Klann RC, Moss TJ, Davis JM, Noga SJ, Cohen KJ, Friedman AD, Small D, Schwartz CL, Borowitz MJ, Wharam MD, Paidas CN, Long CA, Karandish S, McMannis JD, Kastan MB, Civin CI. Frequent detection of tumor cells in hematopoietic grafts in neuroblastoma and Ewing's sarcoma. Bone Marrow Transplant. 1998 Nov;22(10):971-9.;;NCT00002854:Phase 1:Completed:No publish;;NCT03563170:Phase 1|Phase 2:Not yet recruiting:No publish;;NCT03084380:Phase 1|Phase 2:Not yet recruiting:No publish;;NCT01174121:Phase 2:Recruiting:No publish;;NCT00656123:Phase 1:Unknown status:No publish	html not right
e7337	NCT00280410:Phase 2|Phase 3:Completed:No publish	html not right
iressa	NCT00282100:Phase 2:Unknown status:No publish	html not right
talabostat mesylate	NCT00303940:Phase 1:Completed:Meany H, Balis FM, Aikin A, Whitcomb P, Murphy RF, Steinberg SM, Widemann BC, Fox E. Pediatric phase I trial design using maximum target inhibition as the primary endpoint. J Natl Cancer Inst. 2010 Jun 16;102(12):909-12. doi: 10.1093/jnci/djq174. Epub 2010 May 11.	html not right
temozolomide	NCT00303940:Phase 1:Completed:Meany H, Balis FM, Aikin A, Whitcomb P, Murphy RF, Steinberg SM, Widemann BC, Fox E. Pediatric phase I trial design using maximum target inhibition as the primary endpoint. J Natl Cancer Inst. 2010 Jun 16;102(12):909-12. doi: 10.1093/jnci/djq174. Epub 2010 May 11.;;NCT00020150:Phase 1:Completed:Meany HJ, Warren KE, Fox E, Cole DE, Aikin AA, Balis FM. Pharmacokinetics of temozolomide administered in combination with O6-benzylguanine in children and adolescents with refractory solid tumors. Cancer Chemother Pharmacol. 2009 Dec;65(1):137-42. doi: 10.1007/s00280-009-1015-8. Epub 2009 May 9.;;NCT00526617:Phase 1:Completed:Nuthalapati S, Munasinghe W, Giranda V, Xiong H. Clinical Pharmacokinetics and Mass Balance of Veliparib in Combination with Temozolomide in Subjects with Nonhematologic Malignancies. Clin Pharmacokinet. 2018 Jan;57(1):51-58. doi: 10.1007/s40262-017-0547-z.	html not right
belinostat	NCT00321594:Phase 1|Phase 2:Completed:No publish	Html not right
crs-100	NCT00327652:Phase 1:Completed:No publish	html not right
embolization therapy	NCT00335829:Phase 2:Completed:No publish;;NCT00028626:Phase 2:Completed:No publish	html not right
chemotherapy	NCT00335829:Phase 2:Completed:No publish;;NCT02862587:Phase 1|Phase 2:Recruiting:No publish;;NCT02363049:Phase 3:Recruiting:No publish;;NCT02738606:Phase 2:Recruiting:No publish	html not right
brivanib (active)	NCT00355238:Phase 2:Completed:No publish	html not right
cni, mmf, steroids, aza etc. (mtor inhibitor free)	NCT00355862:Phase 3:Completed:No publish	html not right
su011248	NCT00361309:Phase 2:Completed:No publish	html not right
nicotine lozenge	NCT00365508:Phase 4:Completed:No publish	html not right
nicotine patch	NCT00365508:Phase 4:Completed:No publish	html not right
pazopanib	NCT00370513:Phase 1:Completed:No publish;;NCT00674024:Phase 1:Completed:No publish	Html not right
irofulven + oxaliplatin	NCT00374660:Phase 1|Phase 2:Unknown status:No publish	html not right
rapamycin (sirolimus)	NCT00375245:Phase 1:Completed:No publish	html not right
interferon-alfa-2b and ribavirin	NCT00375661:Phase 4:Completed:No publish	html not right
thalidomide(thado), tegafur/uracil(ufur)	NCT00384800:Phase 2:Unknown status:No publish	html not right
somatostatin (octreotide)	NCT00386984:Phase 3:Completed:Allgaier HP, Becker G, Blum HE. [A therapeutic study of hepatocellular carcinoma using octreotide (HECTOR). Hepatocellular Carcinoma: Treatment with Octreotide]. Dtsch Med Wochenschr. 2000 Mar 17;125(11):320. German.	html not right
rad001 (everolimus)	NCT00390195:Phase 1|Phase 2:Unknown status:Shiah HS, Chen CY, Dai CY, Hsiao CF, Lin YJ, Su WC, Chang JY, Whang-Peng J, Lin PW, Huang JD, Chen LT. Randomised clinical trial: comparison of two everolimus dosing schedules in patients with advanced hepatocellular carcinoma. Aliment Pharmacol Ther. 2013 Jan;37(1):62-73. doi: 10.1111/apt.12132. Epub 2012 Nov 8.|Treiber G. mTOR inhibitors for hepatocellular cancer: a forward-moving target. Expert Rev Anticancer Ther. 2009 Feb;9(2):247-61. doi: 10.1586/14737140.9.2.247. Review.	html not right
perifosine	NCT00398814:Phase 1:Completed:Preliminary results / Journal of Clinical Oncology, 2008 ASCO Annual Meeting Proceedings (Post-Meeting Edition). Vol 26, No 15S (May 20 Supplement), 2008: 16024	Html not right
floxuridine	NCT00410956:Phase 2:Active, not recruiting:Kemeny NE, Schwartz L, G nen M, Yopp A, Gultekin D, D'Angelica MI, Fong Y, Haviland D, Gewirtz AN, Allen P, Jarnagin WR. Treating primary liver cancer with hepatic arterial infusion of floxuridine and dexamethasone: does the addition of systemic bevacizumab improve results? Oncology. 2011;80(3-4):153-9. doi: 10.1159/000324704. Epub 2011 Jun 14.;;NCT00001576:Phase 1:Completed:No publish;;NCT00587067:Phase 2:Completed:No publish;;NCT01525069:Phase 1:Recruiting:No publish;;NCT00020501:Phase 3:Completed:No publish;;NCT03493061:Phase 2:Recruiting:No publish;;NCT03366155:Phase 2:Not yet recruiting:No publish;;NCT00019760:Phase 2:Completed:No publish;;NCT00005860:Phase 1:Completed:No publish;;NCT00408551:Phase 2:Unknown status:No publish;;NCT00004142:Phase 2:Completed:No publish;;NCT00063960:Phase 2:Completed:No publish;;NCT00002716:Phase 3:Completed:Kemeny NE, Niedzwiecki D, Hollis DR, Lenz HJ, Warren RS, Naughton MJ, Weeks JC, Sigurdson ER, Herndon JE 2nd, Zhang C, Mayer RJ. Hepatic arterial infusion versus systemic therapy for hepatic metastases from colorectal cancer: a randomized trial of efficacy, quality of life, and molecular markers (CALGB 9481). J Clin Oncol. 2006 Mar 20;24(9):1395-403. Epub 2006 Feb 27.;;NCT00008294:Phase 1:Completed:Kemeny N, Capanu M, D'Angelica M, Jarnagin W, Haviland D, Dematteo R, Fong Y. Phase I trial of adjuvant hepatic arterial infusion (HAI) with floxuridine (FUDR) and dexamethasone plus systemic oxaliplatin, 5-fluorouracil and leucovorin in patients with resected liver metastases from colorectal cancer. Ann Oncol. 2009 Jul;20(7):1236-41. doi: 10.1093/annonc/mdn769. Epub 2009 Feb 20.;;NCT00003753:Phase 2:Completed:No publish;;NCT00492999:Phase 2:Active, not recruiting:No publish;;NCT00002842:Phase 2:Completed:No publish;;NCT00026234:Phase 2:Completed:No publish	Html not right
dexamethasone	NCT00410956:Phase 2:Active, not recruiting:Kemeny NE, Schwartz L, G nen M, Yopp A, Gultekin D, D'Angelica MI, Fong Y, Haviland D, Gewirtz AN, Allen P, Jarnagin WR. Treating primary liver cancer with hepatic arterial infusion of floxuridine and dexamethasone: does the addition of systemic bevacizumab improve results? Oncology. 2011;80(3-4):153-9. doi: 10.1159/000324704. Epub 2011 Jun 14.;;NCT01525069:Phase 1:Recruiting:No publish;;NCT00016380:Phase 3:Completed:National Cancer Institute of Canada Clinical Trials Group (SC19), Wong RK, Paul N, Ding K, Whitehead M, Brundage M, Fyles A, Wilke D, Nabid A, Fortin A, Wilson D, McKenzie M, Ackerman I, Souhami L, Chabot P, Pater J. 5-hydroxytryptamine-3 receptor antagonist with or without short-course dexamethasone in the prophylaxis of radiation induced emesis: a placebo-controlled randomized trial of the National Cancer Institute of Canada Clinical Trials Group (SC19). J Clin Oncol. 2006 Jul 20;24(21):3458-64.;;NCT02987907:Phase 3:Recruiting:No publish;;NCT03069950:Phase 2:Recruiting:No publish;;NCT00002716:Phase 3:Completed:Kemeny NE, Niedzwiecki D, Hollis DR, Lenz HJ, Warren RS, Naughton MJ, Weeks JC, Sigurdson ER, Herndon JE 2nd, Zhang C, Mayer RJ. Hepatic arterial infusion versus systemic therapy for hepatic metastases from colorectal cancer: a randomized trial of efficacy, quality of life, and molecular markers (CALGB 9481). J Clin Oncol. 2006 Mar 20;24(9):1395-403. Epub 2006 Feb 27.;;NCT00008294:Phase 1:Completed:Kemeny N, Capanu M, D'Angelica M, Jarnagin W, Haviland D, Dematteo R, Fong Y. Phase I trial of adjuvant hepatic arterial infusion (HAI) with floxuridine (FUDR) and dexamethasone plus systemic oxaliplatin, 5-fluorouracil and leucovorin in patients with resected liver metastases from colorectal cancer. Ann Oncol. 2009 Jul;20(7):1236-41. doi: 10.1093/annonc/mdn769. Epub 2009 Feb 20.;;NCT00003753:Phase 2:Completed:No publish;;NCT00492999:Phase 2:Active, not recruiting:No publish;;NCT00026234:Phase 2:Completed:No publish	Html not right
darinaparsin	NCT00423306:Phase 2:Unknown status:No publish	html not right
sodium heparin	NCT00427310:Phase 3:Completed:O'Connell MJ, Lavery I, Yothers G, Paik S, Clark-Langone KM, Lopatin M, Watson D, Baehner FL, Shak S, Baker J, Cowens JW, Wolmark N. Relationship between tumor gene expression and recurrence in four independent studies of patients with stage II/III colon cancer treated with surgery alone or surgery plus adjuvant fluorouracil plus leucovorin. J Clin Oncol. 2010 Sep 1;28(25):3937-44. doi: 10.1200/JCO.2010.28.9538. Epub 2010 Aug 2.	html not right
thermodox	NCT00441376:Phase 1:Completed:No publish;;NCT00617981:Phase 3:Completed:No publish;;NCT02112656:Phase 3:Recruiting:No publish	html not right
thymopentin	NCT00460681:Phase 3:Unknown status:No publish	Html not right
capecitabine in hcc	NCT00464295:Phase 2:Completed:No publish	html not right
tegafur/uracil (ufur®)	NCT00464919:Phase 2:Completed:No publish	html not right
bevacizumab	NCT00467194:Phase 1:Completed:No publish;;NCT00576199:Phase 2:Completed:No publish;;NCT01180959:Phase 2:Active, not recruiting:No publish;;NCT00980239:Phase 1:Completed:No publish;;NCT01442935:Phase 2:Active, not recruiting:No publish;;NCT03434379:Phase 3:Recruiting:No publish;;NCT03382886:Phase 1:Recruiting:No publish;;NCT00287222:Phase 2:Completed:No publish;;NCT00162669:Phase 2:Unknown status:No publish;;NCT00142467:Phase 2:Completed:No publish;;NCT01836653:Phase 2:Completed:No publish;;NCT01695772:Phase 4:Completed:No publish;;NCT01022541:Phase 2:Completed:No publish;;NCT02885753:Phase 3:Recruiting:No publish;;NCT01802645:Phase 2:Recruiting:No publish	Html not right
rapamycin	NCT00467194:Phase 1:Completed:No publish;;NCT02724332:Phase 1:Completed:No publish	Html not right
fluorouracil	NCT00471484:Phase 2:Unknown status:Ang MK, Poon D, Foo KF, Chung YF, Chow P, Wan WK, Thng CH, Ooi L. A new chemoimmunotherapy regimen (OXAFI) for advanced hepatocellular carcinoma. Hematol Oncol Stem Cell Ther. 2008 Jul-Sep;1(3):159-65.;;NCT00003994:Phase 3:Completed:No publish;;NCT00507585:Phase 1:Completed:No publish;;NCT03533582:Phase 2|Phase 3:Recruiting:No publish;;NCT01775501:Phase 2:Active, not recruiting:No publish;;NCT00537121:Phase 1:Completed:No publish;;NCT00009893:Phase 2:Completed:Alberts SR, Al-Khatib H, Mahoney MR, Burgart L, Cera PJ, Flynn PJ, Finch TR, Levitt R, Windschitl HE, Knost JA, Tschetter LK. Gemcitabine, 5-fluorouracil, and leucovorin in advanced biliary tract and gallbladder carcinoma: a North Central Cancer Treatment Group phase II trial. Cancer. 2005 Jan 1;103(1):111-8.;;NCT00980460:Phase 3:Active, not recruiting:No publish;;NCT00103298:Phase 2:Completed:No publish;;NCT00020501:Phase 3:Completed:No publish;;NCT00019474:Phase 2:Unknown status:No publish;;NCT00654160:Phase 1:Completed:No publish;;NCT00019513:Phase 1:Completed:No publish;;NCT02042443:Phase 2:Completed:No publish;;NCT01643499:Phase 1:Active, not recruiting:No publish;;NCT00559455:Phase 2:Completed:No publish;;NCT00408551:Phase 2:Unknown status:No publish;;NCT00438737:Phase 2:Unknown status:No publish;;NCT00002793:Phase 3:Unknown status:No publish;;NCT00006479:Phase 3:Unknown status:Benoist S, Nordlinger B. The role of preoperative chemotherapy in patients with resectable colorectal liver metastases. Ann Surg Oncol. 2009 Sep;16(9):2385-90. doi: 10.1245/s10434-009-0492-7. Epub 2009 Jun 25. Review.;;NCT00002692:Phase 3:Unknown status:Current version of study NCT00002692 on ClinicalTrials.gov;;NCT00482222:Phase 3:Unknown status:No publish;;NCT00513266:Phase 2:Unknown status:No publish;;NCT00003834:Phase 2:Completed:Alberts SR, Horvath WL, Sternfeld WC, Goldberg RM, Mahoney MR, Dakhil SR, Levitt R, Rowland K, Nair S, Sargent DJ, Donohue JH. Oxaliplatin, fluorouracil, and leucovorin for patients with unresectable liver-only metastases from colorectal cancer: a North Central Cancer Treatment Group phase II study. J Clin Oncol. 2005 Dec 20;23(36):9243-9. Epub 2005 Oct 17.;;NCT00023868:Phase 3:Completed:No publish;;NCT03069950:Phase 2:Recruiting:No publish;;NCT00006050:Phase 2:Unknown status:Ducreux M, Ychou M, Laplanche A, Gamelin E, Lasser P, Husseini F, Quenet F, Viret F, Jacob JH, Boige V, Elias D, Delperro JR, Luboinski M; gastrointestinal group of the Federation Nationale des Centres de Lutte Contre le Cancer. Hepatic arterial oxaliplatin infusion plus intravenous chemotherapy in colorectal cancer with inoperable hepatic metastases: a trial of the gastrointestinal group of the Federation Nationale des Centres de Lutte Contre le Cancer. J Clin Oncol. 2005 Aug 1;23(22):4881-7. Epub 2005 Jul 11.;;NCT00544349:Phase 2:Completed:No publish;;NCT00002716:Phase 3:Completed:Kemeny NE, Niedzwiecki D, Hollis DR, Lenz HJ, Warren RS, Naughton MJ, Weeks JC, Sigurdson ER, Herndon JE 2nd, Zhang C, Mayer RJ. Hepatic arterial infusion versus systemic therapy for hepatic metastases from colorectal cancer: a randomized trial of efficacy, quality of life, and molecular markers (CALGB 9481). J Clin Oncol. 2006 Mar 20;24(9):1395-403. Epub 2006 Feb 27.;;NCT00557102:Phase 2:Completed:No publish;;NCT00008294:Phase 1:Completed:Kemeny N, Capanu M, D'Angelica M, Jarnagin W, Haviland D, Dematteo R, Fong Y. Phase I trial of adjuvant hepatic arterial infusion (HAI) with floxuridine (FUDR) and dexamethasone plus systemic oxaliplatin, 5-fluorouracil and leucovorin in patients with resected liver metastases from colorectal cancer. Ann Oncol. 2009 Jul;20(7):1236-41. doi: 10.1093/annonc/mdn769. Epub 2009 Feb 20.;;NCT00492999:Phase 2:Active, not recruiting:No publish;;NCT00002842:Phase 2:Completed:No publish;;NCT00056030:Phase 2:Completed:No publish;;NCT00427310:Phase 3:Completed:O'Connell MJ, Lavery I, Yothers G, Paik S, Clark-Langone KM, Lopatin M, Watson D, Baehner FL, Shak S, Baker J, Cowens JW, Wolmark N. Relationship between tumor gene expression and recurrence in four independent studies of patients with stage II/III colon cancer treated with surgery alone or surgery plus adjuvant fluorouracil plus leucovorin. J Clin Oncol. 2010 Sep 1;28(25):3937-44. doi: 10.1200/JCO.2010.28.9538. Epub 2010 Aug 2.	html not right
oxaliplatin + 5-fluorouracil/leucovorin	NCT00471965:Phase 3:Completed:No publish	html not right
azd0530	NCT00475956:Phase 1:Completed:No publish	Html not right
capecitabine	NCT00483405:Phase 2:Completed:Sanoff HK, Bernard S, Goldberg RM, Morse MA, Garcia R, Woods L, Moore DT, O'Neil BH. Phase II Study of Capecitabine, Oxaliplatin, and Cetuximab for Advanced Hepatocellular Carcinoma. Gastrointest Cancer Res. 2011 May;4(3):78-83.;;NCT00076609:Phase 1|Phase 2:Completed:No publish;;NCT00363584:Phase 3:Completed:No publish;;NCT02576964:Phase 2:Completed:No publish;;NCT00486356:Phase 1:Completed:No publish;;NCT00021047:Phase 1|Phase 2:Completed:No publish;;NCT02042443:Phase 2:Completed:No publish;;NCT00156975:Phase 3:Unknown status:No publish;;NCT00003867:Phase 1:Unknown status:Goel S, Jhawer M, Rajdev L, Hopkins U, Fehn K, Baker C, Chun HG, Makower D, Landau L, Hoffman A, Wadler S, Mani S. Phase I clinical trial of irinotecan with oral capecitabine in patients with gastrointestinal and other solid malignancies. Am J Clin Oncol. 2002 Oct;25(5):528-34.;;NCT00010023:Phase 1:Completed:Chen TT, Ryan T, Potmesil M, et al.: Cisplatin/capecitabine: tolerance and activity in patients with upper gastrointestinal cancers. [Abstract] American Society of Clinical Oncology 2004 Gastrointestinal Cancers Symposium, 22-24 January 2004, San Francisco, CA. A-53, 2004.;;NCT03563170:Phase 1|Phase 2:Not yet recruiting:No publish;;NCT00561522:Phase 2|Phase 3:Unknown status:No publish;;NCT03578874:Phase 2:Recruiting:No publish;;NCT03114085:Phase 2:Not yet recruiting:No publish;;NCT02716766:Phase 2:Recruiting:No publish;;NCT01167049:Phase 2:Unknown status:No publish;;NCT01022541:Phase 2:Completed:No publish;;NCT00482222:Phase 3:Unknown status:No publish;;NCT00026234:Phase 2:Completed:No publish	html not right
ngr-htnf	NCT00484211:Phase 2:Completed:Santoro A, Pressiani T, Citterio G, Rossoni G, Donadoni G, Pozzi F, Rimassa L, Personeni N, Bozzarelli S, Rossoni G, Colombi S, De Braud FG, Caligaris-Cappio F, Lambiase A, Bordignon C. Activity and safety of NGR-hTNF, a selective vascular-targeting agent, in previously treated patients with advanced hepatocellular carcinoma. Br J Cancer. 2010 Sep 7;103(6):837-44. doi: 10.1038/sj.bjc.6605858. Epub 2010 Aug 17.	html not right
sorafenib (bay-43-9006)	NCT00490685:Phase 2:Completed:No publish	html not right
octreotide-lar, lanreotide autogel	NCT00495846:Phase 2|Phase 3:Completed:Cebon J, Findlay M, Hargreaves C, Stockler M, Thompson P, Boyer M, Roberts S, Poon A, Scott AM, Kalff V, Garas G, Dowling A, Crawford D, Ring J, Basser R, Strickland A, Macdonald G, Green M, Nowak A, Dickman B, Dhillon H, Gebski V; Australasian Gastro-Intestinal Trials Group (AGITG) Ag0001H Investigators. Somatostatin receptor expression, tumour response, and quality of life in patients with advanced hepatocellular carcinoma treated with long-acting octreotide. Br J Cancer. 2006 Oct 9;95(7):853-61. Epub 2006 Sep 5. Erratum in: Br J Cancer. 2007 Apr 10;96(7):1154. Findlay, M [added]; Hargreaves, C [added]; Stockler, M [added]; Thompson, P [added]; Boyer, M [added]; Roberts, S [added]; Poon, A [added]; Scott, A M [added]; Kalff, V [added]; Garas, G [added]; Dowling, A [added]; Crawford, D [added]; Ring, J [added]; Ba.	html not right
zd6474 (zactima) 100mg	NCT00496509:Phase 1:Completed:No publish	html not right
zd6474 (zactima) 300mg	NCT00496509:Phase 1:Completed:No publish	html not right
azd2171	NCT00501605:Phase 1:Completed:No publish;;NCT00475956:Phase 1:Completed:No publish	html not right
avastin	NCT00507585:Phase 1:Completed:No publish	html not right
leucovorin	NCT00507585:Phase 1:Completed:No publish;;NCT00001576:Phase 1:Completed:No publish;;NCT01775501:Phase 2:Active, not recruiting:No publish;;NCT03493048:Phase 2:Recruiting:No publish;;NCT03500874:Phase 3:Recruiting:No publish;;NCT03366155:Phase 2:Not yet recruiting:No publish;;NCT03563170:Phase 1|Phase 2:Not yet recruiting:No publish;;NCT00559455:Phase 2:Completed:No publish;;NCT00941655:Phase 3:Completed:Rudloff U, Langan RC, Mullinax JE, Beane JD, Steinberg SM, Beresnev T, Webb CC, Walker M, Toomey MA, Schrump D, Pandalai P, Stojadinovic A, Avital I. Impact of maximal cytoreductive surgery plus regional heated intraperitoneal chemotherapy (HIPEC) on outcome of patients with peritoneal carcinomatosis of gastric origin: results of the GYMSSA trial. J Surg Oncol. 2014 Sep;110(3):275-84. doi: 10.1002/jso.23633. Epub 2014 Jul 5.;;NCT01226719:Phase 2:Completed:No publish;;NCT00803647:Phase 2:Completed:No publish;;NCT03069950:Phase 2:Recruiting:No publish	html not right
vandetanib	NCT00508001:Phase 2:Completed:No publish	Html not right
s-adenosyl-l-methionine disulfate p-toluene-sulfonate	NCT00513461:Phase 2:Unknown status:No publish	html not right
rad001	NCT00516165:Phase 1|Phase 2:Completed:No publish	html not right
abt-869	NCT00517920:Phase 2:Completed:No publish	Html not right
tegafur/uracil	NCT00519688:Phase 2:Completed:No publish	html not right
opc-18	NCT00524498:Phase 2:Completed:No publish	html not right
abt-888	NCT00526617:Phase 1:Completed:Nuthalapati S, Munasinghe W, Giranda V, Xiong H. Clinical Pharmacokinetics and Mass Balance of Veliparib in Combination with Temozolomide in Subjects with Nonhematologic Malignancies. Clin Pharmacokinet. 2018 Jan;57(1):51-58. doi: 10.1007/s40262-017-0547-z.	Html not right
leucovorin calcium	NCT00537121:Phase 1:Completed:No publish;;NCT00009893:Phase 2:Completed:Alberts SR, Al-Khatib H, Mahoney MR, Burgart L, Cera PJ, Flynn PJ, Finch TR, Levitt R, Windschitl HE, Knost JA, Tschetter LK. Gemcitabine, 5-fluorouracil, and leucovorin in advanced biliary tract and gallbladder carcinoma: a North Central Cancer Treatment Group phase II trial. Cancer. 2005 Jan 1;103(1):111-8.;;NCT00103298:Phase 2:Completed:No publish;;NCT00020501:Phase 3:Completed:No publish;;NCT00654160:Phase 1:Completed:No publish;;NCT00019513:Phase 1:Completed:No publish;;NCT02042443:Phase 2:Completed:No publish;;NCT01643499:Phase 1:Active, not recruiting:No publish;;NCT00019760:Phase 2:Completed:No publish;;NCT00005860:Phase 1:Completed:No publish;;NCT00408551:Phase 2:Unknown status:No publish;;NCT00438737:Phase 2:Unknown status:No publish;;NCT00002793:Phase 3:Unknown status:No publish;;NCT00006479:Phase 3:Unknown status:Benoist S, Nordlinger B. The role of preoperative chemotherapy in patients with resectable colorectal liver metastases. Ann Surg Oncol. 2009 Sep;16(9):2385-90. doi: 10.1245/s10434-009-0492-7. Epub 2009 Jun 25. Review.;;NCT00002692:Phase 3:Unknown status:Current version of study NCT00002692 on ClinicalTrials.gov;;NCT00482222:Phase 3:Unknown status:No publish;;NCT00513266:Phase 2:Unknown status:No publish;;NCT00003834:Phase 2:Completed:Alberts SR, Horvath WL, Sternfeld WC, Goldberg RM, Mahoney MR, Dakhil SR, Levitt R, Rowland K, Nair S, Sargent DJ, Donohue JH. Oxaliplatin, fluorouracil, and leucovorin for patients with unresectable liver-only metastases from colorectal cancer: a North Central Cancer Treatment Group phase II study. J Clin Oncol. 2005 Dec 20;23(36):9243-9. Epub 2005 Oct 17.;;NCT00023868:Phase 3:Completed:No publish;;NCT00006050:Phase 2:Unknown status:Ducreux M, Ychou M, Laplanche A, Gamelin E, Lasser P, Husseini F, Quenet F, Viret F, Jacob JH, Boige V, Elias D, Delperro JR, Luboinski M; gastrointestinal group of the Federation Nationale des Centres de Lutte Contre le Cancer. Hepatic arterial oxaliplatin infusion plus intravenous chemotherapy in colorectal cancer with inoperable hepatic metastases: a trial of the gastrointestinal group of the Federation Nationale des Centres de Lutte Contre le Cancer. J Clin Oncol. 2005 Aug 1;23(22):4881-7. Epub 2005 Jul 11.;;NCT00544349:Phase 2:Completed:No publish;;NCT00002716:Phase 3:Completed:Kemeny NE, Niedzwiecki D, Hollis DR, Lenz HJ, Warren RS, Naughton MJ, Weeks JC, Sigurdson ER, Herndon JE 2nd, Zhang C, Mayer RJ. Hepatic arterial infusion versus systemic therapy for hepatic metastases from colorectal cancer: a randomized trial of efficacy, quality of life, and molecular markers (CALGB 9481). J Clin Oncol. 2006 Mar 20;24(9):1395-403. Epub 2006 Feb 27.;;NCT00557102:Phase 2:Completed:No publish;;NCT00008294:Phase 1:Completed:Kemeny N, Capanu M, D'Angelica M, Jarnagin W, Haviland D, Dematteo R, Fong Y. Phase I trial of adjuvant hepatic arterial infusion (HAI) with floxuridine (FUDR) and dexamethasone plus systemic oxaliplatin, 5-fluorouracil and leucovorin in patients with resected liver metastases from colorectal cancer. Ann Oncol. 2009 Jul;20(7):1236-41. doi: 10.1093/annonc/mdn769. Epub 2009 Feb 20.;;NCT00492999:Phase 2:Active, not recruiting:No publish;;NCT00002842:Phase 2:Completed:No publish;;NCT00056030:Phase 2:Completed:No publish	html not right
anastrozole	NCT00537771:Phase 4:Completed:No publish	Html not right
tamoxifen	NCT00537771:Phase 4:Completed:No publish	html not right
fentanyl sublingual spray	NCT00538850:Phase 3:Completed:Rauck R, Reynolds L, Geach J, Bull J, Stearns L, Scherlis M, Parikh N, Dillaha L. Efficacy and safety of fentanyl sublingual spray for the treatment of breakthrough cancer pain: a randomized, double-blind, placebo-controlled study. Curr Med Res Opin. 2012 May;28(5):859-70. doi: 10.1185/03007995.2012.683111. Epub 2012 May 2.	html not right
indocyanine green	NCT00540982:Phase 1|Phase 2:Completed:No publish	html not right
lidocaine	NCT00540982:Phase 1|Phase 2:Completed:No publish	Html not right
vinorelbine ditartrate	NCT00540982:Phase 1|Phase 2:Completed:No publish	html not right
endotag®-1	NCT00542048:Phase 2:Completed:No publish	html not right
lamivudine or entecavir	NCT00555334:Phase 4:Unknown status:No publish	html not right
nadolol	NCT00567216:Phase 4:Unknown status:No publish	Html not right
atropine	NCT00575523:Phase 4:Completed:No publish	html not right
selumetinib	NCT00604721:Phase 2:Completed:No publish;;NCT00553332:Phase 2:Completed:Bekaii-Saab T, Phelps MA, Li X, Saji M, Goff L, Kauh JS, O'Neil BH, Balsom S, Balint C, Liersemann R, Vasko VV, Bloomston M, Marsh W, Doyle LA, Ellison G, Grever M, Ringel MD, Villalona-Calero MA. Multi-institutional phase II study of selumetinib in patients with metastatic biliary cancers. J Clin Oncol. 2011 Jun 10;29(17):2357-63. doi: 10.1200/JCO.2010.33.9473. Epub 2011 Apr 25.	html not right
bevacizumab (avastin)	NCT00605722:Phase 2:Completed:No publish;;NCT00242502:Phase 2:Completed:No publish	html not right
