NCT Number	Status	Study Results	Interventions	Outcome Measures	Phases	URL
NCT00019630	Completed	No Results Available	Drug: doxorubicin HCl liposome		Phase 1	https://ClinicalTrials.gov/show/NCT00019630
NCT02842125	Not yet recruiting	No Results Available	Drug: Ad-P53|Drug: Xeloda|Drug: Keytruda|Drug: Opdivo	Safety assessed by CTCAE|Incidence of dose-limiting toxicities (DLTs)|Determination of maximum-tolerated dose (MTD)|Progression-Free Survival (PFS) of patients using RECIST 1.1|Efficacy determined by Immune Related Response Criteria (irRC) [Wolchok 2009]|Efficacy as determined by biomarker testing and immunohistochemistry testing	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT02842125
NCT01347424	Unknown status	No Results Available	Drug: Paclitaxel , carboplatin, endostatin|Drug: Paclitaxel and Carboplatin	The changes of blood flow perfusion in secondary malignant neoplasm of liver|Comparing the difference of OS(Overall Survival) and ORR(Objective Response Rate) according to Response Evaluation Criteria in Solid Tumors (RECIST) criteria in the two different arms.|Number of Participants with Adverse Events in the two different arms	Phase 2	https://ClinicalTrials.gov/show/NCT01347424
NCT00661622	Completed	Has Results	Drug: GM-CSF|Procedure: Embolization	Response of Liver Metastases|Overall Response Rate|Overall Survival|Median Progression Free Survival|Systemic Progression Free Survival	Phase 2	https://ClinicalTrials.gov/show/NCT00661622
NCT01743469	Completed	Has Results	Drug: Tasquinimod	Progression Free Survival (PFS) Rate, Defined as the Percentage of Patients Who Had Neither Progressed Nor Died as Measured by Centrally Analysed RECIST v1.1 (All Cohorts).|PFS Rate Measured by Choi Criteria (Hepatocellular Carcinoma Cohort).|Best Overall Response and Response Rates (All Cohorts) Using RECIST v1.1 (Centrally and Locally Analysed).|Best Overall Response and Response Rate Based on Choi Criteria (Hepatocellular Carcinoma Cohort).|Clinical Benefit (All Cohorts).|PFS From First Study Treatment to Progression or Death Due to Any Cause Based on Choi Criteria (Hepatocellular Carcinoma Cohort).|PFS From First Study Treatment to Progression or Death Due to Any Cause Based on RECIST v1.1 Criteria (All Cohorts).|Time to Progression (TTP) by Choi Criteria (Hepatocellular Carcinoma Cohort).|TTP by RECIST v1.1 (All Cohorts).|Overall Survival (OS), Defined as the Time From First Study Treatment to Death Due to Any Cause (All Cohorts).|Further Cancer-related Treatment During Follow-up Period (All Cohorts).	Phase 2	https://ClinicalTrials.gov/show/NCT01743469
NCT00021047	Completed	No Results Available	Drug: capecitabine|Drug: carboplatin|Drug: epirubicin hydrochloride		Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00021047
NCT00103298	Completed	No Results Available	Drug: FOLFOX regimen|Drug: fluorouracil|Drug: isolated perfusion|Drug: leucovorin calcium|Drug: melphalan|Drug: oxaliplatin	Response and duration of response|Patterns of recurrence|Progression-free and overall survival|Correlation of health-related quality of life with length of survival	Phase 2	https://ClinicalTrials.gov/show/NCT00103298
NCT00089401	Completed	No Results Available	Drug: isolated perfusion|Drug: melphalan|Procedure: conventional surgery	Response|Duration of response|Patterns of tumor recurrence (liver vs systemic)|Progression-free survival|Overall survival|Quality of life	Phase 2	https://ClinicalTrials.gov/show/NCT00089401
NCT00020501	Completed	No Results Available	Drug: FOLFIRI regimen|Drug: floxuridine|Drug: fluorouracil|Drug: irinotecan hydrochloride|Drug: leucovorin calcium|Drug: melphalan|Procedure: hyperthermia treatment		Phase 3	https://ClinicalTrials.gov/show/NCT00020501
NCT02174575	Unknown status	No Results Available	Drug: Sevoflurane|Drug: Desflurane	Postoperative acute kidney injury|Urine IL-6 concentration|Plasma NGAL concentration|Urine NGAL concentration|Serum cystatin C concentration|Urine L-FABP concentration|Urine NAG concentration|Urine albumin concentration	Phase 4	https://ClinicalTrials.gov/show/NCT02174575
NCT03058289	Recruiting	No Results Available	Drug: INT230-6|Biological: anti-PD-1|Biological: anti-PD-1 antibody	Rate and severity of treatment-emergent adverse events ≥ grade 3 attributed to study drug using the NCI Common Terminology Criteria for Adverse Events (CTCAE v.4.03) (Scale 1 to 5)|Preliminary Efficacy: Control or Regression of Injected Tumors by Measurement of Length, Width and Height (in centimeters) Radio-graphically Using Computer Tomography or Magnetic Resonance Imaging to Calculate Tumor Volumes (cubic centimeters) Over Time.|Determine pharmacokinetic parameter Peak Plasma (Cmax in ng/mL) of each of the 3 main components of INT230-6.|Determine key pharmacokinetic parameter, Area Under the Curve (AUC) (ng*hr/mL) of each of the 3 main components of INT230-6.|Key pharmacokinetic parameters, half live (hours) of each of the 3 main components of INT230-6.	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT03058289
NCT02435433	Recruiting	No Results Available	Drug: Ramucirumab|Drug: Placebo	Overall Survival (OS)|Progression Free Survival (PFS)|Time to Radiographic Progression|Percentage of Participants with a Best Overall Response of Complete Response (CR) or Partial Response (PR): Objective Response Rate (ORR)|Pharmacokinetics (PK): Serum Concentration of Ramucirumab|Number of Participants with Anti-Ramucirumab Antibodies|Functional Assessment of Cancer Therapy (FACT) Hepatobiliary Symptom Index-8 (FHSI-8)|EuroQol 5-Dimension 5-Level (EQ-5D-5L) Questionnaire|Time to Deterioration in Eastern Cooperative Oncology Group Performance Status (ECOG PS)	Phase 3	https://ClinicalTrials.gov/show/NCT02435433
NCT01214343	Unknown status	No Results Available	Drug: Sorafenib with Low-dose FP|Drug: Sorafenib	Overall survival|Time to progression|Progression Free Survival|Change of tumor marker|Biomarker predicting the efficacy	Phase 3	https://ClinicalTrials.gov/show/NCT01214343
NCT00712855	Completed	No Results Available	Biological: mapatumumab|Drug: sorafenib	Type, frequency, and severity of adverse events.	Phase 1	https://ClinicalTrials.gov/show/NCT00712855
NCT00054951	Unknown status	No Results Available	Drug: MTC-DOX for Injection		Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00054951
NCT03419897	Recruiting	No Results Available	Drug: BGB-A317	Objective Response Rate (ORR) assessed by Independent Review Committee (IRC)|Duration of Response (DOR)|Progression-free survival (PFS)|Disease Control Rate (DCR)|Clinical benefit rate (CBR)|Overall Survival|Percentage of patients with adverse events|Health-Related Quality of Life (HRQoL)|Percentage of Participants With Clinically Significant Changes in Vital Signs Findings|Percentage of Participants With Clinically Significant Changes in Physical Examination Findings|Percentage of Participants With Clinically Significant Changes in Clinical Laboratory Results Findings|Percentage of Participants With Clinically Significant Changes in Electrocardiogram (ECG) Findings	Phase 2	https://ClinicalTrials.gov/show/NCT03419897
NCT03412773	Recruiting	No Results Available	Drug: BGB-A317|Drug: Sorafenib	Overall Survival (OS)|Safety Run-In Substudy[Japan only]: Percentage of patients with adverse events|Safety Run-In Substudy[Japan only]: Percentage of patients with dose-limiting toxicities (DLT) [Determination of the pivotal Phase 3 dose of BGB-A317 in Japanese patients]|Safety Run-In Substudy[Japan only]: Maximum Concentration (Cmax) of BGB-A317|Safety Run-In Substudy[Japan only]: Trough Serum Concentration (Cmin) of BGB-A317|Safety Run-In Substudy[Japan only]: Area Under the Curve (AUC) of BGB-A317|Safety Run-In Substudy[Japan only]:Anti-Drug Antibodies (ADA) against BGB-A317 at Cmin|Safety Run-In Substudy[Japan only]: Percentage of Participants With Clinically Significant Changes in Vital Signs Findings|Safety Run-In Substudy[Japan only]: Percentage of Participants With Clinically Significant Changes in Physical Examination Findings|Safety Run-In Substudy[Japan only]: Percentage of Participants With Clinically Significant Changes in Clinical Laboratory Results Findings|Safety Run-In Substudy[Japan only]: Percentage of Participants With Clinically Significant Changes in Electrocardiogram (ECG) Findings|Objective Response Rate (ORR)|Progression-free survival (PFS)|Duration of Response (DOR)|Time to Progression (TTP)|Health-Related Quality of Life (HRQoL)|Disease Control Rate (DCR)|Clinical Benefit Rate (CBR)|Percentage of patients with adverse events|Safety Run-In Substudy[Japan only]: Objective Response Rate (ORR)|Safety Run-In Substudy[Japan only]: Progression-free survival (PFS)|Safety Run-In Substudy[Japan only]: Duration of Response (DOR)|Safety Run-In Substudy[Japan only]: Overall Survival (OS)|Safety Run-In Substudy[Japan only]: Anti-BGB-A317 antibody|Percentage of Participants With Clinically Significant Changes in Vital Signs Findings|Percentage of Participants With Clinically Significant Changes in Physical Examination Findings|Percentage of Participants With Clinically Significant Changes in Clinical Laboratory Results Findings|Percentage of Participants With Clinically Significant Changes in Electrocardiogram (ECG) Findings	Phase 3	https://ClinicalTrials.gov/show/NCT03412773
NCT00019474	Unknown status	No Results Available	Biological: filgrastim|Biological: recombinant interferon alfa|Drug: fluorouracil|Drug: hydroxyurea		Phase 2	https://ClinicalTrials.gov/show/NCT00019474
NCT00187109	Completed	No Results Available	Drug: Recombinant Human Thrombopoietin	To evaluate the safety of recombinant human thrombopoietin following chemotherapy which includes ifosfamide, carboplatin and etoposide for solid tumors and lymphoma.|To evaluate whether recombinant human thrombopoietin will reduce the time necessary for platelet counts to recover following chemotherapy.	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00187109
NCT00987766	Completed	No Results Available	Drug: erlotinib hydrochloride|Drug: gemcitabine hydrochloride|Drug: oxaliplatin|Other: laboratory biomarker analysis	Maximum tolerated dose and recommended phase II dose of erlotinib hydrochloride in combination with gemcitabine hydrochloride and oxaliplatin|Antitumor activity|E-cadherin, vimentin, fibronectin, amphiregulin, and Kras status in the tumors and their relationship to response	Phase 1	https://ClinicalTrials.gov/show/NCT00987766
NCT02869217	Recruiting	No Results Available	Drug: Cyclophosphamide|Biological: TBI-1301	Safety profile (i.e. adverse events, presence/absence of RCR, analysis of clonality and PK of TBI-1301) assessed by CTCAE v.4.0 and laboratory testings.|Recommended phase 2 (RP2D) dose o TBI-1301 when administered following cyclophosphamide pre-treatment|Evidence of efficacy (i.e. anti-tumor effect) of TBI-1301 measured using RECIST v1.1	Phase 1	https://ClinicalTrials.gov/show/NCT02869217
NCT00788125	Active, not recruiting	No Results Available	Drug: carboplatin|Drug: dasatinib|Drug: etoposide phosphate|Drug: ifosfamide|Genetic: microarray analysis|Genetic: western blotting|Other: immunohistochemistry staining method|Other: laboratory biomarker analysis|Procedure: therapeutic conventional surgery|Radiation: radiation therapy	Maximum tolerated dose of dasatinib (Phase I)|Toxicity as measured by NCI CTCAE v3.0 (Phase I)|Overall survival at 1 year in patients with relapsed sarcoma (Phase II, Stratum A)|Response rate prior to consolidation therapy as measured by RECIST criteria (Phase II)|Progression-free survival (Phase II)|Exploratory correlative studies	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00788125
NCT02381561	Recruiting	No Results Available	Radiation: Intensity-Modulated Radiation Therapy|Other: Laboratory Biomarker Analysis|Other: Pharmacological Study|Drug: Ropidoxuridine	Maximum tolerated dose (MTD) defined as the dose below which 2 or more of 6 patients experience dose-limiting toxicity|%iododeoxyuridine (IUdR)-deoxyribonucleic acid (DNA) incorporation in tumor biopsies|Pharmacokinetic (PK) incorporation in tumor biopsies|%iododeoxyuridine (IUdR)-deoxyribonucleic acid (DNA) incorporation in peripheral (circulating) granulocytes|Pharmacokinetic (PK) incorporation in peripheral (circulating) granulocytes|Tumor response relationship to the %iododeoxyuridine (IUdR)-deoxyribonucleic acid (DNA) incorporation using Response Evaluation Criteria in Solid Tumors (RECIST) criteria based on high-pressure liquid chromatography (HPLC) and flow cytometry measurements	Phase 1	https://ClinicalTrials.gov/show/NCT02381561
NCT00107536	Completed	Has Results	Drug: lapatinib ditosylate|Other: laboratory biomarker analysis	Proportion of Patients Demonstrating Objective Response (PR+CR) as Defined by RECIST|Progression-free Survival|Toxicity Profile Assessed Using NCI CTCAE Version 3.0|Median Overall Survival|Overall Survival|Target-EGFR/EGFR-P Protein Expression|Expression Profile and Mutations of Genes Critical for EGFR and ERBB2 Signaling Pathways	Phase 2	https://ClinicalTrials.gov/show/NCT00107536
NCT01120288	Completed	No Results Available	Drug: EZN-2968	Determine the modulation of HIF-1 alpha mRNA in tumor biopsies pre- and post- administration of EZN-2968.|Assess the safety of EZN-2968 in patients with liver-predominant solid tumors. Determine the modulation of HIF-1 alpha protein levels in tumor biopsies pre- and post-administration of EZN-2968.	Phase 1	https://ClinicalTrials.gov/show/NCT01120288
NCT01394497	Completed	No Results Available	Drug: N-acetylcystein	Graft survival|Patient survival|Primary graft dysfunction	Phase 2	https://ClinicalTrials.gov/show/NCT01394497
NCT01967823	Recruiting	No Results Available	Biological: Anti-NY ESO-1 mTCR PBL|Drug: Cyclophosphamide|Drug: Fludarabine|Drug: Aldesleukin	Response Rate|In vivo survival of TCR gene-engineered cells|Frequency severity of treatment related adverse events	Phase 2	https://ClinicalTrials.gov/show/NCT01967823
NCT00033462	Completed	No Results Available	Drug: erlotinib hydrochloride|Other: laboratory biomarker analysis	Proportion of patients who are progression-free at 24 weeks|Objective response, defined by the RECIST criteria in terms of tumor/lesion size and change|Overall survival|Time to disease progression|EGFR protein levels|Overall response rate in EGFR positive patients	Phase 2	https://ClinicalTrials.gov/show/NCT00033462
NCT00002608	Completed	No Results Available	Drug: cisplatin|Drug: doxorubicin hydrochloride|Drug: tamoxifen citrate|Procedure: conventional surgery|Radiation: radiation therapy		Phase 2	https://ClinicalTrials.gov/show/NCT00002608
NCT03253289	Recruiting	No Results Available	Drug: Meclizine Oral Tablet	Change in mRNA levels|Change in Ki-67 proliferation index|change in TUNEL assay|Tumor response|Change in Serum AFP|Change in growth differentiation factor (GDF-15)|A panel of CAR downstream target genes	Phase 1	https://ClinicalTrials.gov/show/NCT03253289
NCT00516165	Completed	Has Results	Drug: RAD001	Maximum Tolerated Dose of RAD001 in Patients With Advanced Hepatocellular Carcinoma (HCC).|Progression-free Survival Rate at 24 Weeks|Number of Patients With Adverse Events Who Were Treated With RAD001 for Advanced HCC|Overall Response Rate|Time to Progression|Overall Survival	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00516165
NCT00716976	Completed	Has Results	Drug: sodium thiosulfate|Procedure: examination	Incidence of Hearing Loss|Change in Hearing Thresholds For Key Frequencies at 500 hz|Change in Hearing Thresholds For Key Frequencies at 1000 hz|Change in Hearing Thresholds For Key Frequencies at 2000 hz|Change in Hearing Thresholds For Key Frequencies at 4000 hz|Change in Hearing Thresholds For Key Frequencies at 8000 hz|Event-Free Survival (EFS)|Overall Survival (OS)|Hearing Loss Among Patients Carrying/Not-carrying Two Key Gene Mutations (TPMT and COMT)	Phase 3	https://ClinicalTrials.gov/show/NCT00716976
NCT00654160	Completed	No Results Available	Drug: fluorouracil|Drug: irinotecan hydrochloride|Drug: leucovorin calcium|Other: pharmacogenomic studies|Other: pharmacological study	Maximum tolerated dose of genotype-based dosing of FOLFIRI with or without monoclonal antibody therapy|Response rate of genotype-based dosing in the subset of patients that has colorectal cancer	Phase 1	https://ClinicalTrials.gov/show/NCT00654160
NCT01498952	Completed	No Results Available	Drug: MEDI-573 (1 of 3 doses)|Drug: Sorafenib	Phase Ib: (Dose Evaluation Phase): Safety and Tolerability of 2 Dose Levels of MEDI-573 Combined with Standard of Care (SOC)|Pharmacokinetics (PK) of MEDI-573|Immunogenicity of MEDI-573	Phase 1	https://ClinicalTrials.gov/show/NCT01498952
NCT00024258	Completed	Has Results	Drug: arsenic trioxide	Response Rate After Every 3 Courses During Treatment and Then Every 2-3 Months for 1 Year After Completion of Treatment	Phase 2	https://ClinicalTrials.gov/show/NCT00024258
NCT00041808	Completed	No Results Available	Drug: MTC-DOX for Injection|Procedure: Chemotherapy		Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00041808
NCT00007813	Unknown status	No Results Available	Biological: filgrastim|Drug: carboplatin|Drug: cyclophosphamide|Drug: etoposide|Procedure: autologous bone marrow transplantation|Procedure: peripheral blood stem cell transplantation		Phase 1	https://ClinicalTrials.gov/show/NCT00007813
NCT00002515	Completed	No Results Available	Biological: filgrastim|Drug: carboplatin|Drug: thiotepa|Drug: topotecan hydrochloride|Procedure: autologous bone marrow transplantation|Procedure: bone marrow ablation with stem cell support|Procedure: in vitro-treated bone marrow transplantation		Phase 2	https://ClinicalTrials.gov/show/NCT00002515
NCT00036959	Completed	No Results Available	Drug: ABT-751		Phase 1	https://ClinicalTrials.gov/show/NCT00036959
NCT02145559	Active, not recruiting	No Results Available	Drug: Metformin XR|Drug: Delayed Metformin|Drug: Sirolimus	Pharmacodynamic Biomarker p70S6K|Pharmacodynamic Biomarkers p4EBP1 and pAKT|Tolerability - Full physical Exam|Fasting Serum Glucose and Triglycerides	Phase 1	https://ClinicalTrials.gov/show/NCT02145559
NCT00003427	Completed	No Results Available	Drug: irinotecan hydrochloride|Drug: oxaliplatin		Phase 1	https://ClinicalTrials.gov/show/NCT00003427
NCT00019331	Completed	No Results Available	Biological: aldesleukin|Biological: ras peptide cancer vaccine|Biological: sargramostim|Drug: DetoxPC		Phase 2	https://ClinicalTrials.gov/show/NCT00019331
NCT00019513	Completed	No Results Available	Drug: fluorouracil|Drug: gemcitabine hydrochloride|Drug: leucovorin calcium		Phase 1	https://ClinicalTrials.gov/show/NCT00019513
NCT01042691	Completed	No Results Available	Drug: Oxaliplatin	To determine the maximum tolerated dose and dose limiting toxicity of oxaliplatin delivered via isolated hepatic perfusion (IHP).|To determine if isolated hepatic perfusion with oxaliplatin can increase the response rate, duration of response and survival of patients being treated with standard HAI with FUDR when compared to historical controls.|To determine the tissue absorption of oxaliplatin in normal liver versus tumor during IHP.	Phase 1	https://ClinicalTrials.gov/show/NCT01042691
NCT03347292	Recruiting	No Results Available	Drug: Regorafenib(Stivarga, BAY73-4506)|Drug: Pembrolizumab	Incidence of treatment-emergent adverse event(TEAEs)|Severity of TEAEs|Dose Limiting Toxicities(DLTs)|Maximum Tolerated Dose (MTD)|Progression-free survival (PFS)|Time to progression (TTP)|Overall survival (OS)|Overall response rate (ORR)|Disease control rate (DCR)|Duration of response (DOR)|Duration of stable disease	Phase 1	https://ClinicalTrials.gov/show/NCT03347292
NCT02042443	Completed	Has Results	Drug: Capecitabine|Drug: Fluorouracil|Other: Laboratory Biomarker Analysis|Drug: Leucovorin Calcium|Drug: Trametinib	Overall Survival|Number of Patients With Grade 3 Through Grade 5 Adverse Events That Are Related to Study Drug|Objective Response Rate|Progression-free Survival	Phase 2	https://ClinicalTrials.gov/show/NCT02042443
NCT03199586	Recruiting	No Results Available	Drug: NP-G2-044	Number of participants with treatment related adverse events|Anti tumor activity	Phase 1	https://ClinicalTrials.gov/show/NCT03199586
NCT00303940	Completed	No Results Available	Drug: carboplatin|Drug: talabostat mesylate|Drug: temozolomide|Other: pharmacological study		Phase 1	https://ClinicalTrials.gov/show/NCT00303940
NCT02431676	Active, not recruiting	No Results Available	Drug: Metformin|Behavioral: Coach Directed Behavioral Weight Loss|Behavioral: Self-control weight loss	IGF-1 levels|IGF-1 levels :IGFBP3 levels (Ratio)	Phase 2	https://ClinicalTrials.gov/show/NCT02431676
NCT02094625	Recruiting	No Results Available	Drug: N-Acetylcysteine	Target Serum Level NAC|Adverse events during infusion of NAC|NAC Level|Hearing assessment|Renal Toxicity|Response of tumor to treatment|Effect of Genotype on Hearing Loss and Hearing Protection|Glutathione serum level	Phase 1	https://ClinicalTrials.gov/show/NCT02094625
NCT00105443	Completed	Has Results	Drug: Sorafenib (Nexavar, BAY43-9006)|Drug: Placebo	Overall Survival (OS)|Time to Symptomatic Progression (TTSP)|Time to Progression (TTP)|Disease Control (DC)|Patients Reported Outcome (PRO) by Use of the FACT-Hep Questionnaire	Phase 3	https://ClinicalTrials.gov/show/NCT00105443
NCT02662348	Unknown status	No Results Available	Drug: Recombinant Human Interleukin-2|Drug: HER2Bi-Armed T Cells	Safety as measured by local and systemic toxicities|Changes in cytokine profiles and tumor markers in serum before and after treatment|Changes in phenotyping induced by immunotherapy in peripheral blood mononuclear cells (PBMC)|Clinical response rate (including clinical symptoms and signs, complete response, partial response, progressive disease, and stable disease, imaging examination of pretherapy and post-treatment) will be measured by follow-up investigation.|Overall survival|Progression free survival	Phase 1	https://ClinicalTrials.gov/show/NCT02662348
NCT00617981	Completed	Has Results	Drug: ThermoDox|Drug: 5% Dextrose Solution	Progression Free Survival Will be Measured From the Date of Randomization to the First Date on Which One of the Following Occurs. o Local Recurrence o Any New Distant Intrahepatic HCC Tumor o Any New Extrahepatic HCC Tumor o Death From Any Cause|Overall Survival as Measured by Time From Randomization to Death or the End of the Study.|Time to Definite Worsening as Per Patient-Reported Outcomes|Time to Local Recurrence.|Safety	Phase 3	https://ClinicalTrials.gov/show/NCT00617981
NCT00020150	Completed	No Results Available	Drug: O6-benzylguanine|Drug: temozolomide		Phase 1	https://ClinicalTrials.gov/show/NCT00020150
NCT00030108	Completed	No Results Available	Drug: ixabepilone	Maximum tolerated dose and dose-limiting toxicity of ixabepilone|Toxicity spectrum|Plasma pharmacokinetics|Pharmacodynamics|Nerve growth factor levels before and after drug administration|Objective tumor response|Tubulin polymerization in PBMCs prior to the start of the infusion, just before the end of the infusion, 5 hours after the end of the infusion and before the start of the infusion on day 2 of the ixabepilone on course 1	Phase 1	https://ClinicalTrials.gov/show/NCT00030108
NCT00666978	Completed	Has Results	Behavioral: smoking cessation intervention|Drug: bupropion hydrochloride|Genetic: gene expression analysis|Genetic: polymerase chain reaction|Other: counseling intervention|Other: educational intervention|Procedure: psychosocial assessment and care	Number of Participants With Salivary Cotinine-verified Smoking Abstinence at 6 Months|Number of Slow and Fast Metabolizers by Metabolite Ratio|Number of Participants for Each CYP2B6 Allele|Number of Slow and Fast Metabolizers by Genotype	Phase 4	https://ClinicalTrials.gov/show/NCT00666978
NCT00273312	Completed	No Results Available	Drug: Patupilone	Tumor response as assessed by radiologic techniques and/or physical examination based on Response Evaluation Criteria in Solid Tumors (RECIST)|Time to progression|Overall survival	Phase 2	https://ClinicalTrials.gov/show/NCT00273312
NCT00534001	Completed	Has Results	Drug: bupropion hydrochloride|Other: placebo	Prequit Change in Cigarettes Per Day|Abstinence	Phase 2	https://ClinicalTrials.gov/show/NCT00534001
NCT00365508	Completed	Has Results	Drug: nicotine lozenge|Drug: nicotine patch	24-hour Point Prevalence Abstinence at the 6-month Follow up|Rate of Compliance During the First 2 Weeks	Phase 4	https://ClinicalTrials.gov/show/NCT00365508
NCT02529774	Not yet recruiting	No Results Available	Drug: Floxuridine (FUDR),Dexamethasone (DXM), Heparin in combination with Oxaliplatin and Capecitabine (CapeOX) or in combination with Oxaliplatin and Leucovorin and 5-FU (mFOLFOX6)|Drug: Oxaliplatin and Capecitabine (CapeOX) or Oxaliplatin and Leucovorin and 5-FU (mFOLFOX6)	Overall Survival|Liver Relapse-Free Survival Rate|Disease free survival	Phase 2|Phase 3	https://ClinicalTrials.gov/show/NCT02529774
NCT02316028	Completed	No Results Available	Drug: Decitabine	toxicity of escalating doses of decitabine administered by HAI|overall survival|progression free survival|best objective tumor response|measuring Global DNA methylation of tumoral DNA|measuring Global DNA methylation of cell free DNA	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT02316028
NCT00031681	Completed	No Results Available	Drug: 7-hydroxystaurosporine|Drug: irinotecan hydrochloride|Other: diagnostic laboratory biomarker analysis	MTD of irinotecan hydrochloride in combination with 7-hydroxystaurosporine in patients with resistant solid tumor malignancies (Part I)|DLT of irinotecan hydrochloride in combination with 7-hydroxystaurosporine in patients with resistant solid tumor malignancies (Part I)|Toxicities associated with irinotecan hydrochloride in combination with 7-hydroxystaurosporine in patients with resistant solid tumor malignancies (Part I)|Anti-tumor activity of 7-hydroxystaurosporine in combination with irinotecan hydrochloride in ER-negative, PgR-negative, HER-2 not-amplified (triple negative) recurrent breast cancer (Part II)|Side effect profile of 7-hydroxystaurosporine in combination with irinotecan hydrochloride in triple negative recurrent breast cancer (Part II)|Anti-tumor activity of the combination of irinotecan hydrochloride and 7-hydroxystaurosporine in treatment of patients with resistant solid tumor malignancies|Pharmacokinetics of irinotecan hydrochloride and 7-hydroxystaurosporine when administered in combination|Serum alpha-acid glycoprotein and correlate this level with free 7-hydroxystaurosporine concentrations|In vivo mechanistic basis for 7-hydroxystaurosporine activity	Phase 1	https://ClinicalTrials.gov/show/NCT00031681
NCT00397384	Completed	No Results Available	Drug: cetuximab|Drug: erlotinib hydrochloride|Other: laboratory biomarker analysis	Incidence of DLT, defined as recurring grade 2 or greater non-hematological or grade 3 or greater hematological toxicities or skin rash graded using Common Terminology Criteria for Adverse Events version 3.0 (CTCAE-v3)|MTD defined as the dose level at which fewer than 2 out of 6 patients experience DLT graded using CTCAE-v3|Change in molecular inhibition of the EGFR signaling pathway|OBD defined as the dose at which either a >= 75% inhibition of phosphorylation of the EGF receptor or of its downstream effectors p44/42 MAPK or Akt is observed, or Ki67 is decreased by >= 25%|Antitumor effect observed	Phase 1	https://ClinicalTrials.gov/show/NCT00397384
NCT00030498	Completed	No Results Available	Drug: erlotinib hydrochloride|Other: laboratory biomarker analysis	Maximum tolerated dose (MTD) of OSI-774 determined by dose-limiting toxicities	Phase 1	https://ClinicalTrials.gov/show/NCT00030498
NCT01643499	Active, not recruiting	No Results Available	Drug: oxaliplatin|Drug: irinotecan hydrochloride|Drug: leucovorin calcium|Drug: fluorouracil|Other: laboratory biomarker analysis	DLT rate in course 1 for each of the two most common genotype groups (*1*1 and *1*28)|Response rates (by RECIST 1.1) for patients with each different type of gastrointestinal malignancy|Cumulative dose intensity of irinotecan hydrochloride	Phase 1	https://ClinicalTrials.gov/show/NCT01643499
NCT03329950	Recruiting	No Results Available	Drug: CDX-1140	Safety and Tolerability of CDX1140-01 as assessed by CTCAE v4.0	Phase 1	https://ClinicalTrials.gov/show/NCT03329950
NCT00892424	Active, not recruiting	No Results Available	Drug: Sorafenib	Determine the MTD of sorafenib and RT in patients with liver metastases using an iso-toxicity radiation dose allocation scheme. Determine the acute toxicity (< 3 months) of sorafenib when combined with RT in patients with liver metastases.|Document any observed late toxicities of treatment. Determine 1) the in-field local control based on CT response at 3 months;2)the time to progression and overall survival of this cohort, 3)changes in quality of life in these patients	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00892424
NCT02557490	Unknown status	No Results Available	Drug: oxaliplatin and raltitrexed	Progression-free survival (PFS)|overall survival (OS)	Phase 4	https://ClinicalTrials.gov/show/NCT02557490
NCT02015169	Completed	No Results Available	Drug: Lapatinib	complete resection rate (R0 resection rate) (defined as no macroscopic or microscopic residual tumor).|response rate based on RECIST 1.1|disease-free survival|progression-free survival|safety and toxicity based on NCI CTCAE ver. 4.0|Exploratory biomarker analysis	Phase 2	https://ClinicalTrials.gov/show/NCT02015169
NCT02380131	Unknown status	No Results Available	Drug: Oxaliplatin plus Capecitabine|Drug: Herceptin	progression-free survival(PFS)|Objective response rate (ORR)	Phase 4	https://ClinicalTrials.gov/show/NCT02380131
NCT00208260	Completed	No Results Available	Drug: FOLFIRI|Drug: FOLFOX-4|Drug: FOLFIRI-HD|Drug: FOLFOX-7|Drug: FOLFIRINOX	Response|Safety|Survival|Secondary resection	Phase 2|Phase 3	https://ClinicalTrials.gov/show/NCT00208260
NCT00608361	Completed	No Results Available	Drug: Dasatinib|Other: Pharmacological Study	Maximum tolerated dose of dasatinib, defined as the highest dose level at which less than 33% of 6-9 evaluable patients experience dose-limiting toxicity|Pharmacokinetic parameters of dasatinib	Phase 1	https://ClinicalTrials.gov/show/NCT00608361
