Clinname	Result
NCT02527772	Lombardi G, Zustovich F, Farinati F, Cillo U, Vitale A, Zanus G, Donach M, Farina M, Zovato S, Pastorelli D. Pegylated liposomal doxorubicin and gemcitabine in patients with advanced hepatocellular carcinoma: results of a phase 2 study. Cancer. 2011 Jan 1;117(1):125-33. doi: 10.1002/cncr.25578. Epub 2010 Aug 31.|Qin S, Bai Y, Lim HY, Thongprasert S, Chao Y, Fan J, Yang TS, Bhudhisawasdi V, Kang WK, Zhou Y, Lee JH, Sun Y. Randomized, multicenter, open-label study of oxaliplatin plus fluorouracil/leucovorin versus doxorubicin as palliative chemotherapy in patients with advanced hepatocellular carcinoma from Asia. J Clin Oncol. 2013 Oct 1;31(28):3501-8. doi: 10.1200/JCO.2012.44.5643. Epub 2013 Aug 26.
NCT03144661	No publish
NCT02423239	No publish
NCT03101488	No publish
NCT03222076	No publish
NCT02354898	No publish
NCT03319459	No publish
NCT02572687	No publish
NCT03095781	No publish
NCT02262455	No publish
NCT01546519	No publish
NCT03407001	No publish
NCT03009461	No publish
NCT03192644	No publish
NCT03219372	No publish
NCT03313596	No publish
NCT02387307	No publish
NCT02029690	No publish
NCT01174121	No publish
NCT02315066	No publish
NCT02755311	No publish
NCT03017326	No publish
NCT02232633	No publish
NCT02973516	No publish
NCT00849264	No publish
NCT03468231	No publish
NCT01953926	No publish
NCT02074202	No publish
NCT02650427	No publish
NCT00923481	No publish
NCT01522820	No publish
NCT01482442	No publish
NCT01575574	No publish
NCT01733004	No publish
NCT02586285	No publish
NCT00630084	No publish
NCT02452853	No publish
NCT00375245	No publish
NCT01272557	No publish
NCT02301091	No publish
NCT03591965	No publish
NCT03586973	No publish
NCT03578874	No publish
NCT01374750	No publish
NCT01533324	No publish
NCT03519997	No publish
NCT03516071	No publish
NCT03511703	No publish
NCT03510871	No publish
NCT03469479	No publish
NCT03447951	No publish
NCT03434379	No publish
NCT03433703	No publish
NCT03418922	No publish
NCT03407495	No publish
NCT03389126	No publish
NCT03382886	No publish
NCT03337841	No publish
NCT03303469	No publish
NCT03298451	No publish
NCT03268499	No publish
NCT03261791	No publish
NCT03245190	No publish
NCT03236649	No publish
NCT03236636	No publish
NCT03235167	No publish
NCT03212625	No publish
NCT03208335	No publish
NCT03192618	No publish
NCT03175705	No publish
NCT03175679	No publish
NCT03163992	No publish
NCT03145558	No publish
NCT00475956	No publish
NCT03114085	No publish
NCT03109886	No publish
NCT01839604	No publish
NCT03062358	No publish
NCT03059147	No publish
NCT01834963	No publish
NCT03048123	No publish
NCT03046979	No publish
NCT03024684	No publish
NCT03006926	No publish
NCT02987907	No publish
NCT00495846	Cebon J, Findlay M, Hargreaves C, Stockler M, Thompson P, Boyer M, Roberts S, Poon A, Scott AM, Kalff V, Garas G, Dowling A, Crawford D, Ring J, Basser R, Strickland A, Macdonald G, Green M, Nowak A, Dickman B, Dhillon H, Gebski V; Australasian Gastro-Intestinal Trials Group (AGITG) Ag0001H Investigators. Somatostatin receptor expression, tumour response, and quality of life in patients with advanced hepatocellular carcinoma treated with long-acting octreotide. Br J Cancer. 2006 Oct 9;95(7):853-61. Epub 2006 Sep 5. Erratum in: Br J Cancer. 2007 Apr 10;96(7):1154. Findlay, M [added]; Hargreaves, C [added]; Stockler, M [added]; Thompson, P [added]; Boyer, M [added]; Roberts, S [added]; Poon, A [added]; Scott, A M [added]; Kalff, V [added]; Garas, G [added]; Dowling, A [added]; Crawford, D [added]; Ring, J [added]; Ba.
NCT00390195	Shiah HS, Chen CY, Dai CY, Hsiao CF, Lin YJ, Su WC, Chang JY, Whang-Peng J, Lin PW, Huang JD, Chen LT. Randomised clinical trial: comparison of two everolimus dosing schedules in patients with advanced hepatocellular carcinoma. Aliment Pharmacol Ther. 2013 Jan;37(1):62-73. doi: 10.1111/apt.12132. Epub 2012 Nov 8.|Treiber G. mTOR inhibitors for hepatocellular cancer: a forward-moving target. Expert Rev Anticancer Ther. 2009 Feb;9(2):247-61. doi: 10.1586/14737140.9.2.247. Review.
NCT00526617	Nuthalapati S, Munasinghe W, Giranda V, Xiong H. Clinical Pharmacokinetics and Mass Balance of Veliparib in Combination with Temozolomide in Subjects with Nonhematologic Malignancies. Clin Pharmacokinet. 2018 Jan;57(1):51-58. doi: 10.1007/s40262-017-0547-z.
NCT02774187	Fan W, Zhang Y, Wang Y, Yao X, Yang J, Li J. Neutrophil-to-lymphocyte and platelet-to-lymphocyte ratios as predictors of survival and metastasis for recurrent hepatocellular carcinoma after transarterial chemoembolization. PLoS One. 2015 Mar 5;10(3):e0119312. doi: 10.1371/journal.pone.0119312. eCollection 2015.
NCT03518502	Cabrera R, Pannu DS, Caridi J, Firpi RJ, Soldevila-Pico C, Morelli G, Clark V, Suman A, George TJ Jr, Nelson DR. The combination of sorafenib with transarterial chemoembolisation for hepatocellular carcinoma. Aliment Pharmacol Ther. 2011 Jul;34(2):205-13. doi: 10.1111/j.1365-2036.2011.04697.x. Epub 2011 May 23.
NCT03116945	Gharib AM, Thomasson D, Li KC. Molecular imaging of hepatocellular carcinoma. Gastroenterology. 2004 Nov;127(5 Suppl 1):S153-8.
NCT02981498	He MK, Zou RH, Li QJ, Zhou ZG, Shen JX, Zhang YF, Yu ZS, Xu L, Shi M. Phase II Study of Sorafenib Combined with Concurrent Hepatic Arterial Infusion of Oxaliplatin, 5-Fluorouracil and Leucovorin for Unresectable Hepatocellular Carcinoma with Major Portal Vein Thrombosis. Cardiovasc Intervent Radiol. 2018 May;41(5):734-743. doi: 10.1007/s00270-017-1874-z. Epub 2018 Jan 11.
NCT02973685	No publish
NCT02967887	No publish
NCT00168987	No publish
NCT02956772	No publish
NCT02953743	No publish
NCT02927626	No publish
NCT02905188	No publish
NCT02631499	No publish
NCT02867280	No publish
NCT02856126	No publish
NCT02834780	No publish
NCT02809534	No publish
NCT02799212	No publish
NCT03463876	No publish
NCT02562755	No publish
NCT02733809	No publish
NCT02716766	No publish
NCT03419481	No publish
NCT02702401	No publish
NCT02672488	No publish
NCT02658019	No publish
NCT01761266	No publish
NCT02630108	Siegel RL, Miller KD, Jemal A. Cancer statistics, 2015. CA Cancer J Clin. 2015 Jan-Feb;65(1):5-29. doi: 10.3322/caac.21254. Epub 2015 Jan 5.
NCT03278444	No publish
NCT03275376	No publish
NCT02576509	No publish
NCT02564614	No publish
NCT02028949	No publish
NCT03551444	No publish
NCT02534961	No publish
NCT02528643	No publish
NCT02524119	No publish
NCT02509169	No publish
NCT02504983	Liang KH, Lin CL, Chen SF, Chiu CW, Yang PC, Chang ML, Lin CC, Sung KF, Yeh C, Hung CF, Chien RN, Yeh CT. GALNT14 genotype effectively predicts the therapeutic response in unresectable hepatocellular carcinoma treated with transcatheter arterial chemoembolization. Pharmacogenomics. 2016 Mar;17(4):353-66. doi: 10.2217/pgs.15.179. Epub 2016 Feb 12.
NCT02447679	No publish
NCT02436902	No publish
NCT02421185	No publish
NCT02418988	No publish
NCT02399033	No publish
NCT03007225	No publish
NCT02987699	Llovet JM, Real MI, Montaña X, Planas R, Coll S, Aponte J, Ayuso C, Sala M, Muchart J, Solà R, Rodés J, Bruix J; Barcelona Liver Cancer Group. Arterial embolisation or chemoembolisation versus symptomatic treatment in patients with unresectable hepatocellular carcinoma: a randomised controlled trial. Lancet. 2002 May 18;359(9319):1734-9.
NCT02358395	No publish
NCT02971696	No publish
NCT02961998	No publish
NCT02338297	No publish
NCT02329860	No publish
NCT02308319	No publish
NCT02304289	No publish
NCT03253250	No publish
NCT02267213	No publish
NCT02253511	No publish
NCT01915589	No publish
NCT02311205	No publish
NCT02234986	No publish
NCT02210182	No publish
NCT01840592	No publish
NCT00846131	Kulik L, Vouche M, Koppe S, Lewandowski RJ, Mulcahy MF, Ganger D, Habib A, Karp J, Al-Saden P, Lacouture M, Cotliar J, Abecassis M, Baker T, Salem R. Prospective randomized pilot study of Y90+/-sorafenib as bridge to transplantation in hepatocellular carcinoma. J Hepatol. 2014 Aug;61(2):309-17. doi: 10.1016/j.jhep.2014.03.023. Epub 2014 Mar 27.
NCT02178358	No publish
NCT02738697	Qin S, Cheng Y, Liang J, Shen L, Bai Y, Li J, Fan J, Liang L, Zhang Y, Wu G, Rau KM, Yang TS, Jian Z, Liang H, Sun Y. Efficacy and safety of the FOLFOX4 regimen versus doxorubicin in Chinese patients with advanced hepatocellular carcinoma: a subgroup analysis of the EACH study. Oncologist. 2014 Nov;19(11):1169-78. doi: 10.1634/theoncologist.2014-0190. Epub 2014 Sep 15.
NCT01915602	No publish
NCT02724332	No publish
NCT02715492	No publish
NCT02128958	No publish
NCT01192971	No publish
NCT00355862	No publish
NCT01997957	No publish
NCT01972672	No publish
NCT01970748	No publish
NCT01966133	No publish
NCT01934829	Bosch FX, Ribes J, Cléries R, Díaz M. Epidemiology of hepatocellular carcinoma. Clin Liver Dis. 2005 May;9(2):191-211, v. Review.
NCT02779465	Liaw YF, Sung JJ, Chow WC, Farrell G, Lee CZ, Yuen H, Tanwandee T, Tao QM, Shue K, Keene ON, Dixon JS, Gray DF, Sabbat J; Cirrhosis Asian Lamivudine Multicentre Study Group. Lamivudine for patients with chronic hepatitis B and advanced liver disease. N Engl J Med. 2004 Oct 7;351(15):1521-31.
NCT02771405	No publish
NCT01903694	No publish
NCT01897610	No publish
NCT01897038	No publish
NCT01894269	No publish
NCT01935700	No publish
NCT02426450	No publish
NCT00884520	No publish
NCT01774344	Finn RS, Merle P, Granito A, Huang YH, Bodoky G, Pracht M, Yokosuka O, Rosmorduc O, Gerolami R, Caparello C, Cabrera R, Chang C, Sun W, LeBerre MA, Baumhauer A, Meinhardt G, Bruix J. Outcomes of sequential treatment with sorafenib followed by regorafenib for HCC: Additional analyses from the phase III RESORCE trial. J Hepatol. 2018 Aug;69(2):353-358. doi: 10.1016/j.jhep.2018.04.010. Epub 2018 Apr 26.
NCT02561546	No publish
NCT01755767	No publish
NCT01752933	No publish
NCT01737827	No publish
NCT01770431	No publish
NCT01715532	No publish
NCT01687673	No publish
NCT01681446	No publish
NCT01656265	No publish
NCT01655693	No publish
NCT01639703	No publish
NCT01605734	No publish
NCT01594125	No publish
NCT01567930	No publish
NCT02281266	No publish
NCT01507168	No publish
NCT01507064	No publish
NCT01377220	No publish
NCT01489566	No publish
NCT01451658	No publish
NCT01429961	No publish
NCT00080236	No publish
NCT01409499	No publish
NCT01381211	No publish
NCT01357486	No publish
NCT01806740	No publish
NCT01352728	No publish
NCT01308723	No publish
NCT01308645	No publish
NCT01287585	No publish
NCT01273662	No publish
NCT01258608	No publish
NCT01246986	No publish
NCT01170104	No publish
NCT01131689	No publish
NCT01129570	No publish
NCT01126463	No publish
NCT01098760	No publish
NCT01088581	No publish
NCT01055743	No publish
NCT01040559	No publish
NCT01035229	No publish
NCT01418729	No publish
NCT01004003	No publish
NCT01003015	Bruix J, Tak WY, Gasbarrini A, Santoro A, Colombo M, Lim HY, Mazzaferro V, Wiest R, Reig M, Wagner A, Bolondi L. Regorafenib as second-line therapy for intermediate or advanced hepatocellular carcinoma: multicentre, open-label, phase II safety study. Eur J Cancer. 2013 Nov;49(16):3412-9. doi: 10.1016/j.ejca.2013.05.028. Epub 2013 Jun 25.
NCT00990860	No publish
NCT00988741	No publish
NCT00987935	No publish
NCT00508001	No publish
NCT00149565	No publish
NCT01559844	No publish
NCT00943449	No publish
NCT00921531	No publish
NCT00908752	No publish
NCT00901901	No publish
NCT00892658	No publish
NCT01265576	No publish
NCT00858871	No publish
NCT00855218	No publish
NCT01259193	No publish
NCT00844688	No publish
NCT00829465	No publish
NCT00823290	No publish
NCT00805896	No publish
NCT00802555	No publish
NCT00752063	No publish
NCT00703365	No publish
NCT01263002	No publish
NCT00554125	No publish
NCT00635323	No publish
NCT00619541	No publish
NCT00559455	No publish
NCT00524498	No publish
NCT00519688	No publish
NCT00517920	No publish
NCT00492752	Cheng AL, Kang YK, Chen Z, Tsao CJ, Qin S, Kim JS, Luo R, Feng J, Ye S, Yang TS, Xu J, Sun Y, Liang H, Liu J, Wang J, Tak WY, Pan H, Burock K, Zou J, Voliotis D, Guan Z. Efficacy and safety of sorafenib in patients in the Asia-Pacific region with advanced hepatocellular carcinoma: a phase III randomised, double-blind, placebo-controlled trial. Lancet Oncol. 2009 Jan;10(1):25-34. doi: 10.1016/S1470-2045(08)70285-7. Epub 2008 Dec 16.
NCT00490685	No publish
NCT00484211	Santoro A, Pressiani T, Citterio G, Rossoni G, Donadoni G, Pozzi F, Rimassa L, Personeni N, Bozzarelli S, Rossoni G, Colombi S, De Braud FG, Caligaris-Cappio F, Lambiase A, Bordignon C. Activity and safety of NGR-hTNF, a selective vascular-targeting agent, in previously treated patients with advanced hepatocellular carcinoma. Br J Cancer. 2010 Sep 7;103(6):837-44. doi: 10.1038/sj.bjc.6605858. Epub 2010 Aug 17.
NCT00478374	Dufour JF, Hoppe H, Heim MH, Helbling B, Maurhofer O, Szucs-Farkas Z, Kickuth R, Borner M, Candinas D, Saar B. Continuous administration of sorafenib in combination with transarterial chemoembolization in patients with hepatocellular carcinoma: results of a phase I study. Oncologist. 2010;15(11):1198-204. doi: 10.1634/theoncologist.2010-0180. Epub 2010 Oct 29.
NCT00834860	No publish
NCT00471965	No publish
NCT00464919	No publish
NCT00464295	No publish
NCT00460681	No publish
NCT00423306	No publish
NCT00960518	No publish
NCT00386984	Allgaier HP, Becker G, Blum HE. [A therapeutic study of hepatocellular carcinoma using octreotide (HECTOR). Hepatocellular Carcinoma: Treatment with Octreotide]. Dtsch Med Wochenschr. 2000 Mar 17;125(11):320. German.
NCT00384800	No publish
NCT00287222	No publish
NCT00768157	No publish
NCT00280618	No publish
NCT00241020	No publish
NCT00162669	No publish
NCT00142467	No publish
NCT00142428	No publish
NCT00082082	No publish
NCT00375661	No publish
NCT00056992	No publish
NCT00116454	No publish
NCT00043433	No publish
NCT00006332	No publish
NCT00003597	Angiolillo AL, Davenport V, Bonilla MA, van de Ven C, Ayello J, Militano O, Miller LL, Krailo M, Reaman G, Cairo MS; Children's Oncology Group. A phase I clinical, pharmacologic, and biologic study of thrombopoietin and granulocyte colony-stimulating factor in children receiving ifosfamide, carboplatin, and etoposide chemotherapy for recurrent or refractory solid tumors: a Children's Oncology Group experience. Clin Cancer Res. 2005 Apr 1;11(7):2644-50.
NCT00073944	No publish
NCT02301104	No publish
NCT02162563	No publish
NCT00941655	Rudloff U, Langan RC, Mullinax JE, Beane JD, Steinberg SM, Beresnev T, Webb CC, Walker M, Toomey MA, Schrump D, Pandalai P, Stojadinovic A, Avital I. Impact of maximal cytoreductive surgery plus regional heated intraperitoneal chemotherapy (HIPEC) on outcome of patients with peritoneal carcinomatosis of gastric origin: results of the GYMSSA trial. J Surg Oncol. 2014 Sep;110(3):275-84. doi: 10.1002/jso.23633. Epub 2014 Jul 5.
NCT01453283	No publish
NCT01167049	No publish
NCT02693067	No publish
NCT01836653	No publish
NCT01632722	No publish
NCT03519074	No publish
NCT03398291	No publish
NCT00874406	No publish
NCT02912052	No publish
NCT00540982	No publish
NCT00408551	No publish
NCT00004142	No publish
NCT00438737	No publish
NCT01912222	No publish
NCT01070355	No publish
NCT02063529	No publish
NCT00508326	No publish
NCT01226719	No publish
NCT00742911	No publish
NCT01839877	No publish
NCT00803647	No publish
NCT00005077	No publish
NCT00507962	No publish
NCT00885885	No publish
NCT00882180	No publish
NCT02718430	No publish
NCT03340558	No publish
NCT00091117	No publish
NCT01695772	No publish
NCT00002793	No publish
NCT00006479	Benoist S, Nordlinger B. The role of preoperative chemotherapy in patients with resectable colorectal liver metastases. Ann Surg Oncol. 2009 Sep;16(9):2385-90. doi: 10.1245/s10434-009-0492-7. Epub 2009 Jun 25. Review.
NCT02738606	No publish
NCT01022541	No publish
NCT02885753	No publish
NCT03403634	No publish
NCT00028626	No publish
NCT00002692	Current version of study NCT00002692 on ClinicalTrials.gov
NCT00482222	No publish
NCT02350530	No publish
NCT00049400	Current version of study NCT00049400 on ClinicalTrials.gov
NCT00513266	No publish
NCT00003834	Alberts SR, Horvath WL, Sternfeld WC, Goldberg RM, Mahoney MR, Dakhil SR, Levitt R, Rowland K, Nair S, Sargent DJ, Donohue JH. Oxaliplatin, fluorouracil, and leucovorin for patients with unresectable liver-only metastases from colorectal cancer: a North Central Cancer Treatment Group phase II study. J Clin Oncol. 2005 Dec 20;23(36):9243-9. Epub 2005 Oct 17.
NCT03487939	No publish
NCT00023868	No publish
NCT03069950	No publish
NCT00006062	No publish
NCT00764595	No publish
NCT00002901	No publish
NCT02494973	No publish
NCT03401294	No publish
NCT00674024	No publish
NCT00006050	Ducreux M, Ychou M, Laplanche A, Gamelin E, Lasser P, Husseini F, Quenet F, Viret F, Jacob JH, Boige V, Elias D, Delperro JR, Luboinski M; gastrointestinal group of the Federation Nationale des Centres de Lutte Contre le Cancer. Hepatic arterial oxaliplatin infusion plus intravenous chemotherapy in colorectal cancer with inoperable hepatic metastases: a trial of the gastrointestinal group of the Federation Nationale des Centres de Lutte Contre le Cancer. J Clin Oncol. 2005 Aug 1;23(22):4881-7. Epub 2005 Jul 11.
NCT01802645	No publish
NCT00656123	No publish
NCT00544349	No publish
NCT00063960	No publish
NCT02634502	No publish
NCT00496509	No publish
NCT00002716	Kemeny NE, Niedzwiecki D, Hollis DR, Lenz HJ, Warren RS, Naughton MJ, Weeks JC, Sigurdson ER, Herndon JE 2nd, Zhang C, Mayer RJ. Hepatic arterial infusion versus systemic therapy for hepatic metastases from colorectal cancer: a randomized trial of efficacy, quality of life, and molecular markers (CALGB 9481). J Clin Oncol. 2006 Mar 20;24(9):1395-403. Epub 2006 Feb 27.
NCT00557102	No publish
NCT00003368	Venook AP, Enders Klein C, Fleming G, Hollis D, Leichman CG, Hohl R, Byrd J, Budman D, Villalona M, Marshall J, Rosner GL, Ramirez J, Kastrissios H, Ratain MJ. A phase I and pharmacokinetic study of irinotecan in patients with hepatic or renal dysfunction or with prior pelvic radiation: CALGB 9863. Ann Oncol. 2003 Dec;14(12):1783-90.
NCT00008294	Kemeny N, Capanu M, D'Angelica M, Jarnagin W, Haviland D, Dematteo R, Fong Y. Phase I trial of adjuvant hepatic arterial infusion (HAI) with floxuridine (FUDR) and dexamethasone plus systemic oxaliplatin, 5-fluorouracil and leucovorin in patients with resected liver metastases from colorectal cancer. Ann Oncol. 2009 Jul;20(7):1236-41. doi: 10.1093/annonc/mdn769. Epub 2009 Feb 20.
NCT03031444	Fong Y, Fortner J, Sun RL, Brennan MF, Blumgart LH. Clinical score for predicting recurrence after hepatic resection for metastatic colorectal cancer: analysis of 1001 consecutive cases. Ann Surg. 1999 Sep;230(3):309-18; discussion 318-21.
NCT03164655	No publish
NCT00003753	No publish
NCT00492999	No publish
NCT00280410	No publish
NCT02102789	No publish
NCT00037804	No publish
NCT00002842	No publish
NCT00025415	No publish
NCT00026234	No publish
NCT01638533	No publish
NCT02559024	No publish
NCT00056030	No publish
NCT00030563	No publish
NCT00062348	Wittig A, Sheu-Grabellus SY, Collette L, Moss R, Brualla L, Sauerwein W. BPA uptake does not correlate with LAT1 and Ki67 expressions in tumor samples (results of EORTC trial 11001). Appl Radiat Isot. 2011 Dec;69(12):1807-12. doi: 10.1016/j.apradiso.2011.02.018. Epub 2011 Feb 16.
NCT00427310	O'Connell MJ, Lavery I, Yothers G, Paik S, Clark-Langone KM, Lopatin M, Watson D, Baehner FL, Shak S, Baker J, Cowens JW, Wolmark N. Relationship between tumor gene expression and recurrence in four independent studies of patients with stage II/III colon cancer treated with surgery alone or surgery plus adjuvant fluorouracil plus leucovorin. J Clin Oncol. 2010 Sep 1;28(25):3937-44. doi: 10.1200/JCO.2010.28.9538. Epub 2010 Aug 2.
NCT00537771	No publish
