gene	突变类型	突变频率	相关通路	PMID	文献类型	IF	年份	引用量	备注	liver_drug
EGFR	amp	0.40%		28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	Sorafenib;Regorafenib;Lenvatinib;Afatinib;AG-013736;BIBF-1120;Brivanib;Cediranib;Cetuximab;Erlotinib;Gefitinib;Lapatinib;Nintedanib;Osimertinib;Panitumumab;Pazopanib;Pembrolizumab;Sunitinib;Trastuzumab;Vandetanib
EGFR	mut	0.40%		25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	Sorafenib;Regorafenib;Lenvatinib;Afatinib;AG-013736;BIBF-1120;Brivanib;Cediranib;Cetuximab;Erlotinib;Gefitinib;Lapatinib;Nintedanib;Osimertinib;Panitumumab;Pazopanib;Pembrolizumab;Sunitinib;Trastuzumab;Vandetanib
KRAS	mut	1.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	Sorafenib;Regorafenib;Cetuximab;Imatinib;Lapatinib;Panitumumab;Selumetinib;Trametinib;Trastuzumab
KRAS		19.00%		26405193	research	8.39	2015	19		Sorafenib;Regorafenib;Cetuximab;Imatinib;Lapatinib;Panitumumab;Selumetinib;Trametinib;Trastuzumab
KRAS	mut	16.50%	RAS/RAF kinase	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	Sorafenib;Regorafenib;Cetuximab;Imatinib;Lapatinib;Panitumumab;Selumetinib;Trametinib;Trastuzumab
KRAS	mut	5.00%		28297679		8.4	2017	8	38 CCA（34个是ICC）。进一步用15个样本验证。该部分为两个样本集都有的	Sorafenib;Regorafenib;Cetuximab;Imatinib;Lapatinib;Panitumumab;Selumetinib;Trametinib;Trastuzumab
KRAS		10.30%		25636086	research	11.23	2015	30	30例胆汁表现的肝癌，60 HCC WGS，数据收录在ICGC	Sorafenib;Regorafenib;Cetuximab;Imatinib;Lapatinib;Panitumumab;Selumetinib;Trametinib;Trastuzumab
MET	(STV)CNV	2.3%(5/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	ARQ-197;Cabozantinib;Crizotinib;Foretinib;Lapatinib;Osimertinib;Panitumumab;Trastuzumab
MET	amp	1.00%	PI3K/AKT/MTOR pathway	27262756	Review	7.43	2016	12		ARQ-197;Cabozantinib;Crizotinib;Foretinib;Lapatinib;Osimertinib;Panitumumab;Trastuzumab
MET	amp	1.70%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	ARQ-197;Cabozantinib;Crizotinib;Foretinib;Lapatinib;Osimertinib;Panitumumab;Trastuzumab
MET	amp,mut	1.30%	PI3K/AKT/MTOR pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	ARQ-197;Cabozantinib;Crizotinib;Foretinib;Lapatinib;Osimertinib;Panitumumab;Trastuzumab
MET	amp	0.50%		25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	ARQ-197;Cabozantinib;Crizotinib;Foretinib;Lapatinib;Osimertinib;Panitumumab;Trastuzumab
PBRM1	mut	6.50%	Epigenetic modifiers,	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	Everolimus
PBRM1	mut	21.00%	chromatin remodeling	28297679		8.4	2017	8	38 CCA（34个是ICC）。进一步用15个样本验证。该部分为两个样本集都有的	Everolimus
PBRM1	mut	21.00%	chromatin remodeling	28297679		8.4	2017	8	仅在第一阶段出现	Everolimus
PBRM1	mut	17.00%		24185509	research	24.17	2013	164	32 iCC，9 gall-bladder carcinomas	Everolimus
PBRM1		10.30%		25636086	research	11.23	2015	30	30例胆汁表现的肝癌，60 HCC WGS，数据收录在ICGC	Everolimus
VEGFA	amp	1.00%	PI3K/AKT/MTOR pathway,MAP kinase pathway	27262756	Review	7.43	2016	12		Sorafenib;Vandetanib
VEGFA	amp	8.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	Sorafenib;Vandetanib
VEGFA	mut	0.90%	PI3K/AKT/MTOR pathway,MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	Sorafenib;Vandetanib
VEGFA	amp	17/547 (3.1)*	VEGF signalling	26099984	Review	4.91	2015	86		Sorafenib;Vandetanib
VEGFA	amp	7-11%	Ras/raf/mapk,Akt/mtor	26099527	Review	7.67	2015	77		Sorafenib;Vandetanib
ARID1B	mut	11.1%（3/27）；		22634756	research	24.17	2012	438	前者频率来源于27 WGS测序样本，后者来源于验证样本，	None
ARID1B	mut	1.30%	chromatin remodeling	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
ARID1B	mut	5.00%		28297679		8.4	2017	8	仅在第一阶段出现	None
ARID1B	mut	6.7%(8/120)		22634756	research	24.17	2012	443	25 HCC（11 HBV，14 HCV)；120 HCC validation set	None
CDKN1A	mut	2.10%	p53/cell cycle	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
CDKN1A	mut	2.10%	p53/cell cycle	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
CDKN1A	mut	3.00%		28297679		8.4	2017	8	仅在第一阶段出现	None
CDKN1A	mut	1.80%	p53-Rb pathway	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	None
ERBB2	mut	0.40%	PI3K/AKT/MTOR pathway,MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	Afatinib;Crizotinib;Everolimus;Lapatinib;MK2206;Neratinib;Osimertinib;Palbociclib;Trastuzumab
ERBB2	mut	3.70%		28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	Afatinib;Crizotinib;Everolimus;Lapatinib;MK2206;Neratinib;Osimertinib;Palbociclib;Trastuzumab
ERBB2	amp	3.9-8.5%		28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	Afatinib;Crizotinib;Everolimus;Lapatinib;MK2206;Neratinib;Osimertinib;Palbociclib;Trastuzumab
ERBB2	mut	3.00%		28297679		8.4	2017	8	仅在第一阶段出现	Afatinib;Crizotinib;Everolimus;Lapatinib;MK2206;Neratinib;Osimertinib;Palbociclib;Trastuzumab
JAK1	mut	1.00%	JAK/STAT signalling	27262756	Review	7.43	2016	12		None
JAK1	mut	0.40%	PI3K/AKT/MTOR pathway,IL6/JAK/STAT pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
JAK1	mut	0.90%		25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	None
JAK1	mut	14/928 (1.5)	JAK/STAT signalling	26099984	Review	4.91	2015	86		None
TSC1	mut	3.00%	PI3K/MTOR signalling	27262756	Review	7.43	2016	12		Everolimus
TSC1	mut,homo del	2.60%	PI3K/AKT/MTOR pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	Everolimus
TSC1	mut	3-8%	Ras/raf/mapk	26099527	Review	7.67	2015	77		Everolimus
TSC1	del，mut	2.00%	PIK3-mTOR	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	Everolimus
BAZ2B	mut	3.00%		27838634	Review	5.03	2017	8		None
BAZ2B	mut	11.1%（3/27）；1.6%(2/120)		22634756	research	24.17	2012	438	前者频率来源于27 WGS测序样本，后者来源于验证样本，	None
BAZ2B	mut	1.6%(2/120)		22634756	research	24.17	2012	443	25 HCC（11 HBV，14 HCV)；120 HCC validation set	None
BRAF		5.00%		26405193	research	8.39	2015	19		Sorafenib;Binimetinib;Cetuximab;Cobimetinib;Crizotinib;Dabrafenib;Dasatinib;Imatinib;Ipilimumab;Irinotecan;Panitumumab;Selumetinib;Sunitinib;Trametinib;Vandetanib
BRAF	mut	3.00%	RAS/RAF kinase	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	Sorafenib;Binimetinib;Cetuximab;Cobimetinib;Crizotinib;Dabrafenib;Dasatinib;Imatinib;Ipilimumab;Irinotecan;Panitumumab;Selumetinib;Sunitinib;Trametinib;Vandetanib
BRAF	mut	3.00%		28297679		8.4	2017	8	38 CCA（34个是ICC）。进一步用15个样本验证。该部分为两个样本集都有的	Sorafenib;Binimetinib;Cetuximab;Cobimetinib;Crizotinib;Dabrafenib;Dasatinib;Imatinib;Ipilimumab;Irinotecan;Panitumumab;Selumetinib;Sunitinib;Trametinib;Vandetanib
FGFR	mut	9.50%		28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	Lenvatinib;BIBF-1120;BLU-554;Everolimus
FGFR	fusion	5.30%		28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	Lenvatinib;BIBF-1120;BLU-554;Everolimus
FGFR	fusion	16.00%		25608663	research	11.8	2015	31	ICCA	Lenvatinib;BIBF-1120;BLU-554;Everolimus
HNF1A	mut	5.00%	hepatic differentiation	27262756	Review	7.43	2016	12		None
HNF1A		3.00%		.	.	.	.	.	来源于cosmic	None
HNF1A	mut	4.70%	hepatic differentiation	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
IDH1	mut	13.00%		28297679		8.4	2017	8	38 CCA（34个是ICC）。进一步用15个样本验证。该部分为两个样本集都有的	Dasatinib
IDH1	mut	13.80%		24185509	research	24.17	2013	164	32 iCC，9 gall-bladder carcinomas	Dasatinib
IDH1		5.90%		25636086	research	11.23	2015	30	30例胆汁表现的肝癌，60 HCC WGS，数据收录在ICGC	Dasatinib
IDH2	mut	5.00%		28297679		8.4	2017	8	38 CCA（34个是ICC）。进一步用15个样本验证。该部分为两个样本集都有的	Dasatinib
IDH2	mut	6.90%		24185509	research	24.17	2013	164	32 iCC，9 gall-bladder carcinomas	Dasatinib
IDH2		2.90%		25636086	research	11.23	2015	30	30例胆汁表现的肝癌，60 HCC WGS，数据收录在ICGC	Dasatinib
IL6ST	mut	3.00%	JAK/STAT signalling	27262756	Review	7.43	2016	12		None
IL6ST	mut	3.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None
IL6ST	mut	1.70%	PI3K/AKT/MTOR pathway,IL6/JAK/STAT pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
KIT	(STV)CNV	2.3%(6/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	Sorafenib;Regorafenib;Dasatinib;dasatinib;Imatinib;Nintedanib;Pazopanib;Sunitinib
KIT	mut	0.90%	PI3K/AKT/MTOR pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	Sorafenib;Regorafenib;Dasatinib;dasatinib;Imatinib;Nintedanib;Pazopanib;Sunitinib
KIT	mut	1.30%		25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	Sorafenib;Regorafenib;Dasatinib;dasatinib;Imatinib;Nintedanib;Pazopanib;Sunitinib
KMT2C	mut	2.00%	Chromatin remodelling	27262756	Review	7.43	2016	12		None
KMT2C		4.00%		.	.	.	.	.	来源于cosmic	None
KMT2C	mut	3%（28/928）	Chromatin remodeling	26099984	Review	4.91	2015	86		None
MLL	mut	22.2%（6/27）；		22634756	research	24.17	2012	438	前者频率来源于27 WGS测序样本，后者来源于验证样本，	None
MLL	mut	1.7%(2/120)		22634756	research	24.17	2012	443	25 HCC（11 HBV，14 HCV)；120 HCC validation set	None
MLL	mut	3-4%	Epigenetic modifiers	26099527	Review	7.67	2015	77		None
MLL2	mut	6.00%	transcription	27838634	Review	5.03	2017	8		None
MLL2	mut	5.50%	Epigenetic regulation	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
MLL2	mut	2-3%	Epigenetic modifiers	26099527	Review	7.67	2015	77		None
MLL4	HBV int.	10.00%	Chromatin remodelling	27262756	Review	7.43	2016	12		None
MLL4	mut	2.60%	Epigenetic regulation	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
MLL4	mut	2-3%	Epigenetic modifiers	26099527	Review	7.67	2015	77		None
MYC	amp	5.23%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None
MYC	amp	1.30%	MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
MYC	amp	4.00%	P53-cell cycle pathway	26099527	Review	7.67	2015	77		None
UBR3	mut	0.8%(1/120)		22634756	research	24.17	2012	443	25 HCC（11 HBV，14 HCV)；120 HCC validation set	None
UBR3	mut	2.00%	DNA damage checkpoint and repair	27838634	Review	5.03	2017	8		None
UBR3	mut	0.8%(1/120)		22634756	research	24.17	2012	438	前者频率来源于27 WGS测序样本，后者来源于验证样本，	None
WWP1	mut	9.00%	SMAD signaling	27838634	Review	5.03	2017	8		None
WWP1	mut	7.7%（5/65）		22634756	research	24.17	2012	438	前者频率来源于27 WGS测序样本，后者来源于验证样本，	None
WWP1	mut	7.7%(5/65)		22634756	research	24.17	2012	443	25 HCC（11 HBV，14 HCV)；120 HCC validation set	None
ZIC3		3.00%	Wnt signaling	27838634	Review	5.03	2017	8		None
ZIC3	mut	3.3%(4/120)		22634756	research	24.17	2012	438	前者频率来源于27 WGS测序样本，后者来源于验证样本，	None
ZIC3	mut	3.3% (4/120)		22634756	research	24.17	2012	443	25 HCC（11 HBV，14 HCV)；120 HCC validation set	None
ZNRF3	mut	3.00%	WNT Signalling	27262756	Review	7.43	2016	12		None
ZNRF3	mut	3.00%	WNT/β-catenin pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
ZNRF3		2.90%		25636086	research	11.23	2015	30	30例胆汁表现的肝癌，60 HCC WGS，数据收录在ICGC	None
ARAF	mut	11.00%		25608663	research	11.8	2015	31	ICCA	Sorafenib
ARAF	mut	5.00%		28297679		8.4	2017	8	仅在第一阶段出现	Sorafenib
AXIN2	mut	1.00%	WNT Signalling	27262756	Review	7.43	2016	12		None
AXIN2	mut	0.90%	WNT/β-catenin pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
BRCA2	mut	3.70%	genomic instability	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	None
BRCA2	mut	3.00%		28297679		8.4	2017	8	38 CCA（34个是ICC）。进一步用15个样本验证。该部分为两个样本集都有的	None
CCNE1	HBV int.	5.00%	cell cycle control	27262756	Review	7.43	2016	12		None
CCNE1	amp	1.30%	p53/cell cycle	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
CDK4	amp	0.40%	p53/cell cycle	25822088	research	23.17	2015	153	243 样本（14% HBV）	Palbociclib
CDK4	amp	5.00%		28297679		8.4	2017	8	38 CCA（34个是ICC）。进一步用15个样本验证。该部分为两个样本集都有的	Palbociclib
CDKN2B	homo del	5.10%	p53/cell cycle	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
CDKN2B	del，mut	3.00%	p53-Rb pathway	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	None
CREBBP		3.00%		.	.	.	.	.	来源于cosmic	None
CREBBP	mut	2.60%	p53/cell cycle	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
DAPK1	mut	3.00%	PI3K/MTOR signalling	27262756	Review	7.43	2016	12		None
DAPK1	mut	2.60%	PI3K/AKT/MTOR pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
EPHA4	mut	3.00%	RAS/MAPK signalling	27262756	Review	7.43	2016	12		None
EPHA4	mut	3.40%	MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
ERRFI1	del	13.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None
ERRFI1	mut	3.1%(2/65)		22634756	research	24.17	2012	443	25 HCC（11 HBV，14 HCV)；120 HCC validation set	None
ERRFI1/MIG6	mut	5.00%	EGFR signaling	27838634	Review	5.03	2017	8		None
ERRFI1/MIG6	mut	3.1%（2/65）		22634756	research	24.17	2012	438	前者频率来源于27 WGS测序样本，后者来源于验证样本，	None
FGF3	amp	4.00%	RAS/MAPK signalling	27262756	Review	7.43	2016	12		None
FGF3	amp	4.30%	PI3K/AKT/MTOR pathway,MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
FGFR1	mut	1.70%		28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	None
FGFR1	mut	0.90%		25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	None
GXYLT1	mut	0.8%(1/120)		22634756	research	24.17	2012	438	前者频率来源于27 WGS测序样本，后者来源于验证样本，	None
GXYLT1	mut	0.8% (1/120)		22634756	research	24.17	2012	443	25 HCC（11 HBV，14 HCV)；120 HCC validation set	None
HGF	mut	3.00%	RAS/MAPK signalling	27262756	Review	7.43	2016	12		Cabozantinib;Trastuzumab
HGF	mut	3.00%	PI3K/AKT/MTOR pathway,MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	Cabozantinib;Trastuzumab
IDH1		15.00%		26405193	research	8.39	2015	19		Dasatinib
IDH2	mut	11.70%	Epigenetic modifiers	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	Dasatinib
IGF2R		18.00%		27838634	Review	5.03	2017	8		None
IGF2R	mut	10/928 (1.1)	IGF signalling	26099984	Review	4.91	2015	86		None
IGSF10	mut	3.3%(4/120)		22634756	research	24.17	2012	438	前者频率来源于27 WGS测序样本，后者来源于验证样本，	None
IGSF10	mut	3.3%(4/120)		22634756	research	24.17	2012	443	25 HCC（11 HBV，14 HCV)；120 HCC validation set	None
IGF1R	amp	9.60%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	Erlotinib
IGF1R	mut	1.70%	PI3K/AKT/MTOR pathway,MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	Erlotinib
IRF2	mut	4.00%	immune system-inflammation related	27838634	Review	5.03	2017	8		None
IRF2	mut,homo del	0.90%	p53/cell cycle	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
JAK3	amp	3.00%	JAK/STAT signalling	27262756	Review	7.43	2016	12		None
JAK3	mut，amp	3.00%	PI3K/AKT/MTOR pathway,IL6/JAK/STAT pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
KDR	mut	0.40%	PI3K/AKT/MTOR pathway,MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	Regorafenib;Lenvatinib;AG-013736;BIBF-1120;Brivanib;Cabozantinib;Cediranib;Nintedanib;Pazopanib;Sunitinib
KDR	mut	5.00%		28297679		8.4	2017	8	38 CCA（34个是ICC）。进一步用15个样本验证。该部分为两个样本集都有的	Regorafenib;Lenvatinib;AG-013736;BIBF-1120;Brivanib;Cabozantinib;Cediranib;Nintedanib;Pazopanib;Sunitinib
KMT2D	mut	6.00%	Chromatin remodelling	27262756	Review	7.43	2016	12		None
KMT2D		3.00%		.	.	.	.	.	来源于cosmic	None
KMT2B	mut	3.00%	Chromatin remodelling	27262756	Review	7.43	2016	12		None
KMT2B	mut	12/928 (1.3)	Chromatin remodeling	26099984	Review	4.91	2015	86		None
MDM2	amp	1.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None
MDM2	mut,amp	1.70%	p53/cell cycle	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
MTOR	mut	2.00%	PI3K/MTOR signalling	27262756	Review	7.43	2016	12		AZD-8055;Everolimus
MTOR	mut	1.70%	PI3K/AKT/MTOR pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	AZD-8055;Everolimus
NCOR1	del	22.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None
NCOR1	mut	2.00%	chromatin remodeling，β-catenin	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	None
NRAS	mut	1.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	Sorafenib;Cetuximab;Dabrafenib;Panitumumab;Selumetinib
NRAS	mut	2.40%	RAS/RAF kinase	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	Sorafenib;Cetuximab;Dabrafenib;Panitumumab;Selumetinib
PDGFRA	mut	1.70%	PI3K/AKT/MTOR pathway,MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	Sorafenib;Regorafenib;Dasatinib;dasatinib;Imatinib;Sunitinib
PDGFRA	mut	9/928 (1)	PDGFR signalling	26099984	Review	4.91	2015	86		Sorafenib;Regorafenib;Dasatinib;dasatinib;Imatinib;Sunitinib
SMC3	mut	3.00%	epigenetic regulation	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
SMC3	mut	3.00%	Epigenetic regulation	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
ZNF226	mut	3.3%（4/120）		22634756	research	24.17	2012	438	前者频率来源于27 WGS测序样本，后者来源于验证样本，	None
ZNF226	mut	3.3%(4/120)		22634756	research	24.17	2012	443	25 HCC（11 HBV，14 HCV)；120 HCC validation set	None
A2M	mut	2.60%	hepatic differentiation	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
ABL1	mut	0.40%	MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	AG-013736;Cabozantinib;Crizotinib;Dasatinib;dasatinib;Foretinib;Imatinib;Trametinib;Vandetanib
ACTL6A	mut	0.90%	chromatin remodeling	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
ACTL6B	mut	0.40%	chromatin remodeling	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
ADH1B	mut	1.80%		25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	None
AHCTF1	mut	4.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None
ARIS1A	mut	7.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None
ASH1L	SNP、Indel、SV	4.3%(13/300)	chromatin regulators	27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	None
ASXL1	mut	2.80%	other	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	None
ATK	mut	0.90%	PI3K/AKT/MTOR pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
ATR	mut	2.10%	p53/cell cycle	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
AXL	mut	1.70%	PI3K/AKT/MTOR pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
AZIN1	mut	3.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None
BPTF	mut	1.7%(2/120)		22634756	research	24.17	2012	443	25 HCC（11 HBV，14 HCV)；120 HCC validation set	None
BRD7	mut	2.00%	chromatin remodeling	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	None
BRD8	mut	6.9%(2/29)		22634756	research	24.17	2012	443	25 HCC（11 HBV，14 HCV)；120 HCC validation set	None
CBL	(STV)CNV	2.3%(7/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	Dasatinib
CDH2		2.90%		25636086	research	11.23	2015	30	30例胆汁表现的肝癌，60 HCC WGS，数据收录在ICGC	None
CDKN1B	mut	1.00%	Cell cycle	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	None
CFH	mut，homo del/amp	2.60%	hepatic differentiation	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
CFHR1	mut，homo del/amp	1.70%	hepatic differentiation	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
CFHR2	homo del	0.40%	hepatic differentiation	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
CHD7	mut	3.40%	Epigenetic regulation	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
CNND1	amp	5-10%	Ras/raf/mapk,Akt/mtor	26099527	Review	7.67	2015	77		None
CPS1	SNP、Indel、SV	5.3%(16/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	None
CYP2E2	mut	2.00%		25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	None
EEF1A1	mut	3.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None
ELF	mut	5.00%		28297679		8.4	2017	8	38 CCA（34个是ICC）。进一步用15个样本验证。该部分为两个样本集都有的	None
ELF3	mut	6.30%	other	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	None
EP300	mut	2.10%	p53/cell cycle	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
EPHA2		2.90%		25636086	research	11.23	2015	30	30例胆汁表现的肝癌，60 HCC WGS，数据收录在ICGC	Dasatinib
ERBB3	amp	1.30%		28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	Afatinib;Lapatinib;Trastuzumab
EYS	SNP、Indel、SV	8%(24/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	None
F8	mut	2.60%	hepatic differentiation	25822088	research	23.17	2015	153	243 样本（14% HBV）	Crizotinib
FAK	amp	4.00%	Ras/raf/mapk	26099527	Review	7.67	2015	77		None
FAM123B	(STV)CNV	2.3%(7/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	None
FAT4		3.00%		.	.	.	.	.	来源于cosmic	None
FBXW7	mut	3.70%	TGF-β	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	None
FCRL1	mut	2.00%		25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	None
FGA	mut	3.40%	hepatic differentiation	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
FGF	amp	5-10%	Ras/raf/mapk,Akt/mtor	26099527	Review	7.67	2015	77		Lenvatinib;BIBF-1120;BLU-554;Everolimus
FGF4	amp	4.70%	PI3K/AKT/MTOR pathway,MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
FGFR4	mut	0.40%	PI3K/AKT/MTOR pathway,MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	BLU-554;Everolimus
FGFR3	mut	0.90%		25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	None
FLT4	mut	3.40%	PI3K/AKT/MTOR pathway,MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	Regorafenib;Lenvatinib;AG-013736;BIBF-1120;Cediranib;Nintedanib;Pazopanib;Sunitinib
FLT1	mut	1.30%	PI3K/AKT/MTOR pathway,MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	Regorafenib;Lenvatinib;AG-013736;BIBF-1120;Cediranib;Nintedanib;Pazopanib;Sunitinib
FLT3	mut	0.90%	PI3K/AKT/MTOR pathway,MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	Sorafenib;ABT-869;Sunitinib
FZXR1	mut	1.70%	WNT/β-catenin pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
GDF1	amp	0.40%	TGFβ pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
GDF15	amp	0.40%	TGFβ pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
GPATCH4	mut	2.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None
GNAS	mut	3.00%		28297679		8.4	2017	8	仅在第一阶段出现	None
HIST1H1C	mut	2.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None
