gene	突变类型	突变频率	相关通路	PMID	文献类型	IF	年份	引用量	备注	Drug_anno(敏感增加或.)	Drug_anno(毒性增加或敏感降低或耐药提高)
FGFR2	mut，fusion	21.00%		28297679		8.4	2017	8	38 CCA（34个是ICC）。进一步用15个样本验证。该部分为两个样本集都有的	FGFR inhibitors:PMID: 23786770, 25035393||FGFR inhibitors:PMID: 18552176, 22238366, 23002168||FGFR inhibitors:PMID: 18552176, 22238366, 23002168||FGFR inhibitors:PMID: 23786770, 25035393||FGFR inhibitors:ENA 2014 (abstr 381)||FGFR inhibitors:PMID: 23786770, 25035393||Ponatinib:PMID: 23908597||Ponatinib:PMID: 23908597||Ponatinib:PMID: 23908597||Ponatinib:PMID: 23908597||Ponatinib:PMID: 23908597||Ponatinib:PMID: 23908597||Ponatinib:PMID: 23908597	Dovitinib:PMID: 23908597||Dovitinib:PMID: 23908597||Dovitinib:PMID: 23908597||Dovitinib:PMID: 23908597||Dovitinib:PMID: 23908597||Dovitinib:PMID: 23908597||Dovitinib:PMID: 23908597
FGFR2	mut	1.80%		25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	FGFR inhibitors:PMID: 23786770, 25035393||FGFR inhibitors:PMID: 18552176, 22238366, 23002168||FGFR inhibitors:PMID: 18552176, 22238366, 23002168||FGFR inhibitors:PMID: 23786770, 25035393||FGFR inhibitors:ENA 2014 (abstr 381)||FGFR inhibitors:PMID: 23786770, 25035393||Ponatinib:PMID: 23908597||Ponatinib:PMID: 23908597||Ponatinib:PMID: 23908597||Ponatinib:PMID: 23908597||Ponatinib:PMID: 23908597||Ponatinib:PMID: 23908597||Ponatinib:PMID: 23908597	Dovitinib:PMID: 23908597||Dovitinib:PMID: 23908597||Dovitinib:PMID: 23908597||Dovitinib:PMID: 23908597||Dovitinib:PMID: 23908597||Dovitinib:PMID: 23908597||Dovitinib:PMID: 23908597
FGFR2		13.00%		24185509	research	24.17	2013	164	32 iCC，9 gall-bladder carcinomas	FGFR inhibitors:PMID: 23786770, 25035393||FGFR inhibitors:PMID: 18552176, 22238366, 23002168||FGFR inhibitors:PMID: 18552176, 22238366, 23002168||FGFR inhibitors:PMID: 23786770, 25035393||FGFR inhibitors:ENA 2014 (abstr 381)||FGFR inhibitors:PMID: 23786770, 25035393||Ponatinib:PMID: 23908597||Ponatinib:PMID: 23908597||Ponatinib:PMID: 23908597||Ponatinib:PMID: 23908597||Ponatinib:PMID: 23908597||Ponatinib:PMID: 23908597||Ponatinib:PMID: 23908597	Dovitinib:PMID: 23908597||Dovitinib:PMID: 23908597||Dovitinib:PMID: 23908597||Dovitinib:PMID: 23908597||Dovitinib:PMID: 23908597||Dovitinib:PMID: 23908597||Dovitinib:PMID: 23908597
KEAP1	mut	4.00%	Oxidative stress	27262756	Review	7.43	2016	12		None	None
KEAP1	mut	5.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None	None
KEAP1		2.00%		.	.	.	.	.	来源于cosmic	None	None
KEAP1	mut	3.80%	Oxidative stress	25822088	research	23.17	2015	153	243 样本（14% HBV）	None	None
KEAP1	mut	3.1%（29/928）	Oxidative stress	26099984	Review	4.91	2015	86		None	None
KEAP1	mut	2-8%	oxidative stress	26099527	Review	7.67	2015	77		None	None
MLL3	mut	4.00%	transcription	27838634	Review	5.03	2017	8		None	None
MLL3	mut	11.1%（3/27）；		22634756	research	24.17	2012	438	前者频率来源于27 WGS测序样本，后者来源于验证样本，	None	None
MLL3	mut	2.10%	epigenetic regulation	25822088	research	23.17	2015	153	243 样本（14% HBV）	None	None
MLL3	mut	3.00%		28297679		8.4	2017	8	38 CCA（34个是ICC）。进一步用15个样本验证。该部分为两个样本集都有的	None	None
MLL3	mut	4.2%(5/120)		22634756	research	24.17	2012	443	25 HCC（11 HBV，14 HCV)；120 HCC validation set	None	None
MLL3	mut	3-6%	Epigenetic modifiers	26099527	Review	7.67	2015	77		None	None
NTRK3	mut	3.00%	RAS/MAPK signalling	27262756	Review	7.43	2016	12		Midostaurin:PMID: 21148487, 23131561	Entrectinib:PMID: 26884591;Type I TKIs:PMID: 28625641
NTRK3	mut	3.00%	PI3K/AKT/MTOR pathway,MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	Midostaurin:PMID: 21148487, 23131561	Entrectinib:PMID: 26884591;Type I TKIs:PMID: 28625641
NTRK3	mut	3.00%	PI3K/AKT/MTOR pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	Midostaurin:PMID: 21148487, 23131561	Entrectinib:PMID: 26884591;Type I TKIs:PMID: 28625641
NTRK3	mut	3.00%	RAS/MAPK signalling	27262756	Review	7.43	2016	12		Midostaurin:PMID: 21148487, 23131561	Entrectinib:PMID: 26884591;Type I TKIs:PMID: 28625641
NTRK3	mut	3.00%	PI3K/AKT/MTOR pathway,MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	Midostaurin:PMID: 21148487, 23131561	Entrectinib:PMID: 26884591;Type I TKIs:PMID: 28625641
NTRK3	mut	3.00%	PI3K/AKT/MTOR pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	Midostaurin:PMID: 21148487, 23131561	Entrectinib:PMID: 26884591;Type I TKIs:PMID: 28625641
TSC2	mut	7.00%	PIK3-mTOR	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	Everolimus or Temsirolimus:PMID: 22923433;Everolimus or Temsirolimus:FDA	None
TSC2	mut	3-8%	Ras/raf/mapk	26099527	Review	7.67	2015	77		Everolimus or Temsirolimus:PMID: 22923433;Everolimus or Temsirolimus:FDA	None
TSC2		2-3%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰	Everolimus or Temsirolimus:PMID: 22923433;Everolimus or Temsirolimus:FDA	None
TSC2	mut	5.10%	PI3K/AKT/MTOR pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	Everolimus or Temsirolimus:PMID: 22923433;Everolimus or Temsirolimus:FDA	None
TSC2		3.00%		.	.	.	.	.	来源于cosmic	Everolimus or Temsirolimus:PMID: 22923433;Everolimus or Temsirolimus:FDA	None
TSC2	mut	5.00%	PI3K/MTOR signalling	27262756	Review	7.43	2016	12		Everolimus or Temsirolimus:PMID: 22923433;Everolimus or Temsirolimus:FDA	None
APOB	mut	9.3%(28/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	None	None
APOB	mut	9.00%	hepatic differentiation	27262756	Review	7.43	2016	12		None	None
APOB	mut	10.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None	None
APOB	mut	9.40%	hepatic differentiation	25822088	research	23.17	2015	153	243 样本（14% HBV）	None	None
APOB	mut	9.80%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰	None	None
EGFR	mut,amp	1.30%	PI3K/AKT/MTOR pathway,MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Erlotinib:NCCN;Erlotinib:FDA;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728;Osimertinib:NCT02465060||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Erlotinib:NCCN;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:PMID: 27553514;Afatinib + Cetuximab:PMID: 25074459;Afatinib + Nimotuzumab:PMID: 26667485;AZD9291:PMID: 25939061;AZD9291:PMID: 26473643;EGFR inhibitor 3rd gens:ASCO 2014 (abstr 8009),ENA 2014 (abstr 10LBA),ENA 2014 (abstr 9LBA),ASCO 2015 (abstr 8001);Erlotinib:PMID: 21430269;Erlotinib:PMID: 24781527;Gefitinib:PMID: 18509184;Gefitinib:PMID: 20686428;Gefitinib:PMID: 20871262;Gefitinib:PMID: 21030498;Gefitinib:PMID: 22215752;Gefitinib:PMID: 22815900;Gefitinib:PMID: 23180674;Gefitinib:PMID: 23407566;Gefitinib:PMID: 23886554;HM61713:NCT02322281;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728;Osimertinib:FDA;Rociletinib:NCT02322281;Tyrosine kinase inhibitor - NS:PMID: 22773810;Tyrosine kinase inhibitor - NS:PMID: 25939061;Tyrosine kinase inhibitor - NS:PMID: 23542356;Tyrosine kinase inhibitor - NS:PMID: 24035188||Afatinib:FDA;Erlotinib:FDA;Gefitinib:FDA;Osimertinib:NCT02465060||Afatinib:PMID: 22753918, 25589191;Afatinib:ESMO 2012 (abstr 1289);Cetuximab:ESMO 2012 (abstr 1289);Erlotinib:PMID: 22190593||AZD9291:PMID: 25939061||Cetuximab:PMID: 23578570||Cetuximab:FDA||Cetuximab + Sirolimus:PMID: 24934779||Erlotinib:PMID: 17177598||Erlotinib:PMID: 26773740||Erlotinib:PMID: 17177598||Erlotinib:PMID: 26773740||Erlotinib:PMID: 17177598||Erlotinib:PMID: 17177598||Erlotinib:PMID: 26773740, 23328547||Erlotinib:NCCN||Erlotinib:PMID: 27102076;Erlotinib:PMID: 27102076||Gefitinib:PMID: 24950987||Lapatinib:PMID: 22885469||novel EGFR mAb inhibitors:PMID: 25962717;Panitumumab:PMID: 22270724||Osimertinib:PMID: 26515464||Rindopepimut:NCT01480479	Afatinib:.||Afatinib:.||Afatinib:NCCN;EGFR inhibitor 1st gens:PMID: 19680293;EGFR inhibitor 2nd gens:PMID: 22452896;Erlotinib:NCCN;Erlotinib:.;Gefitinib:.;Lapatinib:.||Cetuximab:PMID: 22270724, 26059438, 25623215, 22270724, 26888827;Cetuximab:PMID: 25623215;Panitumumab:PMID: 26059438||Cetuximab:PMID: 25623215||Cetuximab:PMID: 22270724, 26059438, 25623215, 22270724, 26888827||Cetuximab:PMID: 22270724, 26059438, 25623215, 22270724, 26888827||Cetuximab:PMID: 25623215||Cetuximab:PMID: 22270724, 26059438, 25623215, 22270724, 26888827||Cetuximab:PMID: 24813888;Erlotinib:PMID: 24813888||Cetuximab:PMID: 24813888;Erlotinib:PMID: 24813888||EGFR inhibitor 3rd gens:PMID: 25939061||EGFR inhibitor 1st gens:PMID: 19680293;Erlotinib:PMID: 19680293||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:PMID: 26773740||Erlotinib:ASCO2015(abstre19028);Gefitinib:PMID: 21274259, 22261807||Gefitinib:PMID: 21274259||Gefitinib:PMID: 21274259||Osimertinib:ASCO 2017 (abstr 2572)||Osimertinib:ASCO 2017 (abstr 2572)||Panitumumab:FDA guidelines||Rociletinib:PMID: 27283993
EGFR		3.00%		26405193	research	8.39	2015	19		Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Erlotinib:NCCN;Erlotinib:FDA;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728;Osimertinib:NCT02465060||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Erlotinib:NCCN;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:PMID: 27553514;Afatinib + Cetuximab:PMID: 25074459;Afatinib + Nimotuzumab:PMID: 26667485;AZD9291:PMID: 25939061;AZD9291:PMID: 26473643;EGFR inhibitor 3rd gens:ASCO 2014 (abstr 8009),ENA 2014 (abstr 10LBA),ENA 2014 (abstr 9LBA),ASCO 2015 (abstr 8001);Erlotinib:PMID: 21430269;Erlotinib:PMID: 24781527;Gefitinib:PMID: 18509184;Gefitinib:PMID: 20686428;Gefitinib:PMID: 20871262;Gefitinib:PMID: 21030498;Gefitinib:PMID: 22215752;Gefitinib:PMID: 22815900;Gefitinib:PMID: 23180674;Gefitinib:PMID: 23407566;Gefitinib:PMID: 23886554;HM61713:NCT02322281;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728;Osimertinib:FDA;Rociletinib:NCT02322281;Tyrosine kinase inhibitor - NS:PMID: 22773810;Tyrosine kinase inhibitor - NS:PMID: 25939061;Tyrosine kinase inhibitor - NS:PMID: 23542356;Tyrosine kinase inhibitor - NS:PMID: 24035188||Afatinib:FDA;Erlotinib:FDA;Gefitinib:FDA;Osimertinib:NCT02465060||Afatinib:PMID: 22753918, 25589191;Afatinib:ESMO 2012 (abstr 1289);Cetuximab:ESMO 2012 (abstr 1289);Erlotinib:PMID: 22190593||AZD9291:PMID: 25939061||Cetuximab:PMID: 23578570||Cetuximab:FDA||Cetuximab + Sirolimus:PMID: 24934779||Erlotinib:PMID: 17177598||Erlotinib:PMID: 26773740||Erlotinib:PMID: 17177598||Erlotinib:PMID: 26773740||Erlotinib:PMID: 17177598||Erlotinib:PMID: 17177598||Erlotinib:PMID: 26773740, 23328547||Erlotinib:NCCN||Erlotinib:PMID: 27102076;Erlotinib:PMID: 27102076||Gefitinib:PMID: 24950987||Lapatinib:PMID: 22885469||novel EGFR mAb inhibitors:PMID: 25962717;Panitumumab:PMID: 22270724||Osimertinib:PMID: 26515464||Rindopepimut:NCT01480479	Afatinib:.||Afatinib:.||Afatinib:NCCN;EGFR inhibitor 1st gens:PMID: 19680293;EGFR inhibitor 2nd gens:PMID: 22452896;Erlotinib:NCCN;Erlotinib:.;Gefitinib:.;Lapatinib:.||Cetuximab:PMID: 22270724, 26059438, 25623215, 22270724, 26888827;Cetuximab:PMID: 25623215;Panitumumab:PMID: 26059438||Cetuximab:PMID: 25623215||Cetuximab:PMID: 22270724, 26059438, 25623215, 22270724, 26888827||Cetuximab:PMID: 22270724, 26059438, 25623215, 22270724, 26888827||Cetuximab:PMID: 25623215||Cetuximab:PMID: 22270724, 26059438, 25623215, 22270724, 26888827||Cetuximab:PMID: 24813888;Erlotinib:PMID: 24813888||Cetuximab:PMID: 24813888;Erlotinib:PMID: 24813888||EGFR inhibitor 3rd gens:PMID: 25939061||EGFR inhibitor 1st gens:PMID: 19680293;Erlotinib:PMID: 19680293||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:PMID: 26773740||Erlotinib:ASCO2015(abstre19028);Gefitinib:PMID: 21274259, 22261807||Gefitinib:PMID: 21274259||Gefitinib:PMID: 21274259||Osimertinib:ASCO 2017 (abstr 2572)||Osimertinib:ASCO 2017 (abstr 2572)||Panitumumab:FDA guidelines||Rociletinib:PMID: 27283993
EGFR	amp	3.10%		28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Erlotinib:NCCN;Erlotinib:FDA;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728;Osimertinib:NCT02465060||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:FDA;Afatinib + Cetuximab:ESMO 2012 (abstr 1289);EGFR TK inhibitors:PMID: 22753918;Erlotinib:NCCN;Gefitinib:FDA;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728||Afatinib:PMID: 27553514;Afatinib + Cetuximab:PMID: 25074459;Afatinib + Nimotuzumab:PMID: 26667485;AZD9291:PMID: 25939061;AZD9291:PMID: 26473643;EGFR inhibitor 3rd gens:ASCO 2014 (abstr 8009),ENA 2014 (abstr 10LBA),ENA 2014 (abstr 9LBA),ASCO 2015 (abstr 8001);Erlotinib:PMID: 21430269;Erlotinib:PMID: 24781527;Gefitinib:PMID: 18509184;Gefitinib:PMID: 20686428;Gefitinib:PMID: 20871262;Gefitinib:PMID: 21030498;Gefitinib:PMID: 22215752;Gefitinib:PMID: 22815900;Gefitinib:PMID: 23180674;Gefitinib:PMID: 23407566;Gefitinib:PMID: 23886554;HM61713:NCT02322281;HSP90 inhibitors:ESMO 2012 (abstr 4380);MEK inhibitor (alone or in combination)s:PMID: 23102728;Osimertinib:FDA;Rociletinib:NCT02322281;Tyrosine kinase inhibitor - NS:PMID: 22773810;Tyrosine kinase inhibitor - NS:PMID: 25939061;Tyrosine kinase inhibitor - NS:PMID: 23542356;Tyrosine kinase inhibitor - NS:PMID: 24035188||Afatinib:FDA;Erlotinib:FDA;Gefitinib:FDA;Osimertinib:NCT02465060||Afatinib:PMID: 22753918, 25589191;Afatinib:ESMO 2012 (abstr 1289);Cetuximab:ESMO 2012 (abstr 1289);Erlotinib:PMID: 22190593||AZD9291:PMID: 25939061||Cetuximab:PMID: 23578570||Cetuximab:FDA||Cetuximab + Sirolimus:PMID: 24934779||Erlotinib:PMID: 17177598||Erlotinib:PMID: 26773740||Erlotinib:PMID: 17177598||Erlotinib:PMID: 26773740||Erlotinib:PMID: 17177598||Erlotinib:PMID: 17177598||Erlotinib:PMID: 26773740, 23328547||Erlotinib:NCCN||Erlotinib:PMID: 27102076;Erlotinib:PMID: 27102076||Gefitinib:PMID: 24950987||Lapatinib:PMID: 22885469||novel EGFR mAb inhibitors:PMID: 25962717;Panitumumab:PMID: 22270724||Osimertinib:PMID: 26515464||Rindopepimut:NCT01480479	Afatinib:.||Afatinib:.||Afatinib:NCCN;EGFR inhibitor 1st gens:PMID: 19680293;EGFR inhibitor 2nd gens:PMID: 22452896;Erlotinib:NCCN;Erlotinib:.;Gefitinib:.;Lapatinib:.||Cetuximab:PMID: 22270724, 26059438, 25623215, 22270724, 26888827;Cetuximab:PMID: 25623215;Panitumumab:PMID: 26059438||Cetuximab:PMID: 25623215||Cetuximab:PMID: 22270724, 26059438, 25623215, 22270724, 26888827||Cetuximab:PMID: 22270724, 26059438, 25623215, 22270724, 26888827||Cetuximab:PMID: 25623215||Cetuximab:PMID: 22270724, 26059438, 25623215, 22270724, 26888827||Cetuximab:PMID: 24813888;Erlotinib:PMID: 24813888||Cetuximab:PMID: 24813888;Erlotinib:PMID: 24813888||EGFR inhibitor 3rd gens:PMID: 25939061||EGFR inhibitor 1st gens:PMID: 19680293;Erlotinib:PMID: 19680293||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:.;Gefitinib:.;Lapatinib:.||Erlotinib:PMID: 26773740||Erlotinib:ASCO2015(abstre19028);Gefitinib:PMID: 21274259, 22261807||Gefitinib:PMID: 21274259||Gefitinib:PMID: 21274259||Osimertinib:ASCO 2017 (abstr 2572)||Osimertinib:ASCO 2017 (abstr 2572)||Panitumumab:FDA guidelines||Rociletinib:PMID: 27283993
