TARGET_GENE	REGION
ROS1	chr6:117609604..117609975..exon1,117622126..117622310..exon2,117629946..117630101..exon3,117631233..117631454..exon4,117632172..117632290..exon5,117638295..117638445..exon6,117639340..117639425..exon7,117641020..117641203..exon8,117642411..117642567..exon9,117645484..117645588..exon10,117647376..117647587..exon11,117650481..117650619..exon12,117658324..117658513..exon13,117662287..117662484..exon14,117662552..117662805..exon15,117663552..117663717..exon16,117665212..117665435..exon17,117674142..117674342..exon18,117677781..117678088..exon19,117678956..117679182..exon20,117680961..117681184..exon21,117681494..117681578..exon22,117683755..117684038..exon23,117686212..117686377..exon24,117686733..117686914..exon25,117687228..117687463..exon26,117700211..117700332..exon27,117704469..117704681..exon28,117706835..117707034..exon29,117708041..117708172..exon30,117708932..117709207..exon31,117710502..117711019..exon32,117714376..117714494..exon33,117715314..117715519..exon34,117715768..117715911..exon35,117717340..117717437..exon36,117718067..117718289..exon37,117724291..117724450..exon38,117725432..117725601..exon39,117730734..117730815..exon40,117737410..117737490..exon41,117739614..117739679..exon42,117746686..117746869..exon43
ALK	chr2:29416039..29416798..exon1,29419625..29419736..exon2,29420397..29420552..exon3,29430026..29430148..exon4,29432641..29432754..exon5,29436839..29436957..exon6,29443561..29443711..exon7,29445199..29445284..exon8,29445372..29445483..exon9,29446197..29446404..exon10,29448316..29448441..exon11,29449777..29449950..exon12,29450429..29450548..exon13,29451739..29451942..exon14,29455159..29455324..exon15,29456420..29456572..exon16,29462535..29462706..exon17,29473960..29474143..exon18,29497954..29498103..exon19,29498257..29498372..exon20,29519743..29519933..exon21,29541159..29541280..exon22,29543606..29543758..exon23,29551205..29551357..exon24,29606587..29606735..exon25,29754770..29754992..exon26,29917705..29917890..exon27,29940433..29940573..exon28,30142848..30143575..exon29
SRC	chr20:36012506..36012816..exon1,36014467..36014587..exon2,36022287..36022406..exon3,36022566..36022690..exon4,36024554..36024724..exon5,36026091..36026267..exon6,36028507..36028707..exon7,36029994..36030091..exon8,36030827..36031001..exon9,36031141..36031293..exon10,36031563..36031832..exon11
ABL1	chr9:133589656..133589852..exon1,133710783..133710922..exon2,133729440..133729634..exon3,133730177..133730493..exon4,133738139..133738432..exon5,133747505..133747610..exon6,133748236..133748434..exon7,133750244..133750449..exon8,133753791..133753964..exon9,133755444..133755554..exon10,133755876..133756061..exon11,133759345..133761120..exon12
LCK	chr1:32739880..32740045..exon1,32740327..32740429..exon2,32740583..32740694..exon3,32740911..32741030..exon4,32741159..32741283..exon5,32741504..32741674..exon6,32741927..32742100..exon7,32742197..32742397..exon8,32745261..32745358..exon9,32745431..32745605..exon10,32745669..32745821..exon11,32751104..32751367..exon12
FYN	chr6:111982891..111983160..exon1,111995691..111995843..exon2,112015567..112015741..exon3,112015820..112015917..exon4,112017469..112017669..exon5,112020707..112020883..exon6,112021296..112021481..exon7,112024077..112024247..exon8,112025191..112025315..exon9,112029114..112029233..exon10,112035539..112035656..exon11,112040997..112041265..exon12,112040997..112041304..exon13
EGFR	chr7:55086920..55087068..exon1,55209968..55210140..exon2,55209999..55210140..exon3,55210987..55211191..exon4,55214288..55214443..exon5,55218976..55219065..exon6,55220228..55220367..exon7,55221693..55221855..exon8,55223512..55223649..exon9,55224215..55224362..exon10,55224441..55224535..exon11,55224441..55224586..exon12,55225345..55225456..exon13,55227821..55228041..exon14,55229181..55229334..exon15,55231415..55231526..exon16,55232962..55233140..exon17,55236205..55236272..exon18,55237989..55238287..exon19,55238857..55238916..exon20,55240665..55240827..exon21,55241603..55241746..exon22,55242404..55242523..exon23,55248975..55249181..exon24,55259401..55259577..exon25,55260448..55260544..exon26,55266399..55266566..exon27,55267998..55268116..exon28,55268870..55269058..exon29,55269417..55269485..exon30,55270199..55270328..exon31,55270199..55270508..exon32,55272938..55273360..exon33
MTOR	chr1:11167491..11167567..exon1,11168227..11168353..exon2,11169336..11169437..exon3,11169695..11169796..exon4,11172898..11172984..exon5,11174364..11174520..exon6,11174859..11174954..exon7,11175442..11175535..exon8,11177050..11177153..exon9,11181292..11181435..exon10,11182025..11182193..exon11,11184544..11184700..exon12,11186668..11186863..exon13,11187056..11187211..exon14,11187670..11187873..exon15,11188050..11188193..exon16,11188500..11188619..exon17,11188901..11189018..exon18,11189784..11189905..exon19,11190575..11190844..exon20,11193126..11193264..exon21,11194397..11194533..exon22,11199350..11199502..exon23,11199579..11199725..exon24,11204694..11204822..exon25,11205014..11205112..exon26,11206722..11206858..exon27,11210172..11210293..exon28,11217198..11217358..exon29,11227488..11227584..exon30,11259304..11259470..exon31,11259587..11259770..exon32,11264607..11264770..exon33,11269358..11269525..exon34,11270860..11270973..exon35,11272358..11272541..exon36,11272842..11272975..exon37,11273445..11273633..exon38,11276194..11276301..exon39,11288714..11288985..exon40,11290971..11291121..exon41,11291346..11291501..exon42,11292482..11292595..exon43,11293444..11293554..exon44,11294189..11294332..exon45,11297889..11298115..exon46,11298448..11298684..exon47,11300349..11300614..exon48,11301599..11301748..exon49,11303160..11303367..exon50,11307671..11307800..exon51,11307865..11308161..exon52,11313885..11314040..exon53,11316038..11316259..exon54,11316979..11317232..exon55,11318531..11318660..exon56,11319294..11319516..exon57
KDR	chr4:55946057..55946340..exon1,55948112..55948218..exon2,55948692..55948812..exon3,55953763..55953935..exon4,55955024..55955150..exon5,55955530..55955650..exon6,55955847..55955979..exon7,55956112..55956255..exon8,55958773..55958891..exon9,55960958..55961132..exon10,55961733..55961842..exon11,55962385..55962519..exon12,55963818..55963943..exon13,55964293..55964449..exon14,55964853..55964980..exon15,55968053..55968205..exon16,55968518..55968685..exon17,55970799..55971161..exon18,55971988..55972117..exon19,55972843..55972987..exon20,55973893..55974070..exon21,55976559..55976743..exon22,55976810..55976945..exon23,55979460..55979658..exon24,55980282..55980442..exon25,55981030..55981219..exon26,55981437..55981588..exon27,55984760..55984977..exon28,55987253..55987367..exon29,55991383..55991510..exon30
MET	chr7:116339088..116340348..exon1,116371711..116371923..exon2,116371761..116371923..exon3,116379993..116380148..exon4,116380895..116381089..exon5,116395398..116395579..exon6,116397480..116397603..exon7,116397681..116397838..exon8,116398502..116398684..exon9,116399380..116399554..exon10,116399434..116399554..exon11,116403093..116403332..exon12,116409688..116409855..exon13,116409688..116409963..exon14,116411541..116411718..exon15,116411892..116412053..exon16,116414924..116415175..exon17,116417432..116417533..exon18,116418819..116419021..exon19,116422031..116422161..exon20,116423347..116423533..exon21,116435698..116435855..exon22,116435930..116436228..exon23
EGFR	chr7:55086920..55087068..exon1,55209968..55210140..exon2,55209999..55210140..exon3,55210987..55211191..exon4,55214288..55214443..exon5,55218976..55219065..exon6,55220228..55220367..exon7,55221693..55221855..exon8,55223512..55223649..exon9,55224215..55224362..exon10,55224441..55224535..exon11,55224441..55224586..exon12,55225345..55225456..exon13,55227821..55228041..exon14,55229181..55229334..exon15,55231415..55231526..exon16,55232962..55233140..exon17,55236205..55236272..exon18,55237989..55238287..exon19,55238857..55238916..exon20,55240665..55240827..exon21,55241603..55241746..exon22,55242404..55242523..exon23,55248975..55249181..exon24,55259401..55259577..exon25,55260448..55260544..exon26,55266399..55266566..exon27,55267998..55268116..exon28,55268870..55269058..exon29,55269417..55269485..exon30,55270199..55270328..exon31,55270199..55270508..exon32,55272938..55273360..exon33
ABL1	chr9:133589656..133589852..exon1,133710783..133710922..exon2,133729440..133729634..exon3,133730177..133730493..exon4,133738139..133738432..exon5,133747505..133747610..exon6,133748236..133748434..exon7,133750244..133750449..exon8,133753791..133753964..exon9,133755444..133755554..exon10,133755876..133756061..exon11,133759345..133761120..exon12
KIT	chr4:55524131..55524258..exon1,55561667..55561957..exon2,55564439..55564741..exon3,55565785..55565942..exon4,55569879..55570068..exon5,55573253..55573463..exon6,55575579..55575715..exon7,55589739..55589874..exon8,55592012..55592214..exon9,55592012..55592226..exon10,55593373..55593500..exon11,55593571..55593718..exon12,55593978..55594103..exon13,55594166..55594297..exon14,55595490..55595661..exon15,55597483..55597595..exon16,55598026..55598174..exon17,55599225..55599368..exon18,55602653..55602785..exon19,55602876..55602996..exon20,55603330..55603456..exon21,55604584..55604773..exon22
CTLA4	chr2:204732615..204732784..exon1,204735298..204735666..exon2,204736090..204736220..exon3,204737420..204737548..exon4,204737420..204737585..exon5
TOP1MT	chr8:144391560..144391723..exon1,144392227..144392397..exon2,144397886..144398001..exon3,144398158..144398306..exon4,144399882..144400017..exon5,144400177..144400266..exon6,144403360..144403566..exon7,144406158..144406322..exon8,144406644..144406809..exon9,144407505..144407713..exon10,144408381..144408524..exon11,144411509..144411635..exon12,144411509..144411651..exon13,144413383..144413519..exon14,144416899..144417061..exon15
EGFR	chr7:55086920..55087068..exon1,55209968..55210140..exon2,55209999..55210140..exon3,55210987..55211191..exon4,55214288..55214443..exon5,55218976..55219065..exon6,55220228..55220367..exon7,55221693..55221855..exon8,55223512..55223649..exon9,55224215..55224362..exon10,55224441..55224535..exon11,55224441..55224586..exon12,55225345..55225456..exon13,55227821..55228041..exon14,55229181..55229334..exon15,55231415..55231526..exon16,55232962..55233140..exon17,55236205..55236272..exon18,55237989..55238287..exon19,55238857..55238916..exon20,55240665..55240827..exon21,55241603..55241746..exon22,55242404..55242523..exon23,55248975..55249181..exon24,55259401..55259577..exon25,55260448..55260544..exon26,55266399..55266566..exon27,55267998..55268116..exon28,55268870..55269058..exon29,55269417..55269485..exon30,55270199..55270328..exon31,55270199..55270508..exon32,55272938..55273360..exon33
ERBB2	chr17:37855762..37855850..exon1,37856441..37856574..exon2,37863209..37863404..exon3,37863232..37863404..exon4,37864563..37864797..exon5,37865560..37865715..exon6,37866055..37866144..exon7,37866328..37866464..exon8,37866582..37866744..exon9,37868170..37868310..exon10,37868564..37868711..exon11,37871528..37871622..exon12,37871688..37871799..exon13,37871982..37872202..exon14,37872543..37872696..exon15,37872757..37872868..exon16,37873562..37873743..exon17,37873562..37873787..exon18,37876029..37876097..exon19,37879561..37879720..exon20,37879780..37879923..exon21,37880154..37880273..exon22,37880968..37881174..exon23,37881291..37881467..exon24,37881569..37881665..exon25,37881949..37882116..exon26,37882804..37882922..exon27,37883057..37883266..exon28,37883537..37883810..exon29,37883931..37884000..exon30,37883931..37884347..exon31
AKT3	chr1:243662994..243663098..exon1,243663020..243663098..exon2,243668500..243668646..exon3,243675615..243675738..exon4,243708801..243708909..exon5,243716020..243716255..exon6,243727011..243727160..exon7,243736217..243736360..exon8,243776962..243777051..exon9,243778387..243778473..exon10,243800902..243801054..exon11,243809184..243809349..exon12,243828063..243828195..exon13,243858882..243859028..exon14,244006416..244006522..exon15
KDR	chr4:55946057..55946340..exon1,55948112..55948218..exon2,55948692..55948812..exon3,55953763..55953935..exon4,55955024..55955150..exon5,55955530..55955650..exon6,55955847..55955979..exon7,55956112..55956255..exon8,55958773..55958891..exon9,55960958..55961132..exon10,55961733..55961842..exon11,55962385..55962519..exon12,55963818..55963943..exon13,55964293..55964449..exon14,55964853..55964980..exon15,55968053..55968205..exon16,55968518..55968685..exon17,55970799..55971161..exon18,55971988..55972117..exon19,55972843..55972987..exon20,55973893..55974070..exon21,55976559..55976743..exon22,55976810..55976945..exon23,55979460..55979658..exon24,55980282..55980442..exon25,55981030..55981219..exon26,55981437..55981588..exon27,55984760..55984977..exon28,55987253..55987367..exon29,55991383..55991510..exon30
ERBB2	chr17:37855762..37855850..exon1,37856441..37856574..exon2,37863209..37863404..exon3,37863232..37863404..exon4,37864563..37864797..exon5,37865560..37865715..exon6,37866055..37866144..exon7,37866328..37866464..exon8,37866582..37866744..exon9,37868170..37868310..exon10,37868564..37868711..exon11,37871528..37871622..exon12,37871688..37871799..exon13,37871982..37872202..exon14,37872543..37872696..exon15,37872757..37872868..exon16,37873562..37873743..exon17,37873562..37873787..exon18,37876029..37876097..exon19,37879561..37879720..exon20,37879780..37879923..exon21,37880154..37880273..exon22,37880968..37881174..exon23,37881291..37881467..exon24,37881569..37881665..exon25,37881949..37882116..exon26,37882804..37882922..exon27,37883057..37883266..exon28,37883537..37883810..exon29,37883931..37884000..exon30,37883931..37884347..exon31
EGFR	chr7:55086920..55087068..exon1,55209968..55210140..exon2,55209999..55210140..exon3,55210987..55211191..exon4,55214288..55214443..exon5,55218976..55219065..exon6,55220228..55220367..exon7,55221693..55221855..exon8,55223512..55223649..exon9,55224215..55224362..exon10,55224441..55224535..exon11,55224441..55224586..exon12,55225345..55225456..exon13,55227821..55228041..exon14,55229181..55229334..exon15,55231415..55231526..exon16,55232962..55233140..exon17,55236205..55236272..exon18,55237989..55238287..exon19,55238857..55238916..exon20,55240665..55240827..exon21,55241603..55241746..exon22,55242404..55242523..exon23,55248975..55249181..exon24,55259401..55259577..exon25,55260448..55260544..exon26,55266399..55266566..exon27,55267998..55268116..exon28,55268870..55269058..exon29,55269417..55269485..exon30,55270199..55270328..exon31,55270199..55270508..exon32,55272938..55273360..exon33
ERBB2	chr17:37855762..37855850..exon1,37856441..37856574..exon2,37863209..37863404..exon3,37863232..37863404..exon4,37864563..37864797..exon5,37865560..37865715..exon6,37866055..37866144..exon7,37866328..37866464..exon8,37866582..37866744..exon9,37868170..37868310..exon10,37868564..37868711..exon11,37871528..37871622..exon12,37871688..37871799..exon13,37871982..37872202..exon14,37872543..37872696..exon15,37872757..37872868..exon16,37873562..37873743..exon17,37873562..37873787..exon18,37876029..37876097..exon19,37879561..37879720..exon20,37879780..37879923..exon21,37880154..37880273..exon22,37880968..37881174..exon23,37881291..37881467..exon24,37881569..37881665..exon25,37881949..37882116..exon26,37882804..37882922..exon27,37883057..37883266..exon28,37883537..37883810..exon29,37883931..37884000..exon30,37883931..37884347..exon31
CDK4	chr12:58142257..58142410..exon1,58142954..58143110..exon2,58143226..58143297..exon3,58144428..58144558..exon4,58144695..58144883..exon5,58144979..58145135..exon6,58145272..58145550..exon7
CDK6	chr7:92244403..92244610..exon1,92247375..92247531..exon2,92252339..92252410..exon3,92300729..92300859..exon4,92354929..92355117..exon5,92403999..92404155..exon6,92462394..92462687..exon7
EGFR	chr7:55086920..55087068..exon1,55209968..55210140..exon2,55209999..55210140..exon3,55210987..55211191..exon4,55214288..55214443..exon5,55218976..55219065..exon6,55220228..55220367..exon7,55221693..55221855..exon8,55223512..55223649..exon9,55224215..55224362..exon10,55224441..55224535..exon11,55224441..55224586..exon12,55225345..55225456..exon13,55227821..55228041..exon14,55229181..55229334..exon15,55231415..55231526..exon16,55232962..55233140..exon17,55236205..55236272..exon18,55237989..55238287..exon19,55238857..55238916..exon20,55240665..55240827..exon21,55241603..55241746..exon22,55242404..55242523..exon23,55248975..55249181..exon24,55259401..55259577..exon25,55260448..55260544..exon26,55266399..55266566..exon27,55267998..55268116..exon28,55268870..55269058..exon29,55269417..55269485..exon30,55270199..55270328..exon31,55270199..55270508..exon32,55272938..55273360..exon33
KDR	chr4:55946057..55946340..exon1,55948112..55948218..exon2,55948692..55948812..exon3,55953763..55953935..exon4,55955024..55955150..exon5,55955530..55955650..exon6,55955847..55955979..exon7,55956112..55956255..exon8,55958773..55958891..exon9,55960958..55961132..exon10,55961733..55961842..exon11,55962385..55962519..exon12,55963818..55963943..exon13,55964293..55964449..exon14,55964853..55964980..exon15,55968053..55968205..exon16,55968518..55968685..exon17,55970799..55971161..exon18,55971988..55972117..exon19,55972843..55972987..exon20,55973893..55974070..exon21,55976559..55976743..exon22,55976810..55976945..exon23,55979460..55979658..exon24,55980282..55980442..exon25,55981030..55981219..exon26,55981437..55981588..exon27,55984760..55984977..exon28,55987253..55987367..exon29,55991383..55991510..exon30
KIT	chr4:55524131..55524258..exon1,55561667..55561957..exon2,55564439..55564741..exon3,55565785..55565942..exon4,55569879..55570068..exon5,55573253..55573463..exon6,55575579..55575715..exon7,55589739..55589874..exon8,55592012..55592214..exon9,55592012..55592226..exon10,55593373..55593500..exon11,55593571..55593718..exon12,55593978..55594103..exon13,55594166..55594297..exon14,55595490..55595661..exon15,55597483..55597595..exon16,55598026..55598174..exon17,55599225..55599368..exon18,55602653..55602785..exon19,55602876..55602996..exon20,55603330..55603456..exon21,55604584..55604773..exon22
MEK protein kinase	.
KDR	chr4:55946057..55946340..exon1,55948112..55948218..exon2,55948692..55948812..exon3,55953763..55953935..exon4,55955024..55955150..exon5,55955530..55955650..exon6,55955847..55955979..exon7,55956112..55956255..exon8,55958773..55958891..exon9,55960958..55961132..exon10,55961733..55961842..exon11,55962385..55962519..exon12,55963818..55963943..exon13,55964293..55964449..exon14,55964853..55964980..exon15,55968053..55968205..exon16,55968518..55968685..exon17,55970799..55971161..exon18,55971988..55972117..exon19,55972843..55972987..exon20,55973893..55974070..exon21,55976559..55976743..exon22,55976810..55976945..exon23,55979460..55979658..exon24,55980282..55980442..exon25,55981030..55981219..exon26,55981437..55981588..exon27,55984760..55984977..exon28,55987253..55987367..exon29,55991383..55991510..exon30
MEK protein kinase	.
ERBB2	chr17:37855762..37855850..exon1,37856441..37856574..exon2,37863209..37863404..exon3,37863232..37863404..exon4,37864563..37864797..exon5,37865560..37865715..exon6,37866055..37866144..exon7,37866328..37866464..exon8,37866582..37866744..exon9,37868170..37868310..exon10,37868564..37868711..exon11,37871528..37871622..exon12,37871688..37871799..exon13,37871982..37872202..exon14,37872543..37872696..exon15,37872757..37872868..exon16,37873562..37873743..exon17,37873562..37873787..exon18,37876029..37876097..exon19,37879561..37879720..exon20,37879780..37879923..exon21,37880154..37880273..exon22,37880968..37881174..exon23,37881291..37881467..exon24,37881569..37881665..exon25,37881949..37882116..exon26,37882804..37882922..exon27,37883057..37883266..exon28,37883537..37883810..exon29,37883931..37884000..exon30,37883931..37884347..exon31
KDR	chr4:55946057..55946340..exon1,55948112..55948218..exon2,55948692..55948812..exon3,55953763..55953935..exon4,55955024..55955150..exon5,55955530..55955650..exon6,55955847..55955979..exon7,55956112..55956255..exon8,55958773..55958891..exon9,55960958..55961132..exon10,55961733..55961842..exon11,55962385..55962519..exon12,55963818..55963943..exon13,55964293..55964449..exon14,55964853..55964980..exon15,55968053..55968205..exon16,55968518..55968685..exon17,55970799..55971161..exon18,55971988..55972117..exon19,55972843..55972987..exon20,55973893..55974070..exon21,55976559..55976743..exon22,55976810..55976945..exon23,55979460..55979658..exon24,55980282..55980442..exon25,55981030..55981219..exon26,55981437..55981588..exon27,55984760..55984977..exon28,55987253..55987367..exon29,55991383..55991510..exon30
RET	chr10:43572656..43572789..exon1,43595896..43596180..exon2,43597779..43598087..exon3,43600389..43600651..exon4,43601813..43602029..exon5,43604468..43604688..exon6,43606644..43606923..exon7,43607536..43607682..exon8,43608290..43608421..exon9,43608993..43609133..exon10,43609917..43610194..exon11,43612021..43612189..exon12,43613810..43613938..exon13,43614968..43615203..exon14,43615518..43615661..exon15,43617383..43617474..exon16,43619108..43619266..exon17,43620320..43620440..exon18,43622012..43622180..exon19,43622012..43622252..exon20,43623549..43623767..exon21
EGFR	chr7:55086920..55087068..exon1,55209968..55210140..exon2,55209999..55210140..exon3,55210987..55211191..exon4,55214288..55214443..exon5,55218976..55219065..exon6,55220228..55220367..exon7,55221693..55221855..exon8,55223512..55223649..exon9,55224215..55224362..exon10,55224441..55224535..exon11,55224441..55224586..exon12,55225345..55225456..exon13,55227821..55228041..exon14,55229181..55229334..exon15,55231415..55231526..exon16,55232962..55233140..exon17,55236205..55236272..exon18,55237989..55238287..exon19,55238857..55238916..exon20,55240665..55240827..exon21,55241603..55241746..exon22,55242404..55242523..exon23,55248975..55249181..exon24,55259401..55259577..exon25,55260448..55260544..exon26,55266399..55266566..exon27,55267998..55268116..exon28,55268870..55269058..exon29,55269417..55269485..exon30,55270199..55270328..exon31,55270199..55270508..exon32,55272938..55273360..exon33
SMO	chr7:128828942..128829333..exon1,128843214..128843440..exon2,128845033..128845263..exon3,128845440..128845633..exon4,128845980..128846220..exon5,128846294..128846438..exon6,128848589..128848702..exon7,128849119..128849248..exon8,128850193..128850399..exon9,128850795..128850964..exon10,128851466..128851621..exon11,128851854..128852342..exon12
.	.
.	.
