Drug	targets
Nintedanib	Triple angiokinase;FLT1;FGFR1;Anti-fibrotic kinase;Platelet-derived growth factor receptor	Drugs@FDA. U.S. Food and Drug Administration. U.S. Department of Health & Human Services.;ClinicalTrials.gov (NCT01979952) Nintedanib Twice Daily vs Placebo in Patients Diagnosed With Idiopathic Pulmonary Fibrosis (IPF). U.S. National Institutes of Health.;ClinicalTrials.gov (NCT02231164) LUME-Columbus: Nintedanib Plus Docetaxel in Advanced Non-small Cell Lung Cancer With Translational Research. U.S. National Institutes of Health.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5936).;ClinicalTrials.gov (NCT01610869) Low Dose Cyclophosphamide +/-- Nintedanib in Advanced Ovarian Cancer. U.S. National Institutes of Health.;2014 FDA drug approvals. Nat Rev Drug Discov. 2015 Feb;14(2):77-81.
RET 抑制剂	.	.
GDC-0449	.	A phase II, multicenter, open-label, 3-cohort trial evaluating the efficacy and safety of vismodegib in operable basal cell carcinoma.
Saridegib	.	(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 8198).;Trusted, scientifically sound profiles of drug programs, clinical trials, safety reports, and company deals, written by scientists. Springer. 2015. Adis Insight (drug id 800029135)
SMO 抑制剂	.	.
Sonidegib	.	.
Everolimus	MTOR	Hughes B: 2009 FDA drug approvals. Nat Rev Drug Discov. 2010 Feb;9(2):89-92.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5889).;Mammalian target of rapamycin, its mode of action and clinical response in metastatic clear cell carcinoma. Gan To Kagaku Ryoho. 2009 Jul;36(7):1076-9.
Alvocidib	Cyclin-dependent kinase;Myophosphorylase	Emerging therapies for multiple myeloma. Expert Opin Emerg Drugs. 2009 Mar;14(1):99-127.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5680).;Pharma & Vaccines. Product Development Pipeline. April 29 2009.
AMG-386	ANGPT2;ANGPT1	ClinicalTrials.gov (NCT01281254) TRINOVA-2: Trebananib in Ovarian Cancer-2. U.S. National Institutes of Health.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 8414).;Interpreting expression profiles of cancers by genome-wide survey of breadth of expression in normal tissues. Genomics 2005 Aug;86(2):127-41.
Anlotinib	.	.
Apatinib	KDR	ClinicalTrials.gov (NCT02426034) Study of Apatinib Tablets in the Treatment of Advanced or Metastatic Gastric Cancer. U.S. National Institutes of Health.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 7648).;Clinical pipeline report, company report or official report of LSK BioPharma.;YN968D1 is a novel and selective inhibitor of vascular endothelial growth factor receptor-2 tyrosine kinase with potent activity in vitro and in vivo. Cancer Sci. 2011 Jul;102(7):1374-80.
ARQ-087	FGFR1	ClinicalTrials.gov (NCT01752920) Phase 1 Dose Escalation Study of ARQ 087 in Adult Subjects With Advanced Solid Tumors. U.S. National Institutes of Health.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Target id: 1808).
ASLAN-001	.	.
ATG-008	.	.
Bavituximab	.	ClinicalTrials.gov (NCT01272791) Trial of Gemcitabine With or Without Bavituximab in Patients With Previously Untreated Stage IV Pancreatic Cancer. U.S. National Institutes of Health.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 8002).
BAY-869766	.	.
BGB-A317	.	.
BIIB022	.	.
CBT-501	.	.
CF-102	.	.
CS-1008	.	.
AG-013736	KDR	Nat Rev Drug Discov. 2013 Feb;12(2):87-90.;Axitinib: VEGF inhibition in advanced thyroid cancer. Lancet Oncol. 2014 Jul;15(8):e310.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5659).
Cabozantinib	KDR;MET	(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5887).;Clinical pipeline report, company report or official report of Exelixis (2011).
Crizotinib	MET;ROS1;ALK	(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 4903).;2011 FDA drug approvals. Nat Rev Drug Discov. 2012 Feb 1;11(2):91-4.;Drugs@FDA. U.S. Food and Drug Administration. U.S. Department of Health & Human Services. 2015
Foretinib	KDR;MET	(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5679).;Clinical pipeline report, company report or official report of Exelixis (2011).;Interpreting expression profiles of cancers by genome-wide survey of breadth of expression in normal tissues. Genomics 2005 Aug;86(2):127-41.
Trametinib	MEK protein kinase	2013 FDA drug approvals. Nat Rev Drug Discov. 2014 Feb;13(2):85-9.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 6495).
Vandetanib	KDR;RET;EGFR	2011 FDA drug approvals. Nat Rev Drug Discov. 2012 Feb 1;11(2):91-4.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5717).;A comparison of physicochemical property profiles of marketed oral drugs and orally bioavailable anti-cancer protein kinase inhibitors in clinical development. Curr Top Med Chem. 2007;7(14):1408-22.;Clinical pipeline report, company report or official report of AstraZeneca (2009).
Dabrafenib	.	Drugs@FDA. U.S. Food and Drug Administration. U.S. Department of Health & Human Services.;The ChEMBL database in 2017.
MK-2206	AKT3	ClinicalTrials.gov (NCT01249105) MK-2206 for Recurrent Malignant Glioma. U.S. National Institutes of Health.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 7945).
Trastuzumab	ERBB2	(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5082).;2013 FDA drug approvals. Nat Rev Drug Discov. 2014 Feb;13(2):85-9.;Natural products as sources of new drugs over the last 25 years. J Nat Prod. 2007 Mar;70(3):461-77. Epub 2007 Feb 20.;Anti-ErbB-2 monoclonal antibodies and ErbB-2-directed vaccines. Cancer Immunol Immunother. 2002 Jan;50(11):569-87. Epub 2001 Nov 24.;Knockouts model the 100 best-selling drugs--will they model the next 100? Nat Rev Drug Discov. 2003 Jan;2(1):38-51.;Her2/neu is not a commonly expressed therapeutic target in melanoma -- a large cohort tissue microarray study. Melanoma Res. 2004 Jun;14(3):207-10.
Sorafenib	KDR;KIT;PDGFRB	Sorafenib (BAY 43-9006, Nexavar), a dual-action inhibitor that targets RAF/MEK/ERK pathway in tumor cells and tyrosine kinases VEGFR/PDGFR in tumor vasculature. Methods Enzymol. 2006;407:597-612.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5711).;Emerging therapies for multiple myeloma. Expert Opin Emerg Drugs. 2009 Mar;14(1):99-127.
Irinotecan	TOP1MT	New drugs for the treatment of cancer, 1990-2001. Isr Med Assoc J. 2002 Dec;4(12):1124-31.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 6823).;Drugs@FDA. U.S. Food and Drug Administration. U.S. Department of Health & Human Services.
Binimetinib	.	.
Cetuximab	EGFR	2004 approvals: the demise of the blockbuster. Nat Rev Drug Discov. 2005 Feb;4(2):93-4.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 6882).;Epidermal growth factor receptors as a target for cancer treatment: the emerging role of IMC-C225 in the treatment of lung and head and neck cancers. Semin Oncol. 2002 Feb;29(1 Suppl 4):27-36.;Epidermal growth factor receptor-targeted therapy for pancreatic cancer. Semin Oncol. 2002 Oct;29(5 Suppl 14):31-7.;Molecular inhibition of angiogenesis and metastatic potential in human squamous cell carcinomas after epidermal growth factor receptor blockade. Mol Cancer Ther. 2002 May;1(7):507-14.
Cobimetinib	.	Clinical pipeline report, company report or official report of Roche.
Ipilimumab	CTLA4	Mullard A: 2010 FDA drug approvals. Nat Rev Drug Discov. 2011 Feb;10(2):82-5.;2011 FDA drug approvals. Nat Rev Drug Discov. 2012 Feb 1;11(2):91-4.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 6888).
Panitumumab	EGFR	2006 drug approvals: finding the niche. Nat Rev Drug Discov. 2007 Feb;6(2):99-101.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 6883).;FDA Approved Drug Products from FDA Official Website. 2009. Application Number: (BLA) 125147.;Integration of panitumumab into the treatment of colorectal cancer. Crit Rev Oncol Hematol. 2009 Jul 16.
Selumetinib	MEK protein kinase	Emerging therapies for multiple myeloma. Expert Opin Emerg Drugs. 2009 Mar;14(1):99-127.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5665).
Sunitinib	KDR	2006 drug approvals: finding the niche. Nat Rev Drug Discov. 2007 Feb;6(2):99-101.;Emerging therapies for multiple myeloma. Expert Opin Emerg Drugs. 2009 Mar;14(1):99-127.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5713).;In vivo antitumor activity of SU11248, a novel tyrosine kinase inhibitor targeting vascular endothelial growth factor and platelet-derived growth factor receptors: determination of a pharmacokinetic/pharmacodynamic relationship. Clin Cancer Res. 2003 Jan;9(1):327-37.
Palbociclib	.	.
Atezolizumab	.	.
Avelumab	CD274	Drugs@FDA (Edaravone);ClinicalTrials.gov (NCT02395172) Avelumab in Non-Small Cell Lung Cancer (JAVELIN Lung 200). U.S. National Institutes of Health.;Antibody-Dependent Cellular Cytotoxicity Activity of a Novel Anti-PD-L1 Antibody Avelumab (MSB0010718C) on Human Tumor Cells. Cancer Immunol Res. 2015 Oct;3(10):1148-57.
Nivolumab	PDCD1	(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 7335).;Nivolumab, a Novel Anti??D-1 Monoclonal Antibody for the Treatment of Solid and Hematologic Malignancies (Personalized Medicine in Oncology). Emma Thornton. Anti-PD-1 Therapy. June 2014;Drugs@FDA. U.S. Food and Drug Administration. U.S. Department of Health & Human Services.;2014 FDA drug approvals. Nat Rev Drug Discov. 2015 Feb;14(2):77-81.
Pembrolizumab	.	Drugs@FDA. U.S. Food and Drug Administration. U.S. Department of Health & Human Services.;The ChEMBL database in 2017.
CDX-1140	.	.
AZD-0530	SRC;ABL1	Current and future treatments of bone metastases. Expert Opin Emerg Drugs. 2008 Dec;13(4):609-27.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 7731).
dasatinib	SRC;ABL1;LCK;FYN	2006 drug approvals: finding the niche. Nat Rev Drug Discov. 2007 Feb;6(2):99-101.;Dasatinib: a tyrosine kinase inhibitor for the treatment of chronic myelogenous leukemia and philadelphia chromosome-positive acute lymphoblastic leukemia. Clin Ther. 2007 Nov;29(11):2289-308.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5678).;Drugs@FDA. U.S. Food and Drug Administration. U.S. Department of Health & Human Services. 2015;Current and future treatments of bone metastases. Expert Opin Emerg Drugs. 2008 Dec;13(4):609-27.;Multi-target therapeutics: when the whole is greater than the sum of the parts. Drug Discov Today. 2007 Jan;12(1-2):34-42. Epub 2006 Nov 28.;A comparison of physicochemical property profiles of marketed oral drugs and orally bioavailable anti-cancer protein kinase inhibitors in clinical development. Curr Top Med Chem. 2007;7(14):1408-22.;In vitro and clinical investigation of the relationship between CCR5 receptor occupancy and anti-HIV activity of Aplaviroc. J Clin Pharmacol. 2008 Oct;48(10):1179-88. Epub 2008 Aug 1.
Erlotinib	EGFR	(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 4920).;2004 approvals: the demise of the blockbuster. Nat Rev Drug Discov. 2005 Feb;4(2):93-4.;Natural products as sources of new drugs over the last 25 years. J Nat Prod. 2007 Mar;70(3):461-77. Epub 2007 Feb 20.;Quantitative Prediction of Fold Resistance for Inhibitors of EGFR. Biochemistry. 2009 Jul 23.
Afatinib	ERBB2;EGFR	BIBW-2992, a dual receptor tyrosine kinase inhibitor for the treatment of solid tumors. Curr Opin Investig Drugs. 2008 Dec;9(12):1336-46.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5667).;Boehringer Ingelheim. Product Development Pipeline. June 2 2009.
Gefitinib	EGFR	(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 4941).;Emerging drugs for the treatment of chronic obstructive pulmonary disease. Expert Opin Emerg Drugs. 2006 May;11(2):275-91.;Targeting' the epidermal growth factor receptor tyrosine kinase with gefitinib (Iressa) in non-small cell lung cancer (NSCLC). Semin Cancer Biol. 2004 Feb;14(1):33-40.;Gefitinib ('Iressa', ZD1839) and new epidermal growth factor receptor inhibitors. Br J Cancer. 2004 Feb 9;90(3):566-72.
Lapatinib	EGFR;ERBB2	FDA Approved Drug Products from FDA Official Website. 2009. Application Number: (NDA) 022059.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5692).;Multi-target therapeutics: when the whole is greater than the sum of the parts. Drug Discov Today. 2007 Jan;12(1-2):34-42. Epub 2006 Nov 28.;Triple negative breast cancer--current status and prospective targeted treatment based on HER1 (EGFR), TOP2A and C-MYC gene assessment. Biomed Pap Med Fac Univ Palacky Olomouc Czech Repub. 2009 Mar;153(1):13-7.
Osimertinib	.	The ChEMBL database in 2017.
Adecatumumab	.	.
Neratinib	KDR;ERBB2;EGFR;ERBB2	Trusted, scientifically sound profiles of drug programs, clinical trials, safety reports, and company deals, written by scientists. Springer. 2015. Adis Insight (drug id 800021154);Bioorg Med Chem. 2007 Jun 1;15(11):3635-48. Epub 2007 Mar 23.Dual irreversible kinase inhibitors: quinazoline-based inhibitors incorporating two independent reactive centers with each targeting different cysteine residues in the kinase domains of EGFR and VEGFR-2.;Proc Natl Acad Sci U S A. 2007 Dec 11;104(50):19936-41. Epub 2007 Dec 6.Identification of genotype-correlated sensitivity to selective kinase inhibitors by using high-throughput tumor cell line profiling.;A comparison of physicochemical property profiles of marketed oral drugs and orally bioavailable anti-cancer protein kinase inhibitors in clinical development. Curr Top Med Chem. 2007;7(14):1408-22.
BLU-554	.	.
ABT-869	FLT4	Preclinical activity of ABT-869, a multitargeted receptor tyrosine kinase inhibitor. Mol Cancer Ther. 2006 Apr;5(4):995-1006.;Inhibition of phosphorylation of the colony-stimulating factor-1 receptor (c-Fms) tyrosine kinase in transfected cells by ABT-869 and other tyrosine kinase inhibitors. Mol Cancer Ther. 2006 Apr;5(4):1007-13.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5657).
Regorafenib	RET;KDR;KIT	Nat Rev Drug Discov. 2013 Feb;12(2):87-90.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5891).;Drugs@FDA. U.S. Food and Drug Administration. U.S. Department of Health & Human Services. 2015
ARQ-197	.	.
AZD8055	MTOR	(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 7714).;Trusted, scientifically sound profiles of drug programs, clinical trials, safety reports, and company deals, written by scientists. Springer. 2015. Adis Insight (drug id 800028731);Clinical pipeline report, company report or official report of AstraZeneca (2009).
Avastin	Vascular endothelial growth factor	Clinical pipeline report, company report or official report of Roche.;Clinical pipeline report, company report or official report of Genentech (2009).
Cediranib	KDR	ClinicalTrials.gov (NCT02446600) Olaparib or Cediranib Maleate and Olaparib Compared With Standard Platinum-Based Chemotherapy in Treating Patients With Recurrent Platinum-Sensitive Ovarian, Fallopian Tube, or Primary Peritoneal Cancer. U.S. National Institutes of Health.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5664).;A comparison of physicochemical property profiles of marketed oral drugs and orally bioavailable anti-cancer protein kinase inhibitors in clinical development. Curr Top Med Chem. 2007;7(14):1408-22.;Clinical pipeline report, company report or official report of AstraZeneca (2009).
Pazopanib	Platelet-derived growth factor receptor;KDR;KIT	Hughes B: 2009 FDA drug approvals. Nat Rev Drug Discov. 2010 Feb;9(2):89-92.
Vismodegib	SMO	Nat Rev Drug Discov. 2013 Feb;12(2):87-90.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 6975).
BIBF-1120	.	.
Lenvatinib	.	.
C188-9	.	.
BMS-247550	TUBB3	2007 FDA drug approvals: a year of flux. Nat Rev Drug Discov. 2008 Feb;7(2):107-9.;Mullard A: 2010 FDA drug approvals. Nat Rev Drug Discov. 2011 Feb;10(2):82-5.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 6824).
Brivanib	FGFR3	ClinicalTrials.gov (NCT00908752) Phase III Trans-Arterial Chemo-Embolization (TACE) Adjuvant HCC. U.S. National Institutes of Health.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 8097).;A comparison of physicochemical property profiles of marketed oral drugs and orally bioavailable anti-cancer protein kinase inhibitors in clinical development. Curr Top Med Chem. 2007;7(14):1408-22.
Adavosertib	.	.
