NCTID	nctstudycancer
NCT00397384	NCT00397384:Phase 1:Adenocarcinoma of the Colon;Adenocarcinoma of the Rectum;Advanced Adult Primary Liver Cancer;Carcinoma of the Appendix;Gastrointestinal Stromal Tumor;Metastatic Gastrointestinal Carcinoid Tumor;Metastatic Squamous Neck Cancer With Occult Primary;Recurrent Adenoid Cystic Carcinoma of the Oral Cavity;Recurrent Adult Primary Liver Cancer;Recurrent Anal Cancer;Recurrent Basal Cell Carcinoma of the Lip;Recurrent Colon Cancer;Recurrent Esophageal Cancer;Recurrent Esthesioneuroblastoma of the Paranasal Sinus and Nasal Cavity;Recurrent Extrahepatic Bile Duct Cancer;Recurrent Gallbladder Cancer;Recurrent Gastric Cancer;Recurrent Gastrointestinal Carcinoid Tumor;Recurrent Inverted Papilloma of the Paranasal Sinus and Nasal Cavity;Recurrent Lymphoepithelioma of the Nasopharynx;Recurrent Lymphoepithelioma of the Oropharynx;Recurrent Metastatic Squamous Neck Cancer With Occult Primary;Recurrent Midline Lethal Granuloma of the Paranasal Sinus and Nasal Cavity;Recurrent Mucoepidermoid Carcinoma of the Oral Cavity;Recurrent Non-small Cell Lung Cancer;Recurrent Pancreatic Cancer;Recurrent Rectal Cancer;Recurrent Salivary Gland Cancer;Recurrent Small Intestine Cancer;Recurrent Squamous Cell Carcinoma of the Hypopharynx;Recurrent Squamous Cell Carcinoma of the Larynx;Recurrent Squamous Cell Carcinoma of the Lip and Oral Cavity;Recurrent Squamous Cell Carcinoma of the Nasopharynx;Recurrent Squamous Cell Carcinoma of the Oropharynx;Recurrent Squamous Cell Carcinoma of the Paranasal Sinus and Nasal Cavity;Recurrent Verrucous Carcinoma of the Larynx;Recurrent Verrucous Carcinoma of the Oral Cavity;Small Intestine Adenocarcinoma;Small Intestine Leiomyosarcoma;Small Intestine Lymphoma;Stage IV Adenoid Cystic Carcinoma of the Oral Cavity;Stage IV Anal Cancer;Stage IV Basal Cell Carcinoma of the Lip;Stage IV Colon Cancer;Stage IV Esophageal Cancer;Stage IV Esthesioneuroblastoma of the Paranasal Sinus and Nasal Cavity;Stage IV Gastric Cancer;Stage IV Inverted Papilloma of the Paranasal Sinus and Nasal Cavity;Stage IV Lymphoepithelioma of the Nasopharynx;Stage IV Lymphoepithelioma of the Oropharynx;Stage IV Midline Lethal Granuloma of the Paranasal Sinus and Nasal Cavity;Stage IV Mucoepidermoid Carcinoma of the Oral Cavity;Stage IV Non-small Cell Lung Cancer;Stage IV Pancreatic Cancer;Stage IV Rectal Cancer;Stage IV Salivary Gland Cancer;Stage IV Squamous Cell Carcinoma of the Hypopharynx;Stage IV Squamous Cell Carcinoma of the Larynx;Stage IV Squamous Cell Carcinoma of the Lip and Oral Cavity;Stage IV Squamous Cell Carcinoma of the Nasopharynx;Stage IV Squamous Cell Carcinoma of the Oropharynx;Stage IV Squamous Cell Carcinoma of the Paranasal Sinus and Nasal Cavity;Stage IV Verrucous Carcinoma of the Larynx;Stage IV Verrucous Carcinoma of the Oral Cavity;Tongue Cancer;Unresectable Extrahepatic Bile Duct Cancer;Unresectable Gallbladder Cancer
NCT00153998	NCT00153998:Phase 2:Colorectal Cancer;Liver Metastases
NCT03563170	NCT03563170:Phase 1|Phase 2:Hepatocellular Carcinoma Non-resectable;Hepatocellular Carcinoma Recurrent
NCT00142428	NCT00142428:Phase 2:Hepatocellular Carcinoma
NCT01836653	NCT01836653:Phase 2:Liver Only Metastasis From KRAS Exon 2 Wild Type (Under Protocol 1.0-1.2 Edition) and RAS Wild Type (Under Protocol 2.0 Edition) Colorectal Cancer
NCT03031444	NCT03031444:Phase 2|Phase 3:Colorectal Cancer Stage IV;Metastasis
NCT00075686	NCT00075686:Phase 3:Pancreatic Cancer
NCT00095199	NCT00095199:Phase 3:Non Small Cell Lung Cancer
NCT00112294	NCT00112294:Phase 3:Non-Small-Cell Lung Carcinoma
NCT00509561	NCT00509561:Phase 2|Phase 3:Esophageal Cancer
NCT02438722	NCT02438722:Phase 2|Phase 3:Recurrent Non-Small Cell Lung Carcinoma;Stage IV Non-Small Cell Lung Cancer
NCT03340558	NCT03340558:Phase 2:Metastatic Colorectal Cancer
NCT01658878	NCT01658878:Phase 1|Phase 2:Hepatocellular Carcinoma
NCT03203304	NCT03203304:Phase 1:Hepatocellular Carcinoma
NCT03222076	NCT03222076:Phase 2:Malignant Neoplasms of Digestive Organs;Hepatocellular Carcinoma
NCT01384994	NCT01384994:Phase 2:Colorectal Cancer;KRAS Wildtype;After Resection of Liver Metastases
NCT02885753	NCT02885753:Phase 3:Colorectal Neoplasms
NCT00553332	NCT00553332:Phase 2:Liver and Intrahepatic Biliary Tract Cancer;Recurrent Extrahepatic Bile Duct Cancer;Unresectable Extrahepatic Bile Duct Cancer
NCT01164202	NCT01164202:Phase 2|Phase 3:Liver Cancer
NCT00514228	NCT00514228:Phase 2:Liver Cancer
NCT00247676	NCT00247676:Phase 2:Liver Neoplasms;Unresectable Hepatocellular Carcinoma
NCT00806663	NCT00806663:Phase 2:Metastatic Colorectal Cancer;Liver Metastases
NCT02154490	NCT02154490:Phase 2|Phase 3:Recurrent Squamous Cell Lung Carcinoma;Stage IV Squamous Cell Lung Carcinoma AJCC v7
NCT03434379	NCT03434379:Phase 3:Carcinoma, Hepatocellular
NCT03289533	NCT03289533:Phase 1:Carcinoma, Hepatocellular
NCT03389126	NCT03389126:Phase 2:Carcinoma, Hepatocellular
NCT03383458	NCT03383458:Phase 3:Hepatocellular Carcinoma;Liver Cancer
NCT03143270	NCT03143270:Early Phase 1:Liver Cancer
NCT03572582	NCT03572582:Phase 2:Carcinoma, Hepatocellular;Hepatic Carcinoma;Hepatocellular Cancer
NCT03299946	NCT03299946:Phase 1:Locally Advanced Hepatocellular Carcinoma
NCT02423343	NCT02423343:Phase 1|Phase 2:Solid Tumor;Non-Small Cell Lung Cancer Recurrent;Hepatocellular Carcinoma Recurrent
NCT03071094	NCT03071094:Phase 1|Phase 2:Hepatocellular Carcinoma (HCC)
NCT02859324	NCT02859324:Phase 1|Phase 2:Carcinoma, Hepatocellular
NCT02042443	NCT02042443:Phase 2:Adult Cholangiocarcinoma;Advanced Adult Hepatocellular Carcinoma;BCLC Stage C/D Adult Hepatocellular Carcinoma;Hilar Cholangiocarcinoma;Localized Non-Resectable Adult Liver Carcinoma;Recurrent Adult Liver Carcinoma;Stage IVA Gallbladder Cancer
NCT01425879	NCT01425879:Phase 2:Advanced Adult Hepatocellular Carcinoma;Localized Non-Resectable Adult Liver Carcinoma;Recurrent Adult Liver Carcinoma;Recurrent Gallbladder Carcinoma;Stage IV Distal Bile Duct Cancer;Stage IV Gallbladder Cancer;Unresectable Extrahepatic Bile Duct Carcinoma;Unresectable Gallbladder Carcinoma
NCT00863746	NCT00863746:Phase 3:Carcinoma;Non-Small-Cell Lung
NCT01234337	NCT01234337:Phase 3:Breast Cancer
NCT02474290	NCT02474290:Phase 2|Phase 3:Acute Myeloid Leukemia;Hematopoietic Stem Cell Transplantation
NCT01955668	NCT01955668:Phase 1:11q-deleted Relapsed/Refractory Chronic Lymphocytic Leukaemia (CLL),;Prolymphocytic Leukaemia (PLL);B Cell Lymphomas
NCT00148798	NCT00148798:Phase 3:Non Small Cell Lung Cancer (NSCLC)
NCT00820755	NCT00820755:Phase 3:Non-Small Cell Lung Cancer (NSCLC)
NCT01089101	NCT01089101:Phase 1|Phase 2:Low Grade Glioma;Neurofibromatosis Type 1;Recurrent Childhood Pilocytic Astrocytoma;Recurrent Childhood Visual Pathway Glioma
NCT00604721	NCT00604721:Phase 2:Adult Primary Hepatocellular Carcinoma;Advanced Adult Primary Liver Cancer;Localized Unresectable Adult Primary Liver Cancer;Recurrent Adult Primary Liver Cancer
NCT03511222	NCT03511222:Phase 1:Solid Tumor;Hepatocellular Carcinoma;Gastric Cancer;Gastroesophageal Junction Adenocarcinoma
NCT03418922	NCT03418922:Phase 1:Carcinoma, Hepatocellular
NCT03382886	NCT03382886:Phase 1:Hepatocellular Carcinoma
NCT02576509	NCT02576509:Phase 3:Hepatocellular Carcinoma
NCT01848834	NCT01848834:Phase 1:Cancer;Solid Tumor
NCT03397654	NCT03397654:Phase 1|Phase 2:Primary Liver Carcinoma
NCT02509507	NCT02509507:Phase 1:Hepatocellular Carcinoma;Liver Metastases
NCT02940496	NCT02940496:Phase 1|Phase 2:Malignant Neoplasms of Digestive Organs;Advanced Liver Cancer
NCT03347292	NCT03347292:Phase 1:Carcinoma, Hepatocellular
NCT03337841	NCT03337841:Phase 2:Hepatocellular Carcinoma
NCT03163992	NCT03163992:Phase 2:Hepatocellular Carcinoma
NCT03006926	NCT03006926:Phase 1:Hepatocellular Carcinoma
NCT02658019	NCT02658019:Phase 2:Hepatocellular Carcinoma
NCT03329950	NCT03329950:Phase 1:Melanoma;Non-small Cell Lung Cancer;Breast Cancer;Gastric Cancer;Renal Cell Carcinoma;Ovarian Cancer;Cholangiocarcinoma;Bladder Urothelial Carcinoma;Pancreatic Adenocarcinoma;Colorectal Cancer;Esophageal Cancer;Hepatic Cancer;Head and Neck Cancer;Primary Peritoneal Cancer;Fallopian Tube Cancer;Solid Tumor
NCT02187783	NCT02187783:Phase 2:Tumors With CDK4/6 Pathway Activation
NCT01237236	NCT01237236:Phase 1:Advanced Solid Tumor;Lymphomas
NCT02478320	NCT02478320:Phase 2:Advanced Cancers
NCT00475956	NCT00475956:Phase 1:Neoplasms
NCT00605722	NCT00605722:Phase 2:Liver Cancer
NCT00881751	NCT00881751:Phase 2:Liver Cancer
NCT00365391	NCT00365391:Phase 2:Adult Primary Hepatocellular Carcinoma;Advanced Adult Primary Liver Cancer;Localized Unresectable Adult Primary Liver Cancer;Recurrent Adult Primary Liver Cancer
NCT00242502	NCT00242502:Phase 2:Hepatocellular Carcinoma;Liver Cancer
NCT01180959	NCT01180959:Phase 2:Liver Cancer
NCT00047346	NCT00047346:Phase 1:Adult Primary Hepatocellular Carcinoma;Advanced Adult Primary Liver Cancer;Localized Unresectable Adult Primary Liver Cancer;Recurrent Adult Primary Liver Cancer
NCT00987766	NCT00987766:Phase 1:Extrahepatic Bile Duct Cancer;Gallbladder Cancer;Liver Cancer;Pancreatic Cancer;Periampullary Adenocarcinoma;Small Intestine Cancer
NCT00030498	NCT00030498:Phase 1:Adult Anaplastic Astrocytoma;Adult Anaplastic Ependymoma;Adult Anaplastic Oligodendroglioma;Adult Brain Stem Glioma;Adult Diffuse Astrocytoma;Adult Ependymoblastoma;Adult Giant Cell Glioblastoma;Adult Glioblastoma;Adult Gliosarcoma;Adult Mixed Glioma;Adult Myxopapillary Ependymoma;Adult Oligodendroglioma;Adult Pilocytic Astrocytoma;Adult Primary Hepatocellular Carcinoma;Adult Subependymoma;Advanced Adult Primary Liver Cancer;Advanced Malignant Mesothelioma;Male Breast Cancer;Recurrent Adenoid Cystic Carcinoma of the Oral Cavity;Recurrent Adult Brain Tumor;Recurrent Adult Primary Liver Cancer;Recurrent Anal Cancer;Recurrent Basal Cell Carcinoma of the Lip;Recurrent Bladder Cancer;Recurrent Breast Cancer;Recurrent Cervical Cancer;Recurrent Colon Cancer;Recurrent Esophageal Cancer;Recurrent Esthesioneuroblastoma of the Paranasal Sinus and Nasal Cavity;Recurrent Inverted Papilloma of the Paranasal Sinus and Nasal Cavity;Recurrent Lymphoepithelioma of the Nasopharynx;Recurrent Lymphoepithelioma of the Oropharynx;Recurrent Malignant Mesothelioma;Recurrent Metastatic Squamous Neck Cancer With Occult Primary;Recurrent Midline Lethal Granuloma of the Paranasal Sinus and Nasal Cavity;Recurrent Mucoepidermoid Carcinoma of the Oral Cavity;Recurrent Non-small Cell Lung Cancer;Recurrent Ovarian Epithelial Cancer;Recurrent Pancreatic Cancer;Recurrent Prostate Cancer;Recurrent Rectal Cancer;Recurrent Salivary Gland Cancer;Recurrent Squamous Cell Carcinoma of the Hypopharynx;Recurrent Squamous Cell Carcinoma of the Larynx;Recurrent Squamous Cell Carcinoma of the Lip and Oral Cavity;Recurrent Squamous Cell Carcinoma of the Nasopharynx;Recurrent Squamous Cell Carcinoma of the Oropharynx;Recurrent Squamous Cell Carcinoma of the Paranasal Sinus and Nasal Cavity;Recurrent Verrucous Carcinoma of the Larynx;Recurrent Verrucous Carcinoma of the Oral Cavity;Stage II Esophageal Cancer;Stage II Pancreatic Cancer;Stage III Esophageal Cancer;Stage III Pancreatic Cancer;Stage IIIB Non-small Cell Lung Cancer;Stage IV Adenoid Cystic Carcinoma of the Oral Cavity;Stage IV Anal Cancer;Stage IV Basal Cell Carcinoma of the Lip;Stage IV Bladder Cancer;Stage IV Breast Cancer;Stage IV Colon Cancer;Stage IV Esophageal Cancer;Stage IV Esthesioneuroblastoma of the Paranasal Sinus and Nasal Cavity;Stage IV Inverted Papilloma of the Paranasal Sinus and Nasal Cavity;Stage IV Lymphoepithelioma of the Nasopharynx;Stage IV Lymphoepithelioma of the Oropharynx;Stage IV Midline Lethal Granuloma of the Paranasal Sinus and Nasal Cavity;Stage IV Mucoepidermoid Carcinoma of the Oral Cavity;Stage IV Non-small Cell Lung Cancer;Stage IV Ovarian Epithelial Cancer;Stage IV Pancreatic Cancer;Stage IV Prostate Cancer;Stage IV Rectal Cancer;Stage IV Salivary Gland Cancer;Stage IV Squamous Cell Carcinoma of the Hypopharynx;Stage IV Squamous Cell Carcinoma of the Larynx;Stage IV Squamous Cell Carcinoma of the Lip and Oral Cavity;Stage IV Squamous Cell Carcinoma of the Nasopharynx;Stage IV Squamous Cell Carcinoma of the Oropharynx;Stage IV Squamous Cell Carcinoma of the Paranasal Sinus and Nasal Cavity;Stage IV Verrucous Carcinoma of the Larynx;Stage IV Verrucous Carcinoma of the Oral Cavity;Stage IVA Cervical Cancer;Stage IVB Cervical Cancer;Unspecified Adult Solid Tumor, Protocol Specific;Untreated Metastatic Squamous Neck Cancer With Occult Primary
NCT00901901	NCT00901901:Phase 3:Carcinoma, Hepatocellular
NCT00287222	NCT00287222:Phase 2:Hepatocellular Carcinoma
NCT00071994	NCT00071994:Phase 2:Adult Primary Hepatocellular Carcinoma;Advanced Adult Primary Liver Cancer;Localized Unresectable Adult Primary Liver Cancer;Recurrent Adult Primary Liver Cancer
NCT00352079	NCT00352079:Phase 3:Bladder Cancer
NCT01243398	NCT01243398:Phase 3:Adenocarcinoma of the Gastroesophageal Junction;Esophageal Cancer
NCT00101036	NCT00101036:Phase 2:Adult Primary Hepatocellular Carcinoma;Advanced Adult Primary Liver Cancer;Localized Unresectable Adult Primary Liver Cancer;Recurrent Adult Primary Liver Cancer;Recurrent Extrahepatic Bile Duct Cancer;Recurrent Gallbladder Cancer;Unresectable Extrahepatic Bile Duct Cancer;Unresectable Gallbladder Cancer
NCT00107536	NCT00107536:Phase 2:Adult Primary Hepatocellular Carcinoma;Advanced Adult Primary Liver Cancer;Localized Unresectable Adult Primary Liver Cancer;Recurrent Adult Primary Liver Cancer;Recurrent Extrahepatic Bile Duct Cancer;Recurrent Gallbladder Cancer;Unresectable Extrahepatic Bile Duct Cancer;Unresectable Gallbladder Cancer
NCT02015169	NCT02015169:Phase 2:HER2-positive Gastric Cancer Patients With Liver Metastasis
NCT02322281	NCT02322281:Phase 3:Non-small Cell Lung Cancer
NCT01480479	NCT01480479:Phase 3:Glioblastoma;Small Cell Glioblastoma;Giant Cell Glioblastoma;Gliosarcoma;Glioblastoma With Oligodendroglial Component
NCT00866944	NCT00866944:Phase 2:Liver Metastases;Colorectal Cancer
NCT01005199	NCT01005199:Phase 2:Liver Cancer
NCT01642186	NCT01642186:Phase 2:Fibrolamellar Carcinoma;Fibrolamellar Liver Cancer
NCT02081755	NCT02081755:Phase 4:Carcinoma, Hepatocellular
NCT01423708	NCT01423708:Phase 2:Liver Failure;Liver Diseases;Liver Cirrhosis;Liver Neoplasms
NCT01469572	NCT01469572:Phase 1:Neuroendocrine Tumors
NCT01488487	NCT01488487:Phase 2:Advanced Adult Hepatocellular Carcinoma
NCT01035229	NCT01035229:Phase 3:Carcinoma
NCT01104571	NCT01104571:Phase 3:Breast Cancer
NCT02508467	NCT02508467:Phase 1:Hepatocellular Carcinoma (HCC)
NCT00517920	NCT00517920:Phase 2:Advanced Hepatocellular Carcinoma
NCT02428855	NCT02428855:Phase 2:Cholangiocarcinoma
NCT02073994	NCT02073994:Phase 1:Cholangiocarcinoma;Chondrosarcoma;Glioma;Other Advanced Solid Tumors
NCT01774344	NCT01774344:Phase 3:Carcinoma, Hepatocellular
NCT00890825	NCT00890825:Phase 2:Non Small Cell Lung Cancer
NCT02029157	NCT02029157:Phase 3:Liver Cancer
NCT02499614	NCT02499614:Phase 2:Carcinoma, Non-Small-Cell Lung
NCT00999882	NCT00999882:Phase 1:Cancer;Advanced Hepatocellular Carcinoma
NCT00507585	NCT00507585:Phase 1:Liver Cancer;Advanced Solid Tumors
NCT00028990	NCT00028990:Phase 3:Breast Cancer
NCT00088894	NCT00088894:Phase 3:Adenocarcinoma of the Pancreas;Recurrent Pancreatic Cancer;Stage II Pancreatic Cancer;Stage III Pancreatic Cancer;Stage IV Pancreatic Cancer
NCT00109239	NCT00109239:Phase 3:Breast Cancer
NCT00110214	NCT00110214:Phase 3:Adenocarcinoma of the Prostate;Hormone-resistant Prostate Cancer;Recurrent Prostate Cancer;Stage IV Prostate Cancer
NCT00262067	NCT00262067:Phase 3:Metastatic Breast Cancer
NCT00281697	NCT00281697:Phase 3:Metastatic Breast Cancer
NCT00324987	NCT00324987:Phase 3:Gastrointestinal Stromal Tumor
NCT00333775	NCT00333775:Phase 3:Breast Cancer
NCT00373256	NCT00373256:Phase 3:Breast Neoplasms
NCT00391092	NCT00391092:Phase 3:Breast Cancer
NCT00448591	NCT00448591:Phase 3:Breast Cancer
NCT00450203	NCT00450203:Phase 2|Phase 3:Oesophagogastric Cancer
NCT00486759	NCT00486759:Phase 3:B-cell Lymphoma
NCT00520975	NCT00520975:Phase 3:Breast Carcinoma;Recurrent Breast Carcinoma;Stage IV Breast Cancer
NCT00528567	NCT00528567:Phase 3:Breast Cancer
NCT00545077	NCT00545077:Phase 3:Breast Cancer
NCT00548548	NCT00548548:Phase 3:Adenocarcinoma
NCT00567554	NCT00567554:Phase 3:Breast Cancer
NCT00600340	NCT00600340:Phase 3:Metastatic Breast Cancer
NCT00625898	NCT00625898:Phase 3:Breast Cancer
NCT00868634	NCT00868634:Phase 3:Metastatic Breast Cancer
NCT00887822	NCT00887822:Phase 3:Gastric Cancer
NCT00929240	NCT00929240:Phase 3:Breast Cancer
NCT01093235	NCT01093235:Phase 3:Breast Cancer;Cardiac Toxicity;Perioperative/Postoperative Complications
NCT01200212	NCT01200212:Phase 3:Breast Cancer
NCT01214720	NCT01214720:Phase 3:Pancreatic Cancer
NCT01236560	NCT01236560:Phase 2|Phase 3:Brain Stem Glioma;Cerebral Astrocytoma;Childhood Cerebellar Anaplastic Astrocytoma;Childhood Cerebral Anaplastic Astrocytoma;Childhood Spinal Cord Neoplasm;Untreated Childhood Brain Stem Glioma;Untreated Childhood Cerebral Astrocytoma
NCT01250379	NCT01250379:Phase 3:Breast Cancer
NCT01303679	NCT01303679:Phase 3:First Line Metastatic Breast Cancer
NCT00238394	NCT00238394:Phase 2:Adult Primary Hepatocellular Carcinoma;Advanced Adult Primary Liver Cancer;Localized Unresectable Adult Primary Liver Cancer
NCT01365468	NCT01365468:Phase 2:Plexiform Neurofibroma Associated With Neurofibromatosis Type 1
NCT00370513	NCT00370513:Phase 1:Carcinoma, Hepatocellular
NCT00674024	NCT00674024:Phase 1:Neoplasms;Lymphoma
NCT00973739	NCT00973739:Phase 2:Neurofibromatosis 2;Vestibular Schwannoma
NCT01546519	NCT01546519:Phase 1:Cancer
NCT01004003	NCT01004003:Phase 2:Carcinoma, Hepatocellular
NCT00987935	NCT00987935:Phase 2:Carcinoma, Hepatocellular
NCT03433703	NCT03433703:Phase 2:Carcinoma, Hepatocellular
NCT02953743	NCT02953743:Phase 1:Unresectable Hepatocellular Carcinoma (HCC)
NCT01761266	NCT01761266:Phase 3:Hepatocellular Carcinoma (HCC)
NCT03195699	NCT03195699:Phase 1:Breast Cancer;Head and Neck Squamous Cell Carcinoma;Non Small Cell Lung Cancer;Hepatocellular Cancer;Colorectal Cancer;Gastric Adenocarcinoma;Melanoma;Advanced Cancer
NCT00049400	NCT00049400:Phase 1:Lymphoma;Small Intestine Cancer;Unspecified Adult Solid Tumor, Protocol Specific
NCT00825955	NCT00825955:Phase 3:Liver Cancer
NCT00437424	NCT00437424:Phase 1:Carcinoma, Hepatocellular
NCT01540461	NCT01540461:Phase 1:Hepatocellular Carcinoma
NCT00355238	NCT00355238:Phase 2:Hepatocellular Carcinoma (HCC)
NCT03516071	NCT03516071:Phase 2:Hepatocellular Carcinoma (HCC)
NCT00908752	NCT00908752:Phase 3:Hepatocellular Carcinoma
NCT00858871	NCT00858871:Phase 3:Hepato Cellular Carcinoma (HCC)
NCT01174121	NCT01174121:Phase 2:Metastatic Colorectal Cancer;Metastatic Gastric Cancer;Metastatic Pancreatic Cancer;Metastatic Hepatocellular Carcinoma;Progressive Glioblastoma;Metastatic Ovarian Cancer;Metastatic Breast Cancer
NCT03419481	NCT03419481:Phase 2:HCC
NCT02273362	NCT02273362:Phase 1|Phase 2:Cirrhosis;Fibrosis;Hepatocellular Carcinoma;Phosphorylated Epidermal Growth Factor Receptor
NCT00033462	NCT00033462:Phase 2:Adult Primary Cholangiocellular Carcinoma;Adult Primary Hepatocellular Carcinoma;Advanced Adult Primary Liver Cancer;Cholangiocarcinoma of the Gallbladder;Localized Unresectable Adult Primary Liver Cancer;Recurrent Adult Primary Liver Cancer;Recurrent Extrahepatic Bile Duct Cancer;Recurrent Gallbladder Cancer;Unresectable Extrahepatic Bile Duct Cancer;Unresectable Gallbladder Cancer
NCT00471328	NCT00471328:Phase 3:Gastrointestinal Stromal Tumors
NCT00751036	NCT00751036:Phase 3:Gastrointestinal Stromal Tumors
NCT00785785	NCT00785785:Phase 3:Gastrointestinal Stromal Tumor (GIST)
NCT01289028	NCT01289028:Phase 3:Gastrointestinal Stromal Tumors
NCT01761747	NCT01761747:Phase 2|Phase 3:Non-Small Cell Lung Cancer, Head and Neck Cancer
NCT02184195	NCT02184195:Phase 3:Germline BRCA1/2 Mutations and;Metastatic Adenocarcinoma of the Pancreas
NCT02987543	NCT02987543:Phase 3:Metastatic Castration-resistant Prostate Cancer
NCT01684878	NCT01684878:Phase 3:Ovarian Cancer
NCT02581462	NCT02581462:Phase 2|Phase 3:Stomach Cancer;Gastroesophageal Junction Cancer
NCT00744497	NCT00744497:Phase 3:Prostatic Neoplasms
NCT00154375	NCT00154375:Phase 3:Glioblastoma Multiforme;Astrocytoma
NCT00427583	NCT00427583:Phase 2|Phase 3:Malignant Peripheral Nerve Sheath Tumors
